Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Afghanistan,1980,51.725,23.196,7.669,41.497,40.035,40.7481707317073,0.434907122332274,13257128.0,0.0,0.0,afg,South Asia
Afghanistan,1981,51.602,22.693,7.669,42.004,40.5,41.2336585365854,-0.58021404446499,13180431.0,0.0,0.0,afg,South Asia
Afghanistan,1982,51.482,22.155,7.67,42.553,41.006,41.7606341463415,-1.65732974337951,12963788.0,0.0,0.0,afg,South Asia
Afghanistan,1983,51.362,21.58,7.671,43.15,41.56,42.3356097560976,-2.57292396170168,12634494.0,0.0,0.0,afg,South Asia
Afghanistan,1984,51.24,20.967,7.673,43.801,42.165,42.9630487804878,-3.15639115314434,12241928.0,0.0,0.0,afg,South Asia
Afghanistan,1985,51.117,20.32,7.676,44.506,42.824,43.6444878048781,-3.21841240630323,11854205.0,0.0,0.0,afg,South Asia
Afghanistan,1986,50.991,19.647,7.679,45.266,43.536,44.3799024390244,-2.78190516770025,11528977.0,0.0,0.0,afg,South Asia
Afghanistan,1987,50.865,18.956,7.681,46.08,44.301,45.1688048780488,-2.33903985640474,11262439.0,0.0,0.0,afg,South Asia
Afghanistan,1988,50.741,18.264,7.682,46.933,45.106,45.9972195121951,-1.78573278303325,11063107.0,0.0,0.0,afg,South Asia
Afghanistan,1989,50.626,17.584,7.682,47.81,45.936,46.8501463414634,-0.450815957909817,11013345.0,0.0,0.0,afg,South Asia
Afghanistan,1990,50.527,16.931,7.682,48.695,46.775,47.7115853658537,1.81732489646289,11215323.0,0.0,0.0,afg,South Asia
Afghanistan,1991,50.467,16.315,7.687,49.573,47.609,48.5670487804878,4.49703942528469,11731193.0,0.0,0.0,afg,South Asia
Afghanistan,1992,50.472,15.746,7.7,50.431,48.427,49.4045609756098,7.24007886047023,12612043.0,0.0,0.0,afg,South Asia
Afghanistan,1993,50.546,15.223,7.725,51.258,49.218,50.2131219512195,9.08766506585775,13811876.0,0.0,0.0,afg,South Asia
Afghanistan,1994,50.675,14.744,7.758,52.046,49.975,50.985243902439,9.41419517332834,15175325.0,0.0,0.0,afg,South Asia
Afghanistan,1995,50.833,14.308,7.796,52.785,50.685,51.7093902439024,8.27812149046478,16485018.0,0.0,0.0,afg,South Asia
Afghanistan,1996,50.978,13.913,7.832,53.464,51.338,52.3750731707317,6.46553135525955,17586073.0,0.0,0.0,afg,South Asia
Afghanistan,1997,51.063,13.556,7.859,54.074,51.924,52.9727804878049,4.60749389726062,18415307.0,0.0,0.0,afg,South Asia
Afghanistan,1998,51.039,13.227,7.869,54.622,52.448,53.5084878048781,3.23732925546317,19021226.0,0.0,0.0,afg,South Asia
Afghanistan,1999,50.869,12.916,7.854,55.118,52.92,53.9921951219512,2.46966824897887,19496836.0,0.0,0.0,afg,South Asia
Afghanistan,2000,50.528,12.613,7.809,55.572,53.348,54.4328780487805,2.48334185206468,19987071.0,0.0,0.0,afg,South Asia
Afghanistan,2001,49.999,12.307,7.733,56.001,53.751,54.8485609756098,2.99801931910418,20595360.0,0.0,0.0,afg,South Asia
Afghanistan,2002,49.281,11.988,7.623,56.423,54.145,55.2562195121951,3.58820389839844,21347782.0,0.0,0.0,afg,South Asia
Afghanistan,2003,48.405,11.653,7.484,56.853,54.547,55.6718780487805,3.92708305971564,22202806.0,25000.0,0.112598380583067,afg,South Asia
Afghanistan,2004,47.403,11.301,7.321,57.302,54.97,56.1075609756098,4.03124840806881,23116142.0,200000.0,0.865196277129635,afg,South Asia
Afghanistan,2005,46.291,10.933,7.136,57.778,55.419,56.5697317073171,3.83007828375228,24018682.0,600000.0,2.49805547198635,afg,South Asia
Afghanistan,2006,45.078,10.55,6.93,58.279,55.896,57.0584390243903,3.44625338842154,24860855.0,1200000.0,4.8268653672611,afg,South Asia
Afghanistan,2007,43.763,10.158,6.702,58.803,56.397,57.5706585365854,3.05190805437294,25631282.0,2520366.0,9.83316402199469,afg,South Asia
Afghanistan,2008,42.361,9.767,6.456,59.336,56.906,58.0913658536585,2.76259872885098,26349243.0,4668096.0,17.7162433091531,afg,South Asia
Afghanistan,2009,40.899,9.386,6.196,59.863,57.411,58.6070975609756,2.55890911225605,27032197.0,7898909.0,29.2203737639231,afg,South Asia
Afghanistan,2010,39.414,9.023,5.928,60.379,57.906,59.1123414634146,2.46992920464508,27708187.0,10500000.0,37.8949369729604,afg,South Asia
Afghanistan,2011,37.952,8.684,5.659,60.877,58.384,59.6000975609756,2.4584170854777,28397812.0,13000000.0,45.7781747410681,afg,South Asia
Afghanistan,2012,36.556,8.375,5.395,61.352,58.84,60.0653658536585,2.46143726536565,29105480.0,17558265.0,60.326319991974,afg,South Asia
Afghanistan,2013,35.254,8.095,5.141,61.806,59.274,60.5091219512195,2.44049378452997,29824536.0,19520813.0,65.4521934557507,afg,South Asia
