Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Albania,1980,29.803,6.261,3.807,71.725,68.376,70.0096585365854,1.98945701957156,2617832.0,0.0,0.0,alb,Europe & Central Asia
Albania,1981,29.278,6.147,3.678,72.085,68.475,70.2359756097561,2.04796386136191,2671997.0,0.0,0.0,alb,Europe & Central Asia
Albania,1982,28.79,6.042,3.562,72.472,68.533,70.4544634146341,2.00297430640894,2726056.0,0.0,0.0,alb,Europe & Central Asia
Albania,1983,28.348,5.939,3.46,72.885,68.59,70.6851219512195,2.11327178253342,2784278.0,0.0,0.0,alb,Europe & Central Asia
Albania,1984,27.955,5.832,3.372,73.315,68.673,70.9373902439024,2.12088533357751,2843960.0,0.0,0.0,alb,Europe & Central Asia
Albania,1985,27.606,5.727,3.297,73.746,68.788,71.2065365853659,2.10393661802013,2904429.0,0.0,0.0,alb,Europe & Central Asia
Albania,1986,27.279,5.633,3.233,74.15,68.92,71.4712195121951,2.05599460887143,2964762.0,0.0,0.0,alb,Europe & Central Asia
Albania,1987,26.951,5.567,3.177,74.488,69.04,71.6975609756098,1.93322081083734,3022635.0,0.0,0.0,alb,Europe & Central Asia
Albania,1988,26.595,5.54,3.126,74.741,69.12,71.8619512195122,1.99703995612751,3083605.0,0.0,0.0,alb,Europe & Central Asia
Albania,1989,26.19,5.558,3.075,74.902,69.145,71.9532926829268,1.88671052887888,3142336.0,0.0,0.0,alb,Europe & Central Asia
Albania,1990,25.732,5.616,3.023,74.978,69.122,71.9785853658537,2.68786198874035,3227943.0,0.0,0.0,alb,Europe & Central Asia
Albania,1991,25.225,5.705,2.97,74.989,69.07,71.9573170731707,1.79908559333186,3286542.0,0.0,0.0,alb,Europe & Central Asia
Albania,1992,24.687,5.808,2.917,74.967,69.015,71.9184146341463,-0.602809679480026,3266790.0,0.0,0.0,alb,Europe & Central Asia
Albania,1993,24.14,5.906,2.867,74.954,68.993,71.9008048780488,-0.606434726201759,3247039.0,0.0,0.0,alb,Europe & Central Asia
Albania,1994,23.594,5.984,2.819,74.987,69.03,71.9358536585366,-0.610165792730247,3227287.0,0.0,0.0,alb,Europe & Central Asia
Albania,1995,23.049,6.034,2.772,75.089,69.14,72.0419512195122,-0.613880506929603,3207536.0,0.0,0.0,alb,Europe & Central Asia
Albania,1996,22.49,6.047,2.723,75.28,69.337,72.2360243902439,-0.617703658436963,3187784.0,0.0,0.0,alb,Europe & Central Asia
Albania,1997,21.896,6.02,2.67,75.576,69.624,72.5274146341463,-0.62151139901728,3168033.0,2300.0,0.0688407781641841,alb,Europe & Central Asia
Albania,1998,21.249,5.962,2.611,75.96,69.982,72.8980975609756,-0.625430096900055,3148281.0,3300.0,0.0990599213464225,alb,Europe & Central Asia
Albania,1999,20.539,5.886,2.543,76.41,70.39,73.3265853658537,-0.629334392525913,3128530.0,5600.0,0.168397958054474,alb,Europe & Central Asia
Albania,2000,19.77,5.802,2.467,76.906,70.829,73.7933902439025,-0.63335227398725,3108778.0,11008.0,0.331772023673718,alb,Europe & Central Asia
Albania,2001,18.938,5.727,2.383,77.419,71.275,74.2720731707317,-0.637356833943492,3089027.0,29791.0,0.901406013044683,alb,Europe & Central Asia
Albania,2002,18.046,5.677,2.291,77.917,71.703,74.7342195121951,-0.80986762148216,3064111.0,392650.0,11.9488728833469,alb,Europe & Central Asia
Albania,2003,17.118,5.663,2.195,78.373,72.096,75.1579512195122,-0.414812832092948,3051427.0,851000.0,26.0755314076865,alb,Europe & Central Asia
Albania,2004,16.188,5.691,2.097,78.769,72.444,75.5293658536585,-0.583986832617291,3033659.0,1100000.0,33.9570628375448,alb,Europe & Central Asia
Albania,2005,15.29,5.763,2.004,79.094,72.739,75.839,-0.630929645739493,3014579.0,1259590.0,39.1639566854891,alb,Europe & Central Asia
Albania,2006,14.474,5.873,1.919,79.349,72.985,76.0893902439024,-0.727617582195218,2992724.0,1530244.0,47.8780274894951,alb,Europe & Central Asia
Albania,2007,13.788,6.013,1.849,79.544,73.192,76.2905365853659,-0.828625022685626,2968028.0,1909885.0,60.0673423758473,alb,Europe & Central Asia
Albania,2008,13.255,6.167,1.796,79.705,73.379,76.4648536585366,-0.918890293162996,2940880.0,2322436.0,73.3503841486794,alb,Europe & Central Asia
Albania,2009,12.885,6.321,1.761,79.853,73.565,76.6323170731707,-0.967678009390057,2912559.0,1859632.0,58.9123514861522,alb,Europe & Central Asia
Albania,2010,12.674,6.466,1.744,79.999,73.757,76.8018780487805,-0.974879988001944,2884303.0,2463741.0,78.1845877027214,alb,Europe & Central Asia
Albania,2011,12.607,6.596,1.741,80.149,73.959,76.978512195122,-0.962561534205495,2856673.0,2692372.0,85.4682469970411,alb,Europe & Central Asia
Albania,2012,12.651,6.71,1.748,80.304,74.172,77.1632195121951,-0.96152523853415,2829337.0,3100000.0,98.2915345940227,alb,Europe & Central Asia
Albania,2013,12.756,6.812,1.76,80.46,74.389,77.3504634146341,-0.982281440819006,2801681.0,3500000.0,110.686531631206,alb,Europe & Central Asia
