Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Antigua and Barbuda,1980,18.955,6.352,2.159,70.954,65.791,68.3095365853659,0.0638021870347242,70553.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1981,18.71,6.385,2.115,71.239,66.071,68.5919756097561,-0.357817696153891,70301.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1982,18.685,6.438,2.098,71.517,66.347,68.8689512195122,-0.786860276504027,69750.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1983,18.764,6.505,2.096,71.79,66.618,69.1409268292683,-1.15358164621642,68950.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1984,18.855,6.579,2.098,72.057,66.885,69.4079268292683,-1.44917369445503,67958.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1985,18.914,6.655,2.098,72.318,67.149,69.6704634146342,-1.62441174320751,66863.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1986,18.918,6.732,2.092,72.574,67.409,69.928512195122,-1.68773377216314,65744.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1987,18.869,6.811,2.082,72.826,67.665,70.1825609756098,-1.74766049668702,64605.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1988,18.806,6.893,2.07,73.073,67.918,70.4326341463415,-1.75039015288716,63484.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1989,18.763,6.978,2.062,73.316,68.169,70.6797317073171,-1.50135336600718,62538.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1990,18.748,7.061,2.058,73.555,68.416,70.9228292682927,-0.917238670427113,61967.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1991,18.779,7.137,2.061,73.79,68.661,71.1629512195122,-0.098487975476126,61906.0,0.0,0.0,atg,Latin America & Caribbean
Antigua and Barbuda,1992,18.879,7.199,2.073,74.022,68.904,71.4005853658537,0.814045905272799,62412.0,216.66666666666663,0.308444254632595,atg,Latin America & Caribbean
Antigua and Barbuda,1993,19.047,7.243,2.096,74.251,69.143,71.6347073170732,1.62424307213241,63434.0,433.3333333333333,0.61688850926519,atg,Latin America & Caribbean
Antigua and Barbuda,1994,19.274,7.265,2.128,74.476,69.38,71.8658536585366,2.2354440556868,64868.0,650.0,0.9253327638977852,atg,Latin America & Caribbean
Antigua and Barbuda,1995,19.54,7.264,2.166,74.697,69.613,72.093,2.55991089839929,66550.0,866.6666666666666,1.23377701853038,atg,Latin America & Caribbean
Antigua and Barbuda,1996,19.816,7.237,2.208,74.914,69.845,72.3176829268293,2.66733876439022,68349.0,1083.3333333333333,1.542221273162975,atg,Latin America & Caribbean
