Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Austria,1980,11.5,12.3,1.6,75.97,68.78,72.2873170731708,-0.170463648025429,7549425.0,0.0,0.0,aut,Europe & Central Asia
Austria,1981,12.1,12.3,1.65,76.05,68.97,72.4236585365854,0.0001059682791824,7549433.0,0.0,0.0,aut,Europe & Central Asia
Austria,1982,12.4,12.3,1.67,76.41,69.28,72.7580487804878,0.255018231368981,7568710.0,0.0,0.0,aut,Europe & Central Asia
Austria,1983,12.5,12.0,1.66,76.59,69.38,72.8970731707317,0.0717170180347239,7574140.0,0.0,0.0,aut,Europe & Central Asia
Austria,1984,11.9,12.3,1.56,76.6,69.51,72.9685365853659,-0.161600981253917,7561910.0,0.0,0.0,aut,Europe & Central Asia
Austria,1985,11.7,11.6,1.52,77.2,70.03,73.5275609756098,-0.0062949040920662,7561434.0,0.0,0.0,aut,Europe & Central Asia
Austria,1986,11.6,11.7,1.47,77.31,70.35,73.7451219512195,0.0469509679089439,7564985.0,9762.0,0.128856130585828,aut,Europe & Central Asia
Austria,1987,11.4,11.4,1.45,77.67,70.94,74.2229268292683,0.0635489974692431,7569794.0,19104.0,0.251891560050505,aut,Europe & Central Asia
Austria,1988,11.3,11.2,1.43,78.06,71.44,74.6692682926829,0.0632842039083754,7574586.0,26223.0,0.34535874875905,aut,Europe & Central Asia
Austria,1989,11.6,11.0,1.45,78.54,71.91,75.1441463414634,0.141570850318539,7585317.0,36904.0,0.485159539713695,aut,Europe & Central Asia
Austria,1990,11.5,10.9,1.45,78.69,71.97,75.2480487804878,0.450513899730364,7619567.0,50721.0,0.664667026338091,aut,Europe & Central Asia
Austria,1991,11.6,10.7,1.46,78.89,72.33,75.53,0.762001611316115,7677850.0,73698.0,0.960860370161621,aut,Europe & Central Asia
Austria,1992,12.1,10.7,1.51,79.02,72.28,75.5678048780488,0.998418103144403,7754891.0,115402.0,1.49359918420353,aut,Europe & Central Asia
Austria,1993,12.1,10.5,1.51,79.2,72.67,75.8553658536585,1.10055228652823,7840709.0,172453.0,2.21173070271278,aut,Europe & Central Asia
Austria,1994,11.9,10.3,1.5,79.41,72.96,76.1063414634146,0.824627940995206,7905633.0,220859.0,2.80549888400697,aut,Europe & Central Asia
Austria,1995,11.5,10.0,1.47,79.73,73.34,76.4570731707317,0.384869546678302,7936118.0,278199.0,3.50454919078257,aut,Europe & Central Asia
Austria,1996,11.0,10.1,1.42,80.05,73.54,76.7156097560976,0.153106260702748,7948278.0,383535.0,4.80296973015158,aut,Europe & Central Asia
Austria,1997,11.0,10.0,1.45,80.19,73.93,76.9836585365854,0.135019833748789,7959017.0,598708.0,7.47511812763715,aut,Europe & Central Asia
Austria,1998,10.1,9.7,1.39,80.64,74.29,77.3875609756098,0.113316608322994,7968041.0,1159700.0,14.470701975662,aut,Europe & Central Asia
Austria,1999,10.0,9.6,1.37,80.8,74.5,77.5731707317073,0.109728368100981,7976789.0,2292900.0,28.6288600234909,aut,Europe & Central Asia
Austria,2000,9.655,9.66,1.34,80.9,74.8,77.7756097560976,0.194563153264961,7992324.0,4250393.0,53.0778762770449,aut,Europe & Central Asia
Austria,2001,9.6,9.5,1.36,81.1,75.1,78.0268292682927,0.240466652446524,8011566.0,6117000.0,76.2693288573366,aut,Europe & Central Asia
Austria,2002,9.4,9.3,1.33,81.6,75.6,78.5268292682927,0.382799394483217,8042293.0,6541000.0,81.2603112763124,aut,Europe & Central Asia
Austria,2003,9.7,9.4,1.39,81.7,75.8,78.6780487804878,0.49198046425522,8081957.0,6736000.0,83.244725156467,aut,Europe & Central Asia
Austria,2004,9.5,9.5,1.38,81.5,75.9,78.6317073170732,0.487133894826838,8121423.0,7274000.0,89.3356956406293,aut,Europe & Central Asia
Austria,2005,9.7,9.1,1.42,82.1,76.4,79.1804878048781,0.620413127334181,8171966.0,7992000.0,97.5448169734817,aut,Europe & Central Asia
Austria,2006,9.5,9.1,1.41,82.2,76.6,79.3317073170732,0.681267248299787,8227829.0,8665000.0,105.175585572507,aut,Europe & Central Asia
Austria,2007,9.4,9.0,1.41,82.7,77.1,79.8317073170732,0.494797775098466,8268641.0,9281000.0,112.124675003349,aut,Europe & Central Asia
Austria,2008,9.2,9.0,1.38,82.8,77.3,79.9829268292683,0.388028342260499,8300788.0,9912000.0,119.256982795929,aut,Europe & Central Asia
Austria,2009,9.3,9.0,1.41,83.0,77.6,80.2341463414634,0.434411323947034,8336926.0,10816000.0,129.65515158061,aut,Europe & Central Asia
Austria,2010,9.1,9.3,1.39,82.9,77.4,80.0829268292683,0.33946456785647,8365275.0,11434000.0,136.579009953879,aut,Europe & Central Asia
Austria,2011,9.4,9.2,1.44,83.2,77.7,80.3829268292683,0.292401673539314,8389771.0,12241000.0,145.692819882684,aut,Europe & Central Asia
Austria,2012,9.3,9.1,1.43,83.8,78.3,80.9829268292683,0.195475664171423,8406187.0,13022578.0,154.426038997307,aut,Europe & Central Asia
Austria,2013,9.4,9.4,1.44,83.6,78.4,80.9365853658537,0.282772204729845,8429991.0,13588000.0,160.539738665691,aut,Europe & Central Asia
