Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Bahrain,1980,32.932,4.468,5.036,70.958,67.81,69.3456097560976,5.79986641243159,342829.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1981,32.938,4.311,4.917,71.326,68.305,69.7786585365854,4.85999915903694,359902.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1982,32.953,4.182,4.802,71.664,68.76,70.1765853658537,3.87581940041245,374125.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1983,32.951,4.075,4.69,71.971,69.172,70.5373658536586,3.11178612229998,385950.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1984,32.903,3.979,4.581,72.25,69.544,70.864,2.6834535135382,396447.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1985,32.776,3.89,4.472,72.504,69.88,71.16,2.6818584410536,407223.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1986,32.533,3.803,4.362,72.735,70.183,71.4278780487805,2.95237787146834,419425.0,0.0,0.0,bhr,Middle East & North Africa
Bahrain,1987,32.144,3.716,4.248,72.945,70.459,71.6716829268293,3.298630910294,433491.0,618.0,0.142563513429345,bhr,Middle East & North Africa
Bahrain,1988,31.61,3.63,4.128,73.137,70.714,71.8959512195122,3.5165215922519,449006.0,1712.0,0.381286664320744,bhr,Middle East & North Africa
Bahrain,1989,30.944,3.547,4.002,73.315,70.954,72.1057073170732,3.55472423316892,465254.0,2886.0,0.620306327296488,bhr,Middle East & North Africa
Bahrain,1990,30.158,3.466,3.872,73.485,71.187,72.3079756097561,3.35789518190209,481142.0,4251.0,0.883522951644213,bhr,Middle East & North Africa
Bahrain,1991,29.27,3.387,3.738,73.652,71.417,72.507243902439,3.03005722924389,495944.0,5147.0,1.03781878599197,bhr,Middle East & North Africa
Bahrain,1992,28.303,3.314,3.601,73.822,71.65,72.709512195122,2.72513877868544,509645.0,7354.0,1.44296520126755,bhr,Middle East & North Africa
Bahrain,1993,27.298,3.247,3.466,73.997,71.884,72.9147317073171,2.5390846355293,522751.0,9683.0,1.85231592096428,bhr,Middle East & North Africa
Bahrain,1994,26.294,3.187,3.335,74.178,72.12,73.1239024390244,2.44895852897816,535711.0,11360.0,2.12054633935088,bhr,Middle East & North Africa
Bahrain,1995,25.323,3.133,3.212,74.366,72.358,73.337512195122,2.48132109358619,549170.0,17616.0,3.20774987708724,bhr,Middle East & North Africa
Bahrain,1996,24.421,3.082,3.1,74.56,72.598,73.5550731707317,2.61673659763081,563730.0,27600.0,4.89596083231334,bhr,Middle East & North Africa
Bahrain,1997,23.614,3.032,3.005,74.758,72.835,73.7730487804878,2.79301397725614,579697.0,40080.0,6.91395677396985,bhr,Middle East & North Africa
Bahrain,1998,22.901,2.98,2.926,74.953,73.067,73.987,3.00813525402772,597400.0,58543.0,9.79963173752929,bhr,Middle East & North Africa
Bahrain,1999,22.273,2.925,2.862,75.144,73.292,74.1954146341464,3.31520799533897,617537.0,92063.0,14.9080945757096,bhr,Middle East & North Africa
Bahrain,2000,21.724,2.865,2.81,75.327,73.509,74.3958292682927,3.71547365447243,640913.0,133468.0,20.8246673105398,bhr,Middle East & North Africa
Bahrain,2001,21.228,2.801,2.765,75.503,73.719,74.589243902439,4.17521716980732,668239.0,205727.0,30.7864401808335,bhr,Middle East & North Africa
Bahrain,2002,20.752,2.733,2.718,75.671,73.925,74.7767073170732,4.46456993630759,698749.0,299587.0,42.8747661892897,bhr,Middle East & North Africa
Bahrain,2003,20.265,2.664,2.665,75.833,74.129,74.9602195121951,4.72277186797828,732541.0,388990.0,53.1014646279184,bhr,Middle East & North Africa
Bahrain,2004,19.747,2.596,2.602,75.991,74.331,75.140756097561,5.25403647153176,772058.0,443109.0,57.3932269337278,bhr,Middle East & North Africa
Bahrain,2005,19.194,2.532,2.529,76.146,74.531,75.3188048780488,6.08603276204217,820505.0,649764.0,79.1907422867624,bhr,Middle East & North Africa
Bahrain,2006,18.62,2.474,2.449,76.298,74.725,75.4923170731707,6.94722174022002,879534.0,767103.0,87.2169808102927,bhr,Middle East & North Africa
Bahrain,2007,18.052,2.424,2.367,76.449,74.91,75.6607317073171,7.80703147481214,950951.0,907433.0,95.4237389728808,bhr,Middle East & North Africa
Bahrain,2008,17.521,2.382,2.292,76.6,75.083,75.823,8.21334053107352,1032353.0,1115979.0,108.100523754956,bhr,Middle East & North Africa
Bahrain,2009,17.048,2.348,2.229,76.749,75.241,75.9766097560976,7.79442507229223,1116038.0,1440782.0,129.097933941317,bhr,Middle East & North Africa
Bahrain,2010,16.633,2.324,2.179,76.899,75.386,76.1240487804878,6.54608353129565,1191539.0,1401974.0,117.660773168146,bhr,Middle East & North Africa
Bahrain,2011,16.265,2.309,2.142,77.048,75.519,76.2648536585366,4.91074704991069,1251513.0,1567000.0,125.20844769491,bhr,Middle East & North Africa
Bahrain,2012,15.922,2.301,2.115,77.198,75.644,76.4020487804878,3.24293424916187,1292764.0,1693650.0,131.009990996036,bhr,Middle East & North Africa
Bahrain,2013,15.579,2.301,2.094,77.347,75.764,76.5361951219512,1.92016061186502,1317827.0,2123903.0,161.167057587984,bhr,Middle East & North Africa
