Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Bangladesh,1980,43.624,14.328,6.48,53.388,54.756,54.0886829268293,2.81863983935287,80241773.0,0.0,0.0,bgd,South Asia
Bangladesh,1981,43.091,13.759,6.356,54.2,55.506,54.8689268292683,2.77351444500189,82498440.0,0.0,0.0,bgd,South Asia
Bangladesh,1982,42.509,13.343,6.216,54.805,56.051,55.4431951219512,2.70932155254577,84764142.0,0.0,0.0,bgd,South Asia
Bangladesh,1983,41.871,13.0,6.06,55.31,56.498,55.9184878048781,2.67316215501985,87060582.0,0.0,0.0,bgd,South Asia
Bangladesh,1984,41.172,12.664,5.89,55.805,56.93,56.3812195121951,2.6512725007989,89399666.0,0.0,0.0,bgd,South Asia
Bangladesh,1985,40.416,12.315,5.71,56.316,57.375,56.8584146341463,2.65423874026827,91804318.0,0.0,0.0,bgd,South Asia
Bangladesh,1986,39.606,11.944,5.522,56.857,57.845,57.3630487804878,2.66916461205641,94287722.0,0.0,0.0,bgd,South Asia
Bangladesh,1987,38.748,11.554,5.327,57.428,58.34,57.8951219512195,2.68279495484919,96851505.0,0.0,0.0,bgd,South Asia
Bangladesh,1988,37.857,11.162,5.13,58.006,58.84,58.4331707317073,2.67474017552233,99476987.0,0.0,0.0,bgd,South Asia
Bangladesh,1989,36.947,10.782,4.932,58.579,59.329,58.9631463414634,2.63516791821806,102133217.0,0.0,0.0,bgd,South Asia
Bangladesh,1990,36.031,10.417,4.738,59.148,59.811,59.4875853658537,2.55786526038239,104779345.0,0.0,0.0,bgd,South Asia
Bangladesh,1991,35.119,10.066,4.55,59.715,60.288,60.0084878048781,2.4571732225159,107385847.0,0.0,0.0,bgd,South Asia
Bangladesh,1992,34.218,9.728,4.37,60.287,60.765,60.5318292682927,2.34571575697418,109934590.0,0.0,0.0,bgd,South Asia
Bangladesh,1993,33.332,9.401,4.197,60.867,61.248,61.0621463414634,2.24538629637986,112430968.0,250.0,0.0002223586654523,bgd,South Asia
Bangladesh,1994,32.461,9.083,4.033,61.457,61.737,61.6004146341464,2.1701385287804,114897543.0,500.0,0.0004351703151737,bgd,South Asia
Bangladesh,1995,31.613,8.775,3.878,62.054,62.232,62.1451707317073,2.1286209095709,117369492.0,1104.0,0.0009406192198565,bgd,South Asia
Bangladesh,1996,30.79,8.479,3.732,62.657,62.729,62.6938780487805,2.10773502193195,119869585.0,2500.0,0.0020855999459746,bgd,South Asia
Bangladesh,1997,29.996,8.196,3.596,63.26,63.225,63.2420731707317,2.08973301837794,122400896.0,4000.0,0.0032679499339612,bgd,South Asia
Bangladesh,1998,29.226,7.93,3.468,63.857,63.714,63.783756097561,2.05744712671364,124945315.0,26000.0,0.0208091035666283,bgd,South Asia
Bangladesh,1999,28.478,7.681,3.346,64.442,64.191,64.3134390243903,2.00717496153095,127478524.0,75000.0,0.0588334392701315,bgd,South Asia
Bangladesh,2000,27.748,7.451,3.231,65.012,64.65,64.8265853658537,1.93312989969333,129966823.0,149000.0,0.114644642810112,bgd,South Asia
Bangladesh,2001,27.028,7.239,3.12,65.562,65.089,65.3197317073171,1.84220280408818,132383265.0,279000.0,0.210751713972306,bgd,South Asia
Bangladesh,2002,26.307,7.046,3.011,66.091,65.504,65.7903414634146,1.75678486686209,134729503.0,520000.0,0.385958523130602,bgd,South Asia
Bangladesh,2003,25.581,6.871,2.905,66.601,65.896,66.2399024390244,1.67576699929012,137006279.0,1075000.0,0.784635571337573,bgd,South Asia
Bangladesh,2004,24.855,6.711,2.802,67.094,66.268,66.6709268292683,1.57843106502121,139185986.0,1365000.0,0.98070218074972,bgd,South Asia
Bangladesh,2005,24.135,6.564,2.702,67.57,66.625,67.0859756097561,1.46143499662599,141235035.0,2781560.0,1.96945467532188,bgd,South Asia
Bangladesh,2006,23.442,6.43,2.607,68.033,66.972,67.4895609756098,1.33640809055535,143135180.0,9000000.0,6.2877623795911,bgd,South Asia
Bangladesh,2007,22.8,6.308,2.52,68.485,67.318,67.8872682926829,1.20383303397185,144868702.0,19130983.0,13.2057392217126,bgd,South Asia
Bangladesh,2008,22.225,6.195,2.443,68.928,67.669,68.2831463414634,1.09044987303533,146457067.0,34370000.0,23.4676282299167,bgd,South Asia
Bangladesh,2009,21.725,6.091,2.377,69.365,68.029,68.6807073170732,1.02770000094875,147969967.0,44640000.0,30.1682840815934,bgd,South Asia
Bangladesh,2010,21.298,5.994,2.322,69.799,68.399,69.0819268292683,1.03078009054722,149503100.0,51359315.0,34.3533445125887,bgd,South Asia
Bangladesh,2011,20.934,5.903,2.277,70.229,68.778,69.4858048780488,1.0793323621772,151125475.0,67923887.0,44.9453588152494,bgd,South Asia
Bangladesh,2012,20.614,5.817,2.24,70.656,69.164,69.8918048780488,1.1427921105854,152862431.0,84368700.0,55.192567230597,bgd,South Asia
Bangladesh,2013,20.311,5.736,2.208,71.078,69.549,70.2948536585366,1.19194421785353,154695368.0,97180000.0,62.8202390649473,bgd,South Asia
