Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Benin,1980,47.222,19.474,7.018,50.115,43.7,46.8292682926829,2.66725268890171,3618509.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1981,47.233,19.11,7.025,50.549,44.078,47.2345853658537,2.71302818223836,3718024.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1982,47.232,18.733,7.025,50.99,44.506,47.6689268292683,2.76353984862838,3822206.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1983,47.219,18.332,7.021,51.454,45.004,48.1503414634146,2.8156407323856,3931355.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1984,47.192,17.901,7.01,51.951,45.581,48.6883170731707,2.85844175660072,4045352.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1985,47.15,17.441,6.994,52.484,46.234,49.2827804878049,2.88998980669024,4163968.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1986,47.086,16.953,6.972,53.056,46.962,49.9346829268293,2.91800681914548,4287263.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1987,46.996,16.441,6.942,53.664,47.757,50.6384634146342,2.92347169880362,4414450.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1988,46.876,15.921,6.904,54.287,48.59,51.3690243902439,2.9394390408559,4546136.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1989,46.721,15.409,6.858,54.901,49.426,52.0967317073171,3.01683137836794,4685375.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1990,46.531,14.919,6.805,55.483,50.232,52.7934634146341,3.16916041361166,4836240.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1991,46.302,14.471,6.744,56.003,50.96,53.42,3.35545208180632,5001271.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1992,46.031,14.083,6.677,56.426,51.564,53.9357073170732,3.56003091120842,5182525.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1993,45.722,13.759,6.603,56.741,52.028,54.3270243902439,3.70661907777886,5378226.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1994,45.381,13.499,6.526,56.948,52.354,54.5949756097561,3.72637941117766,5582420.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1995,45.014,13.297,6.446,57.057,52.553,54.7500731707317,3.59560507978874,5786794.0,0.0,0.0,ben,Sub-Saharan Africa
Benin,1996,44.631,13.14,6.365,57.086,52.654,54.8159512195122,3.37878495569867,5985658.0,1050.0,0.0175419310625498,ben,Sub-Saharan Africa
Benin,1997,44.242,13.009,6.284,57.066,52.704,54.8318048780488,3.13560265469565,6176318.0,2707.0,0.0438287018252622,ben,Sub-Saharan Africa
Benin,1998,43.854,12.883,6.205,57.034,52.755,54.8423170731707,2.9510615146731,6361301.0,4295.0,0.0675176351504197,ben,Sub-Saharan Africa
Benin,1999,43.469,12.741,6.128,57.026,52.856,54.8901463414634,2.86965702304756,6546493.0,6286.0,0.0960208771322294,ben,Sub-Saharan Africa
Benin,2000,43.089,12.573,6.051,57.066,53.03,54.9987804878049,2.92032845241275,6740491.0,7269.0,0.10784080862952,ben,Sub-Saharan Africa
Benin,2001,42.707,12.37,5.975,57.173,53.298,55.188243902439,3.05176614584761,6949366.0,55476.0,0.798288649640845,ben,Sub-Saharan Africa
Benin,2002,42.313,12.126,5.898,57.357,53.666,55.4664878048781,3.19399249935225,7174911.0,125000.0,1.74218188908545,ben,Sub-Saharan Africa
Benin,2003,41.896,11.853,5.818,57.607,54.107,55.8143170731707,3.28800929940672,7414744.0,218770.0,2.95047273378555,ben,Sub-Saharan Africa
Benin,2004,41.45,11.562,5.733,57.906,54.591,56.2080731707317,3.32829033967979,7665681.0,236175.0,3.08093957992773,ben,Sub-Saharan Africa
Benin,2005,40.976,11.262,5.645,58.243,55.1,56.6331707317073,3.29908200503968,7922796.0,459322.0,5.79747351818727,ben,Sub-Saharan Africa
Benin,2006,40.476,10.964,5.553,58.601,55.606,57.0669756097561,3.22366881609206,8182362.0,596267.0,7.28722342032777,ben,Sub-Saharan Africa
Benin,2007,39.957,10.681,5.459,58.962,56.082,57.4868780487805,3.14363046602853,8443671.0,1055727.0,12.5031754553203,ben,Sub-Saharan Africa
Benin,2008,39.427,10.423,5.365,59.307,56.509,57.8738780487805,3.07664081720673,8707490.0,2051776.0,23.56334603887,ben,Sub-Saharan Africa
Benin,2009,38.898,10.196,5.273,59.623,56.876,58.216,3.00691464768073,8973293.0,3625366.0,40.4017343465771,ben,Sub-Saharan Africa
Benin,2010,38.376,10.002,5.182,59.903,57.177,58.506756097561,2.93739010241699,9240783.0,5033349.0,54.4688583207722,ben,Sub-Saharan Africa
Benin,2011,37.865,9.841,5.095,60.146,57.414,58.7466829268293,2.86960132094712,9509798.0,7074914.0,74.3960492115605,ben,Sub-Saharan Africa
Benin,2012,37.369,9.708,5.01,60.356,57.601,58.9449024390244,2.79958871492926,9779795.0,7765206.0,79.4004986812096,ben,Sub-Saharan Africa
Benin,2013,36.885,9.593,4.927,60.548,57.759,59.1194878048781,2.73239601300599,10050702.0,8407846.0,83.6543158875868,ben,Sub-Saharan Africa
