Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Bhutan,1980,44.97,19.52,6.601,44.02,44.359,44.1936341463415,3.21115708302525,400551.0,0.0,0.0,btn,South Asia
Bhutan,1981,44.337,18.871,6.553,44.785,45.13,44.9617073170732,2.99888696312528,412745.0,0.0,0.0,btn,South Asia
Bhutan,1982,43.732,18.255,6.504,45.533,45.88,45.7107317073171,2.70968639032513,424082.0,0.0,0.0,btn,South Asia
Bhutan,1983,43.184,17.67,6.456,46.269,46.617,46.447243902439,2.44808271619243,434592.0,0.0,0.0,btn,South Asia
Bhutan,1984,42.698,17.11,6.41,47.0,47.346,47.1772195121951,2.36845996110786,445008.0,0.0,0.0,btn,South Asia
Bhutan,1985,42.261,16.572,6.362,47.732,48.073,47.9066585365854,2.51940946908691,456362.0,0.0,0.0,btn,South Asia
Bhutan,1986,41.823,16.046,6.306,48.468,48.802,48.6390731707317,2.7836534800052,469244.0,0.0,0.0,btn,South Asia
Bhutan,1987,41.315,15.523,6.23,49.216,49.539,49.3814390243903,3.17674783463991,484390.0,0.0,0.0,btn,South Asia
Bhutan,1988,40.679,14.998,6.127,49.976,50.284,50.133756097561,3.40988938325285,501192.0,0.0,0.0,btn,South Asia
Bhutan,1989,39.885,14.467,5.994,50.752,51.038,50.8984878048781,3.16453144251028,517306.0,0.0,0.0,btn,South Asia
Bhutan,1990,38.933,13.93,5.829,51.542,51.803,51.6756829268293,2.33344716784016,529519.0,0.0,0.0,btn,South Asia
Bhutan,1991,37.858,13.39,5.639,52.346,52.577,52.4643170731707,1.16761882899807,535738.0,0.0,0.0,btn,South Asia
Bhutan,1992,36.719,12.854,5.431,53.161,53.359,53.2624146341463,-0.155607456095689,534905.0,0.0,0.0,btn,South Asia
Bhutan,1993,35.584,12.331,5.216,53.981,54.144,54.0644878048781,-1.24172854378938,528304.0,0.0,0.0,btn,South Asia
