Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Bolivia,1980,40.205,15.119,5.634,53.277,49.202,51.1898048780488,2.35724437488278,5243771.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1981,39.616,14.544,5.521,54.029,50.006,51.9684390243903,2.35823360895571,5368901.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1982,39.129,14.005,5.423,54.775,50.808,52.7431219512195,2.35996313383267,5497112.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1983,38.714,13.498,5.337,55.509,51.603,53.5083658536585,2.35929299363506,5628347.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1984,38.345,13.019,5.259,56.225,52.389,54.2602195121951,2.35856362069237,5762673.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1985,38.012,12.572,5.189,56.915,53.156,54.9896585365854,2.3572446539635,5900127.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1986,37.715,12.156,5.127,57.577,53.897,55.6921219512195,2.35554591155281,6040757.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1987,37.461,11.771,5.074,58.211,54.607,56.3650487804878,2.35071248930652,6184440.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1988,37.244,11.415,5.029,58.822,55.285,57.0103658536585,2.34563325430594,6331219.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1989,37.053,11.084,4.989,59.414,55.93,57.629512195122,2.34534638311617,6481463.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1990,36.867,10.775,4.952,59.986,56.537,58.2194390243902,2.35115774430449,6635658.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1991,36.652,10.486,4.913,60.539,57.102,58.7785853658537,2.35888064658898,6794046.0,0.0,0.0,bol,Latin America & Caribbean
Bolivia,1992,36.372,10.217,4.866,61.07,57.619,59.3024146341464,2.36637584348839,6956736.0,295.0,0.0042404943927727,bol,Latin America & Caribbean
Bolivia,1993,36.009,9.967,4.81,61.579,58.092,59.7929756097561,2.36598600578586,7123294.0,1551.0,0.021773634501117,bol,Latin America & Caribbean
Bolivia,1994,35.554,9.733,4.742,62.067,58.523,60.2517804878049,2.35097594676143,7292745.0,2659.0,0.036460893668982,bol,Latin America & Caribbean
Bolivia,1995,35.012,9.513,4.663,62.535,58.919,60.6829024390244,2.31810320793549,7463773.0,4056.0,0.0543424887118084,bol,Latin America & Caribbean
Bolivia,1996,34.403,9.307,4.575,62.986,59.286,61.0908780487805,2.27293003399822,7635362.0,7229.0,0.0946778947743408,bol,Latin America & Caribbean
Bolivia,1997,33.762,9.112,4.482,63.421,59.632,61.4802926829268,2.22243961066075,7806953.0,33400.0,0.427823761715999,bol,Latin America & Caribbean
Bolivia,1998,33.126,8.928,4.39,63.843,59.966,61.8572195121951,2.17383090567947,7978521.0,118433.0,1.48439792287317,bol,Latin America & Caribbean
Bolivia,1999,32.524,8.755,4.302,64.254,60.295,62.2262195121951,2.12911286381774,8150214.0,239272.0,2.93577567411113,bol,Latin America & Caribbean
Bolivia,2000,31.966,8.592,4.219,64.657,60.625,62.5918292682927,2.09074514585045,8322408.0,420344.0,5.05074973493249,bol,Latin America & Caribbean
Bolivia,2001,31.445,8.436,4.14,65.05,60.959,62.9546097560976,2.05580196981094,8495271.0,582620.0,6.85816850339442,bol,Latin America & Caribbean
Bolivia,2002,30.938,8.287,4.062,65.435,61.297,63.3155365853659,2.0251401459023,8669066.0,779917.0,8.99655164697097,bol,Latin America & Caribbean
Bolivia,2003,30.42,8.146,3.982,65.809,61.636,63.6716097560976,1.99047069462458,8843350.0,1023333.0,11.5717799250284,bol,Latin America & Caribbean
Bolivia,2004,29.874,8.012,3.897,66.172,61.971,64.0202682926829,1.94222980528812,9016787.0,1278844.0,14.1829234737385,bol,Latin America & Caribbean
Bolivia,2005,29.306,7.884,3.809,66.526,62.304,64.363512195122,1.87677750648768,9187610.0,1800789.0,19.6001898208566,bol,Latin America & Caribbean
Bolivia,2006,28.731,7.764,3.72,66.873,62.632,64.7007804878049,1.80240156256075,9354709.0,2421402.0,25.8843113131579,bol,Latin America & Caribbean
Bolivia,2007,28.174,7.652,3.633,67.213,62.957,65.0330975609756,1.72413240227495,9517395.0,2876143.0,30.2198553280598,bol,Latin America & Caribbean
Bolivia,2008,27.659,7.548,3.551,67.55,63.278,65.3619024390244,1.65745416445355,9676456.0,3254410.0,33.6322513118439,bol,Latin America & Caribbean
Bolivia,2009,27.204,7.454,3.477,67.882,63.594,65.6857073170732,1.61600158168761,9834098.0,5038600.0,51.2360157484703,bol,Latin America & Caribbean
Bolivia,2010,26.812,7.368,3.413,68.212,63.904,66.0054634146342,1.60697411280816,9993406.0,6464390.0,64.6865543139146,bol,Latin America & Caribbean
Bolivia,2011,26.482,7.289,3.357,68.537,64.208,66.3197073170732,1.61983634385803,10156601.0,7179293.0,70.6859804771301,bol,Latin America & Caribbean
Bolivia,2012,26.201,7.218,3.308,68.856,64.504,66.6269268292683,1.63905454428885,10324445.0,8353273.0,80.9077194948494,bol,Latin America & Caribbean
Bolivia,2013,25.948,7.152,3.264,69.168,64.792,66.9266341463415,1.6507000658595,10496285.0,9493207.0,90.4434950079957,bol,Latin America & Caribbean
