Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Botswana,1980,44.511,9.302,6.291,62.261,58.217,60.1896829268293,3.86578864959178,960807.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1981,44.073,8.976,6.217,62.796,58.723,60.7098292682927,3.75126770615923,997534.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1982,43.501,8.659,6.125,63.317,59.216,61.2164878048781,3.62171188177746,1034324.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1983,42.798,8.348,6.012,63.828,59.696,61.7116097560976,3.50818516467396,1071254.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1984,41.977,8.047,5.88,64.321,60.151,62.1851463414634,3.41426418974671,1108461.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1985,41.053,7.766,5.731,64.777,60.56,62.6170731707317,3.34839185904245,1146205.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1986,40.042,7.512,5.567,65.179,60.896,62.9852682926829,3.2996795844705,1184657.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1987,38.965,7.293,5.393,65.51,61.129,63.2660731707317,3.24568276789548,1223738.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1988,37.851,7.122,5.214,65.74,61.233,63.4315365853659,3.1792696756639,1263269.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1989,36.733,7.015,5.036,65.836,61.18,63.4512195121951,3.11138339047047,1303192.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1990,35.639,6.989,4.863,65.766,60.953,63.3008048780488,3.04168490531796,1343440.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1991,34.597,7.067,4.698,65.476,60.516,62.935512195122,2.96807827542972,1383912.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1992,33.626,7.269,4.542,64.916,59.844,62.3181463414634,2.89157295643978,1424513.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1993,32.728,7.6,4.394,64.081,58.95,61.4529268292683,2.80743870957374,1465072.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1994,31.898,8.054,4.252,62.989,57.869,60.3665609756098,2.70898188215021,1505303.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1995,31.14,8.621,4.117,61.668,56.642,59.0937073170732,2.59423210506467,1544865.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1996,30.444,9.293,3.989,60.159,55.316,57.6784390243903,2.46713775786675,1583453.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1997,29.793,10.055,3.866,58.509,53.943,56.1703170731707,2.34285513260424,1620989.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1998,29.169,10.88,3.746,56.793,52.58,54.6351219512195,2.21828810762141,1657349.0,0.0,0.0,bwa,Sub-Saharan Africa
Botswana,1999,28.561,11.732,3.631,55.087,51.287,53.1406585365854,2.07793899357672,1692148.0,15190.0,0.897675617026407,bwa,Sub-Saharan Africa
Botswana,2000,27.968,12.581,3.519,53.454,50.112,51.742243902439,1.91842637338403,1724924.0,92000.0,5.33356831953176,bwa,Sub-Saharan Africa
Botswana,2001,27.402,13.399,3.413,51.954,49.095,50.4896341463415,1.74995177644796,1755375.0,222190.0,12.6576942248807,bwa,Sub-Saharan Africa
Botswana,2002,26.88,14.166,3.316,50.622,48.258,49.4111707317073,1.58105479417388,1783349.0,332264.0,18.6314624899557,bwa,Sub-Saharan Africa
Botswana,2003,26.417,14.872,3.227,49.458,47.587,48.4996829268293,1.4267882078863,1808976.0,332264.0,18.3675184192604,bwa,Sub-Saharan Africa
Botswana,2004,26.022,15.506,3.148,48.46,47.065,47.7454878048781,1.29758755672004,1832602.0,444978.0,24.2812132694388,bwa,Sub-Saharan Africa
Botswana,2005,25.692,16.052,3.079,47.641,46.693,47.1554390243902,1.20071704574764,1854739.0,522840.0,28.1894110168601,bwa,Sub-Saharan Africa
Botswana,2006,25.417,16.501,3.017,47.002,46.465,46.7269512195122,1.12939152670369,1875805.0,563782.0,30.0554695184201,bwa,Sub-Saharan Africa
Botswana,2007,25.182,16.847,2.962,46.533,46.367,46.4479756097561,1.06789669131362,1895944.0,823070.0,43.4121471942209,bwa,Sub-Saharan Africa
Botswana,2008,24.966,17.1,2.91,46.208,46.38,46.2960975609756,1.0098400464035,1915187.0,1151761.0,60.1383050323545,bwa,Sub-Saharan Africa
Botswana,2009,24.753,17.268,2.86,46.004,46.485,46.2503658536585,0.96298237531509,1933719.0,1485791.0,76.8359311771772,bwa,Sub-Saharan Africa
Botswana,2010,24.532,17.354,2.811,45.911,46.671,46.3002682926829,0.926338148405928,1951715.0,1874101.0,96.0232923352026,bwa,Sub-Saharan Africa
Botswana,2011,24.299,17.361,2.761,45.924,46.932,46.4402926829268,0.899049578694651,1969341.0,2363411.0,120.010247082654,bwa,Sub-Saharan Africa
Botswana,2012,24.055,17.289,2.712,46.041,47.267,46.6689512195122,0.877650511916261,1986701.0,2900263.0,145.983869741848,bwa,Sub-Saharan Africa
Botswana,2013,23.807,17.145,2.665,46.268,47.679,46.9907073170732,0.862479789547192,2003910.0,3081726.0,153.785649056095,bwa,Sub-Saharan Africa
