Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Brazil,1980,32.222,8.817,4.169,65.028,59.807,62.3538292682927,2.35087983376664,118924135.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1981,31.921,8.677,4.073,65.539,60.008,62.7060487804878,2.34054520905536,121740438.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1982,31.506,8.531,3.966,66.061,60.195,63.0564634146342,2.33039788240435,124610790.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1983,30.969,8.374,3.848,66.582,60.39,63.4104878048781,2.31205175606411,127525420.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1984,30.313,8.206,3.721,67.095,60.611,63.7739268292683,2.27176739719871,130455659.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1985,29.548,8.027,3.587,67.595,60.865,64.1479268292683,2.20509177666328,133364277.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1986,28.69,7.842,3.449,68.08,61.154,64.5325365853659,2.12092554132114,136223043.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1987,27.762,7.654,3.308,68.553,61.472,64.9261463414634,2.03486567004791,139023394.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1988,26.807,7.473,3.17,69.018,61.805,65.3235365853659,1.95470594288449,141767626.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1989,25.869,7.303,3.039,69.478,62.145,65.7220731707317,1.87622978004687,144452622.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1990,24.982,7.149,2.917,69.932,62.488,66.1192195121951,1.80159605473656,147078659.0,0.0,0.0,bra,Latin America & Caribbean
Brazil,1991,24.187,7.013,2.809,70.379,62.835,66.515,1.73206094658114,149648341.0,667.0,0.0004457115899467,bra,Latin America & Caribbean
Brazil,1992,23.513,6.895,2.717,70.817,63.189,66.9099756097561,1.66019876430836,152153539.0,6700.0,0.0044034467052389,bra,Latin America & Caribbean
Brazil,1993,22.963,6.793,2.643,71.244,63.555,67.3057317073171,1.59379664198757,154597985.0,32000.0,0.0206988467540505,bra,Latin America & Caribbean
