Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Bulgaria,1980,15.3,10.7,2.16,74.11,68.64,71.3082926829268,0.135011572680936,8825940.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1981,14.5,11.1,2.05,73.99,68.46,71.1575609756098,0.40248874474625,8861535.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1982,14.1,11.1,2.0,74.43,68.85,71.5719512195122,0.333268825188891,8891117.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1983,13.9,11.2,2.01,74.08,68.43,71.1860975609756,0.295812783296283,8917457.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1984,13.6,11.4,2.01,74.48,68.44,71.3863414634146,0.249546600825385,8939738.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1985,13.7,11.3,2.01,74.66,68.49,71.499756097561,0.233972309730169,8960679.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1986,13.3,11.4,1.97,74.46,68.15,71.2280487804878,-0.0014731135024134,8960547.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1987,13.2,11.4,2.02,75.06,68.56,71.7307317073171,-0.0265197545262494,8958171.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1988,13.0,12.0,1.96,74.81,68.4,71.5268292682927,0.147109292640267,8971359.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1989,13.1,12.0,1.97,74.99,68.38,71.6043902439024,0.112372423824029,8981446.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1990,12.6,11.9,1.9,75.19,68.42,71.7224390243903,-1.17003859875014,8876972.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1991,12.1,12.4,1.82,75.15,68.3,71.6414634146342,-1.80375047906806,8718289.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1992,11.1,12.7,1.66,74.88,68.4,71.5609756097561,-0.990425980099359,8632367.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1993,10.4,12.6,1.55,75.09,68.07,71.4943902439024,-1.07385319076042,8540164.0,0.0,0.0,bgr,Europe & Central Asia
Bulgaria,1994,10.0,12.9,1.46,75.26,67.62,71.3468292682927,-0.797665851516421,8472313.0,1000.0,0.0116925723401912,bgr,Europe & Central Asia
Bulgaria,1995,9.4,13.2,1.37,75.25,67.36,71.2087804878049,-0.339586079485037,8443591.0,6500.0,0.0769082049695952,bgr,Europe & Central Asia
