Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Burkina Faso,1980,49.022,20.409,7.09,46.257,43.829,45.0133902439024,2.13360449604817,6671659.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1981,49.099,19.739,7.127,47.234,44.82,45.9975609756098,2.24072528254422,6822840.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1982,49.092,19.1,7.152,48.154,45.761,46.9283170731707,2.35118048898215,6985158.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1983,49.011,18.527,7.165,48.962,46.595,47.7496341463415,2.44787635313651,7158256.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1984,48.871,18.048,7.167,49.619,47.282,48.422,2.51960285903838,7340907.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1985,48.68,17.673,7.159,50.106,47.799,48.9243658536585,2.55978295354797,7531244.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1986,48.457,17.407,7.142,50.418,48.14,49.2512195121951,2.57784756717084,7727912.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1987,48.218,17.241,7.119,50.571,48.319,49.4175365853659,2.59013335289737,7930690.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1988,47.982,17.142,7.092,50.616,48.383,49.4722682926829,2.60594733694045,8140076.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1989,47.764,17.082,7.064,50.601,48.379,49.4629024390244,2.62169468361419,8356306.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1990,47.574,17.041,7.036,50.559,48.335,49.4198780487805,2.63970536051263,8579825.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1991,47.417,17.005,7.007,50.516,48.27,49.3656097560976,2.65911691744632,8811033.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1992,47.296,16.963,6.979,50.494,48.195,49.3164634146342,2.67700162178361,9050090.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1993,47.197,16.91,6.95,50.498,48.116,49.2779512195122,2.69295421252791,9297116.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1994,47.109,16.843,6.917,50.534,48.046,49.2596585365854,2.70958293106638,9552473.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1995,47.026,16.75,6.882,50.613,48.006,49.2777073170732,2.72733302285262,9816586.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1996,46.938,16.623,6.844,50.738,48.017,49.3443170731707,2.74591408163248,10089876.0,0.0,0.0,bfa,Sub-Saharan Africa
Burkina Faso,1997,46.841,16.458,6.801,50.906,48.101,49.4692926829268,2.76315056563986,10372562.0,525.0,0.005061430339004,bfa,Sub-Saharan Africa
Burkina Faso,1998,46.729,16.257,6.754,51.104,48.261,49.6478292682927,2.78016136072166,10664982.0,1503.0,0.0140928507896216,bfa,Sub-Saharan Africa
Burkina Faso,1999,46.595,16.024,6.704,51.322,48.499,49.8760731707317,2.80013254006948,10967836.0,2730.0,0.0248909629939762,bfa,Sub-Saharan Africa
Burkina Faso,2000,46.435,15.761,6.65,51.559,48.817,50.1545609756098,2.82364048132395,11281942.0,5036.0,0.0446377051043163,bfa,Sub-Saharan Africa
Burkina Faso,2001,46.245,15.469,6.592,51.816,49.213,50.482756097561,2.84862969390073,11607944.0,25245.0,0.217480373785401,bfa,Sub-Saharan Africa
Burkina Faso,2002,46.024,15.151,6.531,52.094,49.681,50.8580731707317,2.87134997788493,11946080.0,76186.0,0.637748951957462,bfa,Sub-Saharan Africa
