Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Burundi,1980,50.413,18.861,7.455,48.639,45.305,46.9313414634146,2.54711613757782,4018846.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1981,50.747,18.651,7.45,49.028,45.638,47.2916585365854,2.64440020374073,4126538.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1982,51.027,18.454,7.449,49.39,45.943,47.6244634146342,2.70761202376404,4239795.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1983,51.27,18.266,7.454,49.728,46.227,47.9348048780488,2.78146970055874,4359379.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1984,51.48,18.088,7.469,50.035,46.49,48.2192682926829,2.88408931788193,4486938.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1985,51.641,17.928,7.492,50.291,46.716,48.4599024390244,3.02734288031972,4624850.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1986,51.716,17.813,7.52,50.45,46.865,48.6137804878049,3.17730569160336,4774155.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1987,51.665,17.777,7.546,50.458,46.887,48.6289512195122,3.32657606876839,4935642.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1988,51.461,17.829,7.565,50.298,46.763,48.4873902439024,3.40720181757381,5106707.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1989,51.095,17.962,7.572,49.978,46.5,48.1965853658537,3.35290766406036,5280833.0,0.0,0.0,bdi,Sub-Saharan Africa
Burundi,1990,50.569,18.152,7.564,49.531,46.129,47.788512195122,3.14104664898625,5449339.0,0.0,0.0,bdi,Sub-Saharan Africa
