Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Central African Republic,1980,42.268,17.643,5.954,50.638,46.197,48.3633414634146,2.51603490635951,2213997.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1981,42.295,17.391,5.954,51.059,46.475,48.7110975609756,2.67800533731662,2274089.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1982,42.33,17.234,5.955,51.338,46.609,48.9158292682927,2.8591481992842,2340047.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1983,42.358,17.165,5.956,51.475,46.607,48.9816341463415,2.99195257109848,2411118.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1984,42.366,17.174,5.955,51.472,46.485,48.9176829268293,2.99414463770625,2484402.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1985,42.34,17.253,5.952,51.337,46.256,48.7345365853659,2.83865103521411,2555936.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1986,42.261,17.392,5.944,51.075,45.934,48.4418048780488,2.58960101264009,2622989.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1987,42.114,17.581,5.927,50.695,45.534,48.0515609756098,2.30734404701205,2684214.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1988,41.899,17.807,5.902,50.222,45.079,47.5877804878049,2.08283335078462,2740708.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1989,41.627,18.053,5.868,49.689,44.597,47.0809024390244,1.96784352712815,2795175.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1990,41.311,18.304,5.826,49.124,44.116,46.5589268292683,1.99869265278088,2851604.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1991,40.98,18.547,5.78,48.554,43.661,46.0478292682927,2.12414143581546,2912824.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1992,40.672,18.775,5.734,48.001,43.251,45.5680731707317,2.26619785858613,2979588.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1993,40.411,18.984,5.691,47.477,42.891,45.1280731707317,2.36152097641555,3050789.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1994,40.213,19.172,5.653,46.995,42.588,44.737756097561,2.40801164369109,3125144.0,0.0,0.0,caf,Sub-Saharan Africa
Central African Republic,1995,40.078,19.33,5.622,46.572,42.351,44.4100243902439,2.38682406166537,3200633.0,0.0,0.0,caf,Sub-Saharan Africa
