Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
China,1980,17.82,6.21,2.813,68.346,65.254,66.7622926829268,1.33392795351687,969005000.0,0.0,0.0,chn,East Asia & Pacific
China,1981,18.21,6.34,2.71,68.594,65.528,67.0236097560976,1.25422105193987,981235000.0,0.0,0.0,chn,East Asia & Pacific
China,1982,20.91,6.36,2.673,68.866,65.804,67.2976585365854,1.28095234429252,993885000.0,0.0,0.0,chn,East Asia & Pacific
China,1983,22.28,6.6,2.682,69.143,66.076,67.5720975609756,1.47267476016581,1008630000.0,0.0,0.0,chn,East Asia & Pacific
China,1984,20.19,6.9,2.72,69.411,66.337,67.836512195122,1.4449496950092,1023310000.0,0.0,0.0,chn,East Asia & Pacific
China,1985,19.9,6.82,2.769,69.672,66.589,68.0929024390244,1.31206876113779,1036825000.0,0.0,0.0,chn,East Asia & Pacific
China,1986,21.04,6.78,2.811,69.925,66.833,68.3412926829268,1.36169911825369,1051040000.0,0.0,0.0,chn,East Asia & Pacific
China,1987,22.43,6.86,2.826,70.171,67.069,68.5821707317073,1.48739892914903,1066790000.0,0.0,0.0,chn,East Asia & Pacific
China,1988,23.33,6.72,2.806,70.41,67.297,68.8155365853658,1.6036050865576,1084035000.0,700.0,6.34516639183636e-05,chn,East Asia & Pacific
China,1989,22.37,6.64,2.745,70.643,67.518,69.0423902439024,1.61007108578698,1101630000.0,3227.0,0.000286862858745,chn,East Asia & Pacific
China,1990,21.58,6.54,2.644,70.869,67.732,69.262243902439,1.53316999599862,1118650000.0,9805.0,0.0008556029309331,chn,East Asia & Pacific
China,1991,21.06,6.67,2.506,71.086,67.934,69.4715609756098,1.46730321087928,1135185000.0,18319.0,0.0015718675714021,chn,East Asia & Pacific
China,1992,19.68,6.7,2.342,71.286,68.114,69.6613170731707,1.36443400840349,1150780000.0,47544.0,0.0040189063440545,chn,East Asia & Pacific
China,1993,18.27,6.64,2.171,71.47,68.272,69.832,1.2255362283362,1164970000.0,176943.0,0.0147590858681494,chn,East Asia & Pacific
China,1994,18.09,6.64,2.009,71.643,68.417,69.9906585365854,1.14961943083465,1178440000.0,638000.0,0.0525923722492988,chn,East Asia & Pacific
China,1995,17.7,6.49,1.865,71.814,68.561,70.1478292682927,1.13026063215591,1191835000.0,1568000.0,0.127903776161997,chn,East Asia & Pacific
China,1996,17.12,6.57,1.746,72.002,68.736,70.3291707317073,1.08650915088974,1204855000.0,3629000.0,0.293245077656933,chn,East Asia & Pacific
China,1997,16.98,6.56,1.656,72.229,68.976,70.5628292682927,1.04814151412165,1217550000.0,6853000.0,0.549163872881274,chn,East Asia & Pacific
China,1998,16.57,6.51,1.591,72.506,69.3,70.8639024390244,1.02345002419879,1230075000.0,13233000.0,1.0527263861642,chn,East Asia & Pacific
China,1999,15.64,6.5,1.546,72.836,69.71,71.2348780487805,0.959550406298151,1241935000.0,23863000.0,1.88607136855488,chn,East Asia & Pacific
China,2000,14.64,6.46,1.52,73.214,70.197,71.6687073170732,0.865851392993279,1252735000.0,43296000.0,3.40132614890962,chn,East Asia & Pacific
China,2001,14.03,6.45,1.51,73.622,70.73,72.1407317073171,0.787956592953992,1262645000.0,85260000.0,6.65870796169192,chn,East Asia & Pacific
China,2002,13.38,6.43,1.514,74.036,71.271,72.6197804878049,0.726380637838525,1271850000.0,144820000.0,11.2447452430793,chn,East Asia & Pacific
China,2003,12.86,6.41,1.527,74.43,71.774,73.0696097560976,0.669999567758626,1280400000.0,206005000.0,15.9037673118535,chn,East Asia & Pacific
China,2004,12.41,6.4,1.546,74.784,72.209,73.4650975609756,0.622860936133583,1288400000.0,269953000.0,20.7208224177185,chn,East Asia & Pacific
China,2005,12.29,6.42,1.566,75.087,72.562,73.7937073170732,0.593932815112141,1296075000.0,334824000.0,25.5510015440261,chn,East Asia & Pacific
China,2006,12.4,6.51,1.585,75.339,72.83,74.0539024390244,0.588124989556992,1303720000.0,393406000.0,29.844705926728,chn,East Asia & Pacific
China,2007,12.09,6.81,1.602,75.545,73.029,74.2563170731707,0.558374367373002,1311020000.0,461058000.0,34.7667488692781,chn,East Asia & Pacific
China,2008,12.1,6.93,1.617,75.723,73.187,74.4240731707317,0.522271866392275,1317885000.0,547306000.0,41.0168743137341,chn,East Asia & Pacific
China,2009,12.14,7.06,1.63,75.889,73.333,74.5798292682927,0.51238693163744,1324655000.0,641245000.0,47.7567162731978,chn,East Asia & Pacific
China,2010,12.13,7.08,1.642,76.049,73.477,74.7316341463415,0.497381400884935,1331260000.0,747214000.0,55.2980834070778,chn,East Asia & Pacific
China,2011,11.9,7.11,1.65,76.207,73.626,74.8850243902439,0.482959688678361,1337705000.0,859003000.0,63.1702780188133,chn,East Asia & Pacific
China,2012,11.93,7.14,1.657,76.365,73.782,75.042,0.47915045424996,1344130000.0,986253000.0,72.0713209045364,chn,East Asia & Pacific
China,2013,12.1,7.2,1.663,76.522,73.94,75.199512195122,0.487231117971201,1350695000.0,1112155000.0,80.7627145493731,chn,East Asia & Pacific
