Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Colombia,1980,32.097,7.3,4.121,67.532,62.394,64.9003414634146,2.30896656254944,26326236.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1981,31.644,7.071,3.993,68.306,62.785,65.4781707317073,2.2845362828491,26934591.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1982,31.141,6.859,3.867,69.052,63.142,66.0249268292683,2.25974074603358,27550172.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1983,30.622,6.673,3.744,69.73,63.463,66.5200731707317,2.23727925877411,28173493.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1984,30.114,6.52,3.63,70.31,63.744,66.9469268292683,2.21075593114913,28803276.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1985,29.627,6.403,3.525,70.784,63.981,67.2995365853659,2.17982451879869,29438030.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1986,29.167,6.321,3.43,71.153,64.166,67.5742926829269,2.14575912812776,30076525.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1987,28.741,6.273,3.347,71.439,64.289,67.7768048780488,2.11079692265148,30718127.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1988,28.342,6.25,3.275,71.68,64.357,67.9291951219512,2.07593057341996,31362479.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1989,27.964,6.241,3.211,71.909,64.384,68.0547317073171,2.04056209423616,32009024.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1990,27.601,6.239,3.155,72.141,64.39,68.1709756097561,2.00503061789021,32657292.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1991,27.24,6.234,3.104,72.384,64.405,68.2971951219512,1.9697644480461,33306941.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1992,26.868,6.218,3.057,72.638,64.464,68.4513170731707,1.93376269949468,33957286.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1993,26.477,6.188,3.012,72.894,64.589,68.6402195121951,1.89863695530774,34608171.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1994,26.061,6.143,2.966,73.144,64.791,68.8656341463415,1.86722991349306,35260456.0,0.0,0.0,col,Latin America & Caribbean
Colombia,1995,25.622,6.082,2.92,73.389,65.073,69.1295853658537,1.84050101536634,35915434.0,86805.0,0.241692749696412,col,Latin America & Caribbean
Colombia,1996,25.161,6.009,2.872,73.63,65.424,69.4269268292683,1.81676150152482,36573895.0,274590.0,0.750781397496767,col,Latin America & Caribbean
Colombia,1997,24.687,5.928,2.823,73.869,65.822,69.7473658536586,1.79446308029145,37236124.0,522857.0,1.40416601899811,col,Latin America & Caribbean
Colombia,1998,24.213,5.847,2.775,74.107,66.234,70.074487804878,1.77075772216813,37901358.0,1264763.0,3.33698597290366,col,Latin America & Caribbean
Colombia,1999,23.752,5.774,2.727,74.344,66.632,70.3939512195122,1.74374265021582,38568056.0,1800229.0,4.66766849747366,col,Latin America & Caribbean
Colombia,2000,23.311,5.711,2.682,74.582,67.002,70.6995609756098,1.7122279850876,39234115.0,1966535.0,5.01230880319334,col,Latin America & Caribbean
Colombia,2001,22.897,5.659,2.64,74.821,67.336,70.9872195121951,1.67791473694712,39897984.0,2256801.0,5.65642865564335,col,Latin America & Caribbean
Colombia,2002,22.518,5.62,2.603,75.063,67.634,71.2579024390244,1.64232290904954,40558648.0,3265261.0,8.05071460961914,col,Latin America & Caribbean
Colombia,2003,22.17,5.588,2.57,75.306,67.909,71.5172926829268,1.60848808370586,41216304.0,4596594.0,11.1523682472839,col,Latin America & Caribbean
Colombia,2004,21.849,5.562,2.542,75.551,68.171,71.771,1.57846575536707,41872051.0,6186206.0,14.7740697010519,col,Latin America & Caribbean
Colombia,2005,21.55,5.541,2.518,75.794,68.423,72.0186097560976,1.55352539588565,42527623.0,10400578.0,24.4560529517486,col,Latin America & Caribbean
Colombia,2006,21.266,5.526,2.496,76.036,68.665,72.2606097560976,1.53168406066982,43184026.0,21849993.0,50.5973968244647,col,Latin America & Caribbean
Colombia,2007,20.986,5.516,2.475,76.272,68.899,72.4955853658537,1.51072338011788,43841370.0,29762715.0,67.8872831756854,col,Latin America & Caribbean
Colombia,2008,20.702,5.511,2.454,76.501,69.125,72.7230487804878,1.48751165909207,44498390.0,33941118.0,76.2749348909028,col,Latin America & Caribbean
Colombia,2009,20.408,5.512,2.43,76.722,69.345,72.9435365853658,1.46045335317292,45153037.0,41364753.0,91.6101235892505,col,Latin America & Caribbean
Colombia,2010,20.1,5.518,2.405,76.935,69.561,73.1580731707317,1.42824643132691,45802561.0,42159613.0,92.0464098066481,col,Latin America & Caribbean
Colombia,2011,19.779,5.529,2.376,77.14,69.775,73.3676829268293,1.39244610123457,46444798.0,44477653.0,95.7645525770184,col,Latin America & Caribbean
Colombia,2012,19.448,5.545,2.346,77.339,69.988,73.5738536585366,1.35581560094426,47078792.0,46200421.0,98.1342533172899,col,Latin America & Caribbean
Colombia,2013,19.113,5.564,2.316,77.533,70.2,73.7770731707317,1.32015792029083,47704427.0,49066359.0,102.85493838968,col,Latin America & Caribbean
