Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Costa Rica,1980,30.056,5.3,3.665,74.254,69.789,71.9670487804878,2.7643888030897,2284076.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1981,30.102,5.117,3.618,74.827,70.348,72.5328780487805,2.77841761349956,2348427.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1982,30.112,4.949,3.577,75.356,70.864,73.0552195121951,2.78839771359953,2414832.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1983,30.095,4.802,3.544,75.832,71.328,73.5250731707317,2.79807490501393,2483355.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1984,30.049,4.675,3.517,76.254,71.737,73.9404146341464,2.79383016165207,2553714.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1985,29.954,4.569,3.491,76.621,72.09,74.300243902439,2.77458173616239,2625561.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1986,29.772,4.481,3.463,76.936,72.389,74.6070487804878,2.74444615015393,2698616.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1987,29.467,4.409,3.427,77.207,72.644,74.8698536585366,2.71268858120037,2772823.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1988,29.025,4.348,3.38,77.447,72.868,75.1016585365854,2.68005659419946,2848141.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1989,28.448,4.294,3.323,77.669,73.075,75.3159756097561,2.64050491024888,2924348.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1990,27.749,4.243,3.254,77.882,73.275,75.5223170731708,2.59393260346525,3001196.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1991,26.956,4.195,3.175,78.092,73.474,75.7266829268293,2.54481558532333,3078551.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1992,26.106,4.149,3.09,78.304,73.676,75.9335609756098,2.48397172275261,3155979.0,0.0,0.0,cri,Latin America & Caribbean
Costa Rica,1993,25.248,4.106,3.002,78.517,73.88,76.1419512195122,2.42874225581143,3233568.0,3008.0,0.0930241763896723,cri,Latin America & Caribbean
Costa Rica,1994,24.42,4.068,2.917,78.73,74.084,76.3503414634147,2.40587539367668,3312307.0,4533.0,0.136853256657671,cri,Latin America & Caribbean
Costa Rica,1995,23.647,4.034,2.835,78.943,74.288,76.5587317073171,2.42390125290608,3393575.0,6985.0,0.20583013488725,cri,Latin America & Caribbean
Costa Rica,1996,22.942,4.005,2.758,79.157,74.492,76.7676097560976,2.46301180831026,3478197.0,18750.0,0.539072398716921,cri,Latin America & Caribbean
Costa Rica,1997,22.306,3.981,2.686,79.37,74.695,76.9754878048781,2.51001068545165,3566605.0,46531.0,1.30463003332301,cri,Latin America & Caribbean
Costa Rica,1998,21.715,3.963,2.616,79.577,74.892,77.1773658536585,2.53078544916337,3658020.0,64387.0,1.76015986790668,cri,Latin America & Caribbean
Costa Rica,1999,21.153,3.951,2.548,79.778,75.083,77.373243902439,2.49898103932952,3750585.0,108770.0,2.9000809207097,cri,Latin America & Caribbean
Costa Rica,2000,20.612,3.945,2.481,79.969,75.264,77.5591219512195,2.40119993603871,3841734.0,138178.0,3.59676125416283,cri,Latin America & Caribbean
Costa Rica,2001,20.082,3.946,2.414,80.15,75.434,77.7344878048781,2.26107586040687,3929588.0,211614.0,5.3851447021927,cri,Latin America & Caribbean
Costa Rica,2002,19.552,3.954,2.345,80.319,75.588,77.8958048780488,2.11261028959272,4013488.0,326944.0,8.14613124544037,cri,Latin America & Caribbean
Costa Rica,2003,19.02,3.969,2.275,80.476,75.728,78.0440975609756,1.9822716216621,4093840.0,502478.0,12.2740019150724,cri,Latin America & Caribbean
Costa Rica,2004,18.488,3.989,2.204,80.623,75.858,78.1823902439025,1.87071735635717,4171145.0,778299.0,18.6591211765594,cri,Latin America & Caribbean
Costa Rica,2005,17.96,4.015,2.134,80.764,75.981,78.3141707317073,1.78659149959607,4246336.0,923084.0,21.7383645571147,cri,Latin America & Caribbean
Costa Rica,2006,17.454,4.043,2.067,80.902,76.107,78.4460243902439,1.72290009437175,4320130.0,1101305.0,25.4924041637636,cri,Latin America & Caribbean
Costa Rica,2007,16.988,4.072,2.006,81.041,76.245,78.584512195122,1.66114530565089,4392493.0,1443717.0,32.8678269948296,cri,Latin America & Caribbean
Costa Rica,2008,16.577,4.099,1.953,81.185,76.401,78.7346585365854,1.59748754966079,4463226.0,1508219.0,33.7921270399482,cri,Latin America & Caribbean
Costa Rica,2009,16.229,4.125,1.909,81.337,76.58,78.9004878048781,1.54483922894958,4532711.0,1886570.0,41.62122844364,cri,Latin America & Caribbean
Costa Rica,2010,15.941,4.148,1.874,81.497,76.783,79.082512195122,1.5045605568564,4601424.0,1950318.0,42.3850964397108,cri,Latin America & Caribbean
Costa Rica,2011,15.704,4.17,1.847,81.665,77.008,79.2797073170732,1.47257967786862,4669685.0,3128372.0,66.9932126042763,cri,Latin America & Caribbean
Costa Rica,2012,15.502,4.19,1.827,81.839,77.252,79.4895609756098,1.44559468240176,4737680.0,4153067.0,87.660352746492,cri,Latin America & Caribbean
Costa Rica,2013,15.313,4.212,1.81,82.014,77.506,79.7050243902439,1.41708705088326,4805295.0,5378082.0,111.919913345591,cri,Latin America & Caribbean
