Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Cote d'Ivoire,1980,48.908,15.847,7.695,52.176,48.326,50.2040487804878,4.43117744167466,7911804.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1981,48.232,15.44,7.602,52.701,48.812,50.7090731707317,4.37403322332662,8265549.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1982,47.513,15.063,7.497,53.191,49.254,51.1744878048781,4.31685133675171,8630174.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1983,46.771,14.719,7.383,53.644,49.659,51.6029024390244,4.24749997601653,9004637.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1984,46.026,14.411,7.263,54.051,50.024,51.9883902439024,4.15056528606702,9386245.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1985,45.291,14.141,7.139,54.402,50.342,52.3224878048781,4.0228042912873,9771533.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1986,44.577,13.915,7.013,54.689,50.599,52.5941219512195,3.87914583941871,10158033.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1987,43.885,13.733,6.884,54.905,50.779,52.7916829268293,3.7256875364621,10543628.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1988,43.216,13.601,6.752,55.039,50.871,52.9041707317073,3.58723985445868,10928719.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1989,42.574,13.523,6.619,55.073,50.866,52.9181951219512,3.48554597085498,11316361.0,0.0,0.0,civ,Sub-Saharan Africa
Cote d'Ivoire,1990,41.966,13.505,6.486,54.993,50.765,52.8274390243903,3.42896900660615,11711125.0,0.0,0.0,civ,Sub-Saharan Africa
