Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Cyprus,1980,19.543,7.768,2.328,76.644,72.571,74.5578292682927,0.999221328248931,680013.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1981,19.876,7.649,2.354,76.844,72.769,74.7568048780488,0.789944777997669,685406.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1982,20.168,7.549,2.385,77.039,72.963,74.9512926829268,0.548096461586783,689173.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1983,20.379,7.462,2.415,77.23,73.151,75.140756097561,0.367591029783002,691711.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1984,20.483,7.382,2.438,77.415,73.335,75.325243902439,0.341034473634692,694074.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1985,20.467,7.309,2.453,77.597,73.515,75.5062195121951,0.523499335711263,697717.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1986,20.34,7.244,2.458,77.774,73.691,75.6827073170732,0.852860508064609,703693.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1987,20.132,7.184,2.456,77.949,73.863,75.8561707317073,1.22131440193582,712340.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1988,19.883,7.129,2.45,78.12,74.03,76.0251219512195,1.53793463927424,723380.0,0.0,0.0,cyp,Europe & Central Asia
Cyprus,1989,19.62,7.078,2.442,78.288,74.194,76.1910731707317,1.79433347159115,736477.0,168.0,0.0228113030006368,cyp,Europe & Central Asia
Cyprus,1990,19.347,7.03,2.43,78.453,74.355,76.3540243902439,1.95902263979933,751047.0,1348.0,0.179482775378904,cyp,Europe & Central Asia
Cyprus,1991,19.048,6.988,2.411,78.616,74.512,76.5139512195122,2.05112688890835,766611.0,3156.0,0.411682065610851,cyp,Europe & Central Asia
Cyprus,1992,18.693,6.954,2.381,78.776,74.667,76.6713902439025,2.13294237548282,783138.0,5131.0,0.655184654556413,cyp,Europe & Central Asia
Cyprus,1993,18.255,6.929,2.337,78.934,74.819,76.8263170731707,2.21274618703149,800660.0,9739.0,1.21637149351785,cyp,Europe & Central Asia
Cyprus,1994,17.726,6.912,2.278,79.088,74.969,76.9782682926829,2.24205642909554,818814.0,15288.0,1.86709069458998,cyp,Europe & Central Asia
Cyprus,1995,17.114,6.903,2.206,79.24,75.116,77.1277073170732,2.21654263513833,837166.0,22938.0,2.73995838340305,cyp,Europe & Central Asia
Cyprus,1996,16.439,6.899,2.124,79.389,75.261,77.2746585365854,2.15339580443576,855389.0,44453.0,5.19681688681991,cyp,Europe & Central Asia
Cyprus,1997,15.73,6.895,2.035,79.536,75.403,77.4190975609756,2.06609668575197,873246.0,70781.0,8.10550520700925,cyp,Europe & Central Asia
Cyprus,1998,15.025,6.888,1.945,79.681,75.542,77.5610243902439,1.98274161764282,890733.0,91968.0,10.3249795393232,cyp,Europe & Central Asia
Cyprus,1999,14.36,6.875,1.86,79.825,75.678,77.7009268292683,1.92437112313028,908040.0,116429.0,12.8220122461566,cyp,Europe & Central Asia
Cyprus,2000,13.758,6.858,1.781,79.967,75.81,77.8378048780488,1.9035976998581,925491.0,151649.0,16.3857887326835,cyp,Europe & Central Asia
Cyprus,2001,13.244,6.837,1.714,80.107,75.938,77.9716585365854,1.90461766621283,943287.0,218324.0,23.1450237308476,cyp,Europe & Central Asia
Cyprus,2002,12.828,6.814,1.658,80.245,76.061,78.1019756097561,1.91042198880161,961481.0,314355.0,32.694873845661,cyp,Europe & Central Asia
Cyprus,2003,12.501,6.795,1.613,80.381,76.18,78.2292682926829,1.89522495403154,979877.0,417933.0,42.6515776980172,cyp,Europe & Central Asia
Cyprus,2004,12.25,6.781,1.577,80.514,76.295,78.3530487804878,1.84684971756418,998142.0,551752.0,55.2779063499983,cyp,Europe & Central Asia
Cyprus,2005,12.068,6.775,1.549,80.646,76.41,78.4763414634147,1.75558963293482,1015820.0,658234.0,64.7982910358134,cyp,Europe & Central Asia
Cyprus,2006,11.944,6.776,1.529,80.777,76.529,78.6011951219512,1.63701672562673,1032586.0,782503.0,75.7809034792259,cyp,Europe & Central Asia
Cyprus,2007,11.862,6.785,1.514,80.907,76.655,78.7291463414634,1.51168239802643,1048314.0,867785.0,82.7791100757979,cyp,Europe & Central Asia
Cyprus,2008,11.807,6.798,1.503,81.038,76.793,78.8637317073171,1.40013057320931,1063095.0,988312.0,92.9655392979931,cyp,Europe & Central Asia
Cyprus,2009,11.762,6.816,1.493,81.17,76.943,79.0049512195122,1.30775666395607,1077089.0,1016739.0,94.3969347008464,cyp,Europe & Central Asia
Cyprus,2010,11.717,6.836,1.485,81.303,77.107,79.1538292682927,1.24228753229374,1090553.0,977521.0,89.6353501388745,cyp,Europe & Central Asia
Cyprus,2011,11.665,6.858,1.478,81.438,77.283,79.3098292682927,1.19696740172674,1103685.0,1034071.0,93.6925843877556,cyp,Europe & Central Asia
Cyprus,2012,11.605,6.882,1.47,81.574,77.47,79.4719512195122,1.15558547044604,1116513.0,1090944.0,97.7099236641221,cyp,Europe & Central Asia
Cyprus,2013,11.542,6.908,1.465,81.711,77.662,79.6371219512195,1.11165349566729,1128994.0,1110935.0,98.4004343690046,cyp,Europe & Central Asia
