Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Djibouti,1980,41.304,12.027,6.52,54.798,51.712,53.2173658536585,8.71867376311263,336479.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1981,40.811,11.937,6.443,55.199,52.111,53.6173414634146,6.54744341884452,359247.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1982,40.437,11.85,6.373,55.61,52.523,54.0288536585366,4.3025179133713,375041.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1983,40.188,11.735,6.316,56.011,52.929,54.4324146341464,2.66857888700334,385184.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1984,40.058,11.578,6.271,56.386,53.311,54.811,2.12150612923212,393443.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1985,40.033,11.378,6.239,56.728,53.664,55.1586341463415,2.9516135919163,405229.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1986,40.1,11.156,6.218,57.038,53.982,55.4727317073171,4.58163499183128,424227.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1987,40.241,10.944,6.205,57.322,54.266,55.7567317073171,6.32851636875052,451942.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1988,40.403,10.776,6.193,57.585,54.523,56.0166585365854,7.37960946367013,486555.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1989,40.527,10.673,6.174,57.834,54.753,56.2559268292683,7.48914555602604,524393.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1990,40.559,10.636,6.142,58.065,54.958,56.4736097560976,6.59167845773475,560124.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1991,40.41,10.651,6.087,58.273,55.13,56.6631707317073,5.18355272543282,589924.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1992,39.996,10.691,6.0,58.448,55.262,56.8161463414634,3.7700522942155,612589.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1993,39.297,10.725,5.879,58.585,55.353,56.9295853658537,2.70298477266487,629373.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1994,38.331,10.728,5.727,58.68,55.407,57.0035853658537,1.97084426056648,641900.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1995,37.136,10.692,5.548,58.738,55.43,57.0436585365854,1.68275522354568,652793.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1996,35.79,10.622,5.352,58.758,55.43,57.0534146341464,1.70205628980139,663999.0,0.0,0.0,dji,Middle East & North Africa
Djibouti,1997,34.395,10.53,5.148,58.743,55.415,57.0384146341463,1.77511769872242,675891.0,110.0,0.0162748135424203,dji,Middle East & North Africa
Djibouti,1998,33.065,10.437,4.95,58.704,55.399,57.0111951219512,1.76072969850343,687897.0,203.0,0.029510231909719,dji,Middle East & North Africa
Djibouti,1999,31.893,10.359,4.768,58.658,55.397,56.9877317073171,1.73297828398897,699922.0,220.0,0.0314320738596586,dji,Middle East & North Africa
Djibouti,2000,30.931,10.298,4.607,58.621,55.42,56.9814634146342,1.66201276195998,711652.0,280.0,0.0393450731537324,dji,Middle East & North Africa
Djibouti,2001,30.21,10.254,4.469,58.613,55.484,57.0103414634146,1.56638888380713,722887.0,230.0,0.0318168676432139,dji,Middle East & North Africa
Djibouti,2002,29.727,10.219,4.353,58.653,55.598,57.088243902439,1.48909226041967,733732.0,3000.0,0.408868633233933,dji,Middle East & North Africa
Djibouti,2003,29.416,10.182,4.253,58.751,55.763,57.2205609756098,1.44803587684529,744434.0,15000.0,2.0149536426332,dji,Middle East & North Africa
Djibouti,2004,29.213,10.133,4.16,58.914,55.98,57.4112195121951,1.42061275998434,755085.0,23000.0,3.04601468708821,dji,Middle East & North Africa
Djibouti,2005,29.085,10.067,4.074,59.149,56.249,57.6636341463415,1.40593730831788,765776.0,34482.0,4.50288334970017,dji,Middle East & North Africa
Djibouti,2006,28.998,9.98,3.991,59.46,56.573,57.9812926829268,1.4016403371678,776585.0,44053.0,5.67265656689223,dji,Middle East & North Africa
Djibouti,2007,28.924,9.867,3.911,59.848,56.951,58.3641707317073,1.40131400064494,787544.0,44817.0,5.69072966081895,dji,Middle East & North Africa
Djibouti,2008,28.844,9.733,3.832,60.298,57.374,58.8003414634146,1.40536433445793,798690.0,69539.0,8.70663211008026,dji,Middle East & North Africa
Djibouti,2009,28.739,9.582,3.755,60.793,57.831,59.2758780487805,1.4184811337044,810100.0,112848.0,13.930132082459,dji,Middle East & North Africa
Djibouti,2010,28.59,9.417,3.679,61.318,58.31,59.7773170731707,1.44184511552814,821865.0,128776.0,15.6687533840716,dji,Middle East & North Africa
Djibouti,2011,28.385,9.245,3.604,61.858,58.799,60.2911951219512,1.47004189030438,834036.0,165613.0,19.8568167321315,dji,Middle East & North Africa
Djibouti,2012,28.124,9.072,3.53,62.396,59.286,60.8030731707317,1.50060947029677,846646.0,193049.0,22.8016195670918,dji,Middle East & North Africa
Djibouti,2013,27.818,8.903,3.457,62.922,59.763,61.3039756097561,1.52449945936498,859652.0,212468.0,24.7155825845807,dji,Middle East & North Africa
