Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Dominican Republic,1980,34.69,7.997,4.552,64.568,60.818,62.6472682926829,2.35049793906306,5691517.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1981,34.266,7.827,4.422,64.981,61.183,63.0356829268293,2.33049180111321,5825715.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1982,33.873,7.665,4.302,65.419,61.554,63.4393658536585,2.31353266051971,5962066.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1983,33.487,7.508,4.19,65.886,61.936,63.8628292682927,2.2934818636404,6100385.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1984,33.088,7.351,4.082,66.384,62.331,64.3080731707317,2.26891940213485,6240380.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1985,32.666,7.194,3.978,66.914,62.743,64.7776341463415,2.23780850527014,6381602.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1986,32.218,7.035,3.878,67.476,63.174,65.2725365853659,2.20219234776792,6523696.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1987,31.752,6.874,3.783,68.073,63.627,65.7957804878049,2.16432477569641,6666429.0,0.0,0.0,dom,Latin America & Caribbean
Dominican Republic,1988,31.28,6.715,3.695,68.694,64.096,66.3389268292683,2.12779763624574,6809797.0,791.5,0.0109245842067364,dom,Latin America & Caribbean
Dominican Republic,1989,30.814,6.562,3.613,69.322,64.571,66.8885609756098,2.09429311287654,6953918.0,1583.0,0.0218491684134729,dom,Latin America & Caribbean
Dominican Republic,1990,30.35,6.418,3.537,69.944,65.041,67.4327073170732,2.06502368284366,7099011.0,2374.5,0.0327737526202094,dom,Latin America & Caribbean
Dominican Republic,1991,29.88,6.289,3.466,70.537,65.487,67.9504146341463,2.03736263795173,7245127.0,3166.0,0.0436983368269459,dom,Latin America & Caribbean
Dominican Republic,1992,29.388,6.179,3.397,71.08,65.891,68.4222195121951,2.01218524640576,7392389.0,5605.0,0.075821226399206,dom,Latin America & Caribbean
