Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
El Salvador,1980,38.644,11.826,5.266,62.932,50.957,56.7984634146342,1.80768874846711,4582494.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1981,37.946,11.761,5.137,63.205,50.631,56.7646585365854,1.68913629231123,4660556.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1982,37.221,11.619,5.004,63.583,50.551,56.9080731707317,1.57384130943999,4734486.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1983,36.491,11.382,4.87,64.095,50.781,57.2756341463415,1.47154023152532,4804671.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1984,35.779,11.044,4.738,64.752,51.349,57.8870487804878,1.39360754131594,4872098.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1985,35.095,10.611,4.609,65.546,52.251,58.7363658536585,1.34578192455993,4938109.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1986,34.451,10.098,4.485,66.46,53.452,59.7973658536585,1.32207551184972,5003828.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1987,33.852,9.533,4.367,67.459,54.889,61.0207073170732,1.29326461234843,5068961.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1988,33.293,8.955,4.255,68.487,56.44,62.3165853658537,1.26709122285388,5133598.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1989,32.762,8.404,4.148,69.489,57.989,63.598756097561,1.27774218769826,5199613.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1990,32.252,7.905,4.047,70.426,59.454,64.8061951219512,1.33281292811989,5269378.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1991,31.761,7.481,3.951,71.259,60.755,65.8789024390244,1.41043967371689,5344226.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1992,31.285,7.146,3.862,71.961,61.837,66.7755365853659,1.50551814253762,5425293.0,0.0,0.0,slv,Latin America & Caribbean
El Salvador,1993,30.813,6.892,3.777,72.537,62.706,67.5016097560976,1.56992282303502,5511138.0,0.0,0.0,slv,Latin America & Caribbean
