Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Equatorial Guinea,1980,35.096,21.856,5.708,44.181,40.993,42.5481219512195,-0.136581579934402,215109.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1981,36.603,21.677,5.728,44.565,41.333,42.9095853658537,2.51563651663401,220589.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1982,38.433,21.524,5.751,44.955,41.684,43.2796097560976,5.34832071771951,232708.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1983,40.389,21.387,5.776,45.344,42.047,43.6552926829268,7.47756616538263,250776.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1984,42.281,21.258,5.802,45.725,42.417,44.0306585365854,8.23920296018303,272313.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1985,43.98,21.125,5.826,46.095,42.793,44.4037317073171,7.60322120171679,293825.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1986,45.363,20.977,5.848,46.455,43.172,44.7734634146341,6.24901385791189,312772.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1987,46.354,20.803,5.866,46.811,43.553,45.1422682926829,4.83162547613188,328255.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1988,46.977,20.597,5.881,47.167,43.933,45.5105609756098,3.79216294810214,340942.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1989,47.267,20.361,5.891,47.52,44.305,45.8732926829268,3.12822345560763,351776.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1990,47.236,20.095,5.897,47.866,44.662,46.2249268292683,2.96297848769364,362355.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1991,46.914,19.806,5.9,48.194,44.995,46.5554878048781,3.12329280385575,373851.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1992,46.349,19.501,5.901,48.49,45.295,46.8535365853659,3.30623627923536,386418.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1993,45.624,19.193,5.902,48.745,45.556,47.1116097560976,3.36069222757047,399625.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1994,44.819,18.895,5.902,48.953,45.778,47.3267804878049,3.38575928323291,413387.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1995,43.99,18.612,5.901,49.111,45.962,47.4980975609756,3.35771056837171,427503.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1996,43.179,18.353,5.897,49.214,46.105,47.6215853658537,3.29616234970578,441829.0,0.0,0.0,gnq,Sub-Saharan Africa
Equatorial Guinea,1997,42.404,18.125,5.888,49.255,46.205,47.6928048780488,3.24225866391555,456389.0,61.0,0.0133657910247618,gnq,Sub-Saharan Africa
