Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Fiji,1980,33.768,7.354,3.941,64.391,61.124,62.7176585365854,1.9812473902465,621537.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1981,33.711,7.238,3.907,64.704,61.394,63.0086341463415,2.18326246903318,635256.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1982,33.499,7.119,3.864,65.02,61.655,63.2964634146341,2.44293462461012,650966.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1983,33.143,7.001,3.813,65.335,61.905,63.5781707317073,2.61585506166955,668219.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1984,32.664,6.887,3.755,65.645,62.147,63.8533414634146,2.54187428514948,685422.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1985,32.084,6.779,3.693,65.948,62.379,64.1199756097561,2.16083268712799,700394.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1986,31.445,6.679,3.629,66.244,62.603,64.3790975609756,1.59614509149239,711663.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1987,30.804,6.587,3.568,66.532,62.818,64.6297073170732,0.955147819596582,718493.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1988,30.208,6.503,3.512,66.814,63.025,64.8732926829268,0.430669090548554,721594.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1989,29.69,6.426,3.465,67.092,63.225,65.1113414634146,0.15412302841548,722707.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1990,29.259,6.356,3.427,67.366,63.418,65.3438536585366,0.227771956210042,724355.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1991,28.902,6.291,3.398,67.635,63.605,65.5708536585366,0.54849954474557,728339.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1992,28.584,6.231,3.374,67.901,63.786,65.7933170731707,0.938821338179009,735209.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1993,28.257,6.174,3.352,68.164,63.961,66.011243902439,1.23431071591486,744340.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1994,27.887,6.121,3.33,68.423,64.13,66.2241463414634,1.41178376004359,754923.0,0.0,0.0,fji,East Asia & Pacific
Fiji,1995,27.468,6.074,3.305,68.679,64.295,66.4335365853659,1.41276739182115,765664.0,1100.0,0.14366615120993,fji,East Asia & Pacific
Fiji,1996,27.005,6.035,3.276,68.932,64.455,66.6389024390244,1.28767307996372,775587.0,2200.0,0.283656121105692,fji,East Asia & Pacific
Fiji,1997,26.518,6.01,3.244,69.182,64.61,66.840243902439,1.1613773105783,784647.0,3700.0,0.471549626774843,fji,East Asia & Pacific
Fiji,1998,26.039,6.001,3.209,69.429,64.76,67.0375609756098,1.07128602193131,793098.0,5200.0,0.655656677989353,fji,East Asia & Pacific
Fiji,1999,25.589,6.009,3.171,69.673,64.905,67.2308536585366,0.943463603401737,800616.0,8000.0,0.999230592443818,fji,East Asia & Pacific
Fiji,2000,25.176,6.035,3.132,69.914,65.045,67.4201219512195,0.776502169390759,806857.0,23380.0,2.8976634025608,fji,East Asia & Pacific
Fiji,2001,24.803,6.076,3.09,70.153,65.18,67.6058536585366,0.591906351163897,811647.0,55057.0,6.78336764627973,fji,East Asia & Pacific
Fiji,2002,24.465,6.129,3.046,70.392,65.308,67.788,0.375443074103243,814700.0,80933.0,9.93408616668712,fji,East Asia & Pacific
Fiji,2003,24.147,6.19,3.001,70.63,65.431,67.9670975609756,0.188480665410815,816237.0,89900.0,11.0139579558388,fji,East Asia & Pacific
Fiji,2004,23.836,6.254,2.954,70.867,65.549,68.1431463414634,0.120847711713882,817224.0,109882.0,13.4457627284563,fji,East Asia & Pacific
Fiji,2005,23.526,6.317,2.907,71.103,65.665,68.3176829268293,0.216474774048586,818995.0,142190.0,17.3615223536163,fji,East Asia & Pacific
Fiji,2006,23.212,6.378,2.86,71.336,65.783,68.4917804878049,0.42510507344503,822484.0,205000.0,24.924497011492,fji,East Asia & Pacific
Fiji,2007,22.892,6.434,2.816,71.564,65.906,68.666,0.675658596522455,828060.0,284661.0,34.3768567495109,fji,East Asia & Pacific
Fiji,2008,22.567,6.486,2.774,71.787,66.038,68.8423902439024,0.881546023832108,835392.0,530048.0,63.4490155519804,fji,East Asia & Pacific
Fiji,2009,22.238,6.536,2.736,72.003,66.181,69.021,1.00748629602021,843851.0,600000.0,71.1025998665641,fji,East Asia & Pacific
Fiji,2010,21.902,6.584,2.701,72.212,66.333,69.2008048780488,1.01726366966522,852479.0,640000.0,75.0751631418487,fji,East Asia & Pacific
Fiji,2011,21.555,6.633,2.67,72.414,66.495,69.3823170731707,0.943360266587159,860559.0,697920.0,81.1007728697277,fji,East Asia & Pacific
Fiji,2012,21.196,6.684,2.641,72.61,66.663,69.5639756097561,0.851851860440537,867921.0,727000.0,83.7633839946262,fji,East Asia & Pacific
Fiji,2013,20.823,6.74,2.615,72.801,66.834,69.7447317073171,0.782828904238703,874742.0,858809.0,98.1785486463437,fji,East Asia & Pacific
