Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Finland,1980,13.3,9.1,1.64,77.55,68.97,73.1553658536586,0.25557902782611,4764690.0,0.0,0.0,fin,Europe & Central Asia
Finland,1981,13.1,9.2,1.63,77.85,69.24,73.44,0.311078415926419,4779535.0,23482.0,0.49131135062708,fin,Europe & Central Asia
Finland,1982,13.2,9.2,1.64,78.09,69.61,73.7465853658537,0.426515644912231,4799964.0,28278.0,0.589014682458431,fin,Europe & Central Asia
Finland,1983,13.7,9.0,1.71,78.58,70.22,74.2980487804878,0.560285843941572,4826933.0,33880.0,0.702011029529841,fin,Europe & Central Asia
Finland,1984,13.8,9.3,1.74,78.36,70.24,74.2009756097561,0.595991320809624,4855787.0,42226.0,0.870065828785815,fin,Europe & Central Asia
Finland,1985,13.4,9.2,1.69,78.76,70.48,74.5190243902439,0.534342930873442,4881803.0,52010.0,1.06594862869531,fin,Europe & Central Asia
Finland,1986,12.8,9.8,1.64,78.51,70.14,74.2229268292683,0.41706890447956,4902206.0,67639.0,1.37976291960845,fin,Europe & Central Asia
Finland,1987,12.4,9.6,1.6,78.76,70.56,74.56,0.324794895907026,4918154.0,85300.0,1.73328432182355,fin,Europe & Central Asia
Finland,1988,12.0,9.7,1.59,78.71,70.67,74.5919512195122,0.283626731803862,4932123.0,105860.0,2.14410465401957,fin,Europe & Central Asia
Finland,1989,12.8,9.9,1.69,78.69,70.66,74.5770731707317,0.290689051012441,4946481.0,138160.0,2.79004807461238,fin,Europe & Central Asia
Finland,1990,12.8,9.9,1.71,78.9,70.88,74.7921951219512,0.361018799003539,4964371.0,190031.0,3.8252731202051,fin,Europe & Central Asia
Finland,1991,13.1,10.0,1.78,78.88,70.94,74.8131707317073,0.443382073914297,4986431.0,257872.0,5.17119019472778,fin,Europe & Central Asia
Finland,1992,13.0,9.8,1.79,79.32,71.33,75.2275609756098,0.546172018187903,5013740.0,319137.0,6.37078712918822,fin,Europe & Central Asia
Finland,1993,13.3,9.9,1.85,79.43,71.67,75.4553658536585,0.561909850746084,5041992.0,386021.0,7.6669080485841,fin,Europe & Central Asia
Finland,1994,12.8,10.1,1.81,79.48,72.11,75.7051219512195,0.483854088858285,5066447.0,489174.0,9.66467218483186,fin,Europe & Central Asia
Finland,1995,12.8,9.4,1.85,80.15,72.82,76.3956097560976,0.431048902829755,5088333.0,675565.0,13.2815321501095,fin,Europe & Central Asia
Finland,1996,12.3,9.6,1.81,80.21,72.79,76.409512195122,0.381655333457214,5107790.0,1039126.0,20.3424079358268,fin,Europe & Central Asia
Finland,1997,11.8,9.6,1.76,80.54,73.03,76.6934146341464,0.328037913627481,5124573.0,1502003.0,29.301538171615,fin,Europe & Central Asia
Finland,1998,11.5,9.6,1.75,80.51,73.42,76.8785365853659,0.297377330426395,5139835.0,2162574.0,42.0672449863882,fin,Europe & Central Asia
Finland,1999,11.1,9.6,1.7,80.84,73.52,77.0907317073171,0.265472962436301,5153498.0,2845985.0,55.2272177308635,fin,Europe & Central Asia
Finland,2000,11.1,9.6,1.73,81.02,73.74,77.2912195121951,0.232116249119004,5165474.0,3273433.0,63.3799116322476,fin,Europe & Central Asia
Finland,2001,11.0,9.5,1.73,81.0,74.1,77.4658536585366,0.2076065154133,5176209.0,3728625.0,72.0300968881955,fin,Europe & Central Asia
Finland,2002,10.8,9.4,1.73,81.5,74.6,77.9658536585366,0.227687341886374,5188008.0,4175587.0,80.4803665148516,fin,Europe & Central Asia
Finland,2003,10.7,9.5,1.72,81.5,74.9,78.119512195122,0.242381050233372,5200598.0,4516772.0,86.856673869513,fin,Europe & Central Asia
Finland,2004,10.9,9.4,1.76,81.8,75.1,78.3682926829268,0.238457240068217,5213014.0,4747126.0,91.059505913148,fin,Europe & Central Asia
Finland,2005,11.0,9.1,1.8,82.3,75.3,78.7146341463415,0.290350361518584,5228172.0,4988000.0,95.403129865311,fin,Europe & Central Asia
Finland,2006,11.0,9.1,1.8,82.3,75.5,78.8170731707317,0.342248594286999,5246096.0,5270000.0,100.450444955443,fin,Europe & Central Asia
Finland,2007,11.2,9.1,1.84,82.8,75.8,79.2146341463415,0.383777136305104,5266268.0,5670000.0,107.634718518126,fin,Europe & Central Asia
Finland,2008,11.1,9.3,1.83,82.9,75.8,79.2634146341464,0.425429832100631,5288720.0,6080000.0,114.884734520841,fin,Europe & Central Asia
Finland,2009,11.2,9.2,1.85,83.0,76.3,79.5682926829268,0.465549284507694,5313399.0,6830000.0,128.424568992668,fin,Europe & Central Asia
Finland,2010,11.3,9.3,1.86,83.1,76.5,79.719512195122,0.478246393482911,5338871.0,7700000.0,144.088794626124,fin,Europe & Central Asia
Finland,2011,11.4,9.5,1.87,83.2,76.7,79.8707317073171,0.457494535465831,5363352.0,8390000.0,156.305511511184,fin,Europe & Central Asia
Finland,2012,11.1,9.4,1.83,83.8,77.3,80.4707317073171,0.463558707499131,5388272.0,8940000.0,165.890900939752,fin,Europe & Central Asia
Finland,2013,11.0,9.6,1.8,83.7,77.7,80.6268292682927,0.475809486683209,5413971.0,9320000.0,172.322429317296,fin,Europe & Central Asia
