Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
France,1980,14.0,10.2,1.87,78.0,69.9,73.8512195121951,0.384119776317448,54982879.0,0.0,0.0,fra,Europe & Central Asia
France,1981,14.0,10.2,1.85,78.2,70.1,74.0512195121951,0.438792787147006,55224670.0,0.0,0.0,fra,Europe & Central Asia
France,1982,14.1,10.1,1.85,78.5,70.3,74.3,0.506841366129397,55505282.0,0.0,0.0,fra,Europe & Central Asia
France,1983,14.2,10.0,1.86,78.7,70.5,74.5,0.559409624359381,55816654.0,0.0,0.0,fra,Europe & Central Asia
France,1984,14.2,10.0,1.86,79.0,70.8,74.8,0.595215355395484,56149874.0,0.0,0.0,fra,Europe & Central Asia
France,1985,14.3,9.9,1.86,79.2,71.0,75.0,0.603696365879166,56489874.0,0.0,0.0,fra,Europe & Central Asia
France,1986,14.2,9.8,1.86,79.5,71.3,75.3,0.591774934967352,56825158.0,0.0,0.0,fra,Europe & Central Asia
France,1987,14.1,9.7,1.85,79.8,71.6,75.6,0.579061215902582,57155165.0,9055.0,0.0162525456413392,fra,Europe & Central Asia
France,1988,14.0,9.6,1.83,80.0,71.8,75.8,0.571571451929571,57482783.0,39234.0,0.0700467161999822,fra,Europe & Central Asia
France,1989,13.8,9.5,1.81,80.3,72.1,76.1,0.556945578005344,57803824.0,98332.0,0.174653362399599,fra,Europe & Central Asia
France,1990,13.6,9.4,1.79,80.6,72.3,76.3487804878049,0.534516154878849,58113622.0,178400.0,0.315304134520904,fra,Europe & Central Asia
France,1991,13.4,9.3,1.77,80.8,72.6,76.6,0.507335170647197,58409202.0,283200.0,0.498190672452739,fra,Europe & Central Asia
France,1992,13.2,9.2,1.75,81.1,72.8,76.8487804878049,0.252842248829359,58557072.0,375000.0,0.656765549462931,fra,Europe & Central Asia
France,1993,13.1,9.2,1.74,81.3,73.1,77.1,0.497657523911339,58849212.0,436700.0,0.761609495901365,fra,Europe & Central Asia
France,1994,13.0,9.2,1.73,81.5,73.3,77.3,0.433831464954371,59105073.0,572000.0,0.993573196841389,fra,Europe & Central Asia
France,1995,12.5,9.1,1.73,81.9,73.6,77.6487804878049,0.372741098675122,59325793.0,883000.0,1.52788525557506,fra,Europe & Central Asia
France,1996,12.8,9.1,1.74,81.9,73.8,77.7512195121951,0.361612778980586,59540711.0,1302496.0,2.24533597035134,fra,Europe & Central Asia
France,1997,12.8,9.1,1.75,82.0,74.1,77.9536585365854,0.354270070331048,59752020.0,2462700.0,4.2302639856844,fra,Europe & Central Asia
France,1998,12.7,9.1,1.77,82.3,74.5,78.3048780487805,0.353791562459768,59963792.0,5817300.0,9.95800564220226,fra,Europe & Central Asia
France,1999,12.8,9.1,1.78,82.6,74.8,78.6048780487805,0.368519597874941,60185178.0,11210100.0,19.1182607197229,fra,Europe & Central Asia
France,2000,12.9,9.1,1.81,82.7,75.0,78.7560975609756,0.514237682550158,60495470.0,21433500.0,36.3929361282959,fra,Europe & Central Asia
France,2001,13.3,8.9,1.89,83.0,75.3,79.0560975609756,0.684623196977183,60911057.0,29052360.0,49.0640786625986,fra,Europe & Central Asia
France,2002,13.1,8.8,1.9,83.0,75.5,79.1585365853659,0.727376566641199,61355725.0,36997400.0,62.0754308413151,fra,Europe & Central Asia
France,2003,12.9,8.8,1.88,83.0,75.7,79.2609756097561,0.726712845307049,61803229.0,38585300.0,64.2577024085651,fra,Europe & Central Asia
France,2004,12.8,9.1,1.89,82.7,75.7,79.1146341463415,0.708201614783567,62242474.0,41702000.0,68.897449165373,fra,Europe & Central Asia
France,2005,12.8,8.3,1.92,83.8,76.7,80.1634146341463,0.73576463804478,62702121.0,44544000.0,73.0199139094822,fra,Europe & Central Asia
France,2006,12.8,8.5,1.94,83.8,76.7,80.1634146341463,0.753310125352638,63176246.0,48088000.0,78.2618958635053,fra,Europe & Central Asia
France,2007,13.1,8.3,2.0,84.5,77.3,80.8121951219512,0.696768012964405,63617975.0,51662000.0,83.5343202408839,fra,Europe & Central Asia
France,2008,12.8,8.3,1.98,84.8,77.6,81.1121951219512,0.618344536725658,64012572.0,55358100.0,88.9845999116843,fra,Europe & Central Asia
France,2009,12.9,8.5,2.01,84.8,77.8,81.2146341463415,0.558525752115882,64371099.0,57972000.0,92.6771821238358,fra,Europe & Central Asia
France,2010,12.8,8.5,2.0,85.0,78.0,81.4146341463415,0.514158822978601,64702921.0,57918000.0,92.0965957461289,fra,Europe & Central Asia
France,2011,12.9,8.5,2.03,85.3,78.2,81.6634146341463,0.493688998165546,65023142.0,57785000.0,91.3873297259601,fra,Europe & Central Asia
France,2012,12.6,8.4,2.01,85.7,78.7,82.1146341463415,0.491608012832423,65343588.0,59816000.0,94.0767742977773,fra,Europe & Central Asia
France,2013,12.6,8.7,2.01,86.1,79.2,82.5658536585366,0.508578596069261,65676758.0,62260000.0,97.3777528746261,fra,Europe & Central Asia
