Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Germany,1980,10.5,12.1,1.38,75.725,69.25,72.4085365853659,0.0442074062989572,78126350.0,0.0,0.0,deu,Europe & Central Asia
Germany,1981,11.1,12.2,1.44,76.0,69.514,72.6779024390244,0.207430406185115,78288576.0,0.0,0.0,deu,Europe & Central Asia
Germany,1982,11.0,12.2,1.43,76.275,69.788,72.9523902439024,0.152308489359723,78407907.0,0.0,0.0,deu,Europe & Central Asia
Germany,1983,11.0,12.0,1.41,76.55,70.07,73.2309756097561,-0.0951134365477742,78333366.0,0.0,0.0,deu,Europe & Central Asia
Germany,1984,10.6,12.0,1.33,76.824,70.358,73.5121463414634,-0.262152572305171,78128282.0,0.0,0.0,deu,Europe & Central Asia
Germany,1985,10.4,11.8,1.29,77.096,70.647,73.7928536585366,-0.345666402296961,77858685.0,0.0,0.0,deu,Europe & Central Asia
Germany,1986,10.5,12.0,1.37,77.36,70.926,74.0645365853659,-0.223489901582361,77684873.0,1080.0,0.0013688831614366,deu,Europe & Central Asia
Germany,1987,10.9,11.9,1.43,77.613,71.187,74.3216341463415,0.0457680639736539,77720436.0,23800.0,0.0301052003457443,deu,Europe & Central Asia
Germany,1988,11.2,11.6,1.43,77.852,71.424,74.5596097560976,0.15361757528619,77839920.0,48747.0,0.061472735258656,deu,Europe & Central Asia
Germany,1989,11.4,11.5,1.46,78.078,71.637,74.7789512195122,0.390678960242038,78144619.0,98763.0,0.124039680892118,deu,Europe & Central Asia
Germany,1990,11.2,11.5,1.42,78.293,71.83,74.9826829268293,0.773336990610757,78751283.0,163619.0,0.204468776013709,deu,Europe & Central Asia
Germany,1991,11.4,11.6,1.45,78.501,72.012,75.1773658536586,0.861969448764933,79433029.0,272609.0,0.338698748206531,deu,Europe & Central Asia
Germany,1992,10.4,11.4,1.33,78.7,72.1,75.319512195122,0.728605546561364,80013896.0,532251.0,0.65688528771756,deu,Europe & Central Asia
Germany,1993,10.0,11.0,1.29,79.2,72.6,75.819512195122,0.760346946721127,80624598.0,971890.0,1.19067452742911,deu,Europe & Central Asia
Germany,1994,9.8,11.1,1.28,79.2,72.7,75.8707317073171,0.657391218087626,81156363.0,1774378.0,2.15794982689851,deu,Europe & Central Asia
Germany,1995,9.5,10.9,1.24,79.6,73.1,76.2707317073171,0.346856648630233,81438348.0,2490500.0,3.00965199806633,deu,Europe & Central Asia
Germany,1996,9.4,10.8,1.25,79.7,73.3,76.4219512195122,0.293904443716697,81678051.0,3725000.0,4.4799758309814,deu,Europe & Central Asia
Germany,1997,9.7,10.8,1.3,79.9,73.6,76.6731707317073,0.289474899455448,81914831.0,5512000.0,6.60999007901888,deu,Europe & Central Asia
Germany,1998,9.9,10.5,1.35,80.3,74.0,77.0731707317073,0.146313281561803,82034771.0,8276000.0,9.91248162654577,deu,Europe & Central Asia
Germany,1999,9.6,10.4,1.36,80.6,74.5,77.4756097560976,0.0151436508552808,82047195.0,13913000.0,16.6621325738093,deu,Europe & Central Asia
Germany,2000,9.4,10.3,1.36,80.8,74.8,77.7268292682927,0.0646345779052372,82100243.0,23446000.0,28.0821087514935,deu,Europe & Central Asia
Germany,2001,9.3,10.2,1.38,81.0,75.0,77.9268292682927,0.135431600393084,82211508.0,48202000.0,57.7183339793647,deu,Europe & Central Asia
Germany,2002,8.9,10.1,1.35,81.3,75.5,78.3292682926829,0.168225361337335,82349925.0,56126000.0,67.1496481821924,deu,Europe & Central Asia
Germany,2003,8.7,10.2,1.34,81.2,75.4,78.2292682926829,0.168128319406931,82488495.0,59128000.0,70.6552989801298,deu,Europe & Central Asia
Germany,2004,8.6,10.3,1.34,81.3,75.6,78.3804878048781,0.0553633035873241,82534176.0,64800000.0,77.33760058662,deu,Europe & Central Asia
Germany,2005,8.6,9.9,1.36,81.6,75.9,78.6804878048781,-0.021709727650009,82516260.0,71322000.0,85.0602066738094,deu,Europe & Central Asia
Germany,2006,8.3,10.1,1.34,81.8,76.2,78.9317073170732,-0.0567782618352031,82469422.0,79271000.0,94.5548699867257,deu,Europe & Central Asia
Germany,2007,8.2,10.0,1.33,82.0,76.4,79.1317073170732,-0.112797497644931,82376451.0,85652000.0,102.282888829324,deu,Europe & Central Asia
Germany,2008,8.3,10.1,1.37,82.3,76.9,79.5341463414634,-0.133718572600486,82266372.0,96232925.0,115.140360843206,deu,Europe & Central Asia
Germany,2009,8.3,10.3,1.38,82.4,77.2,79.7365853658537,-0.190142844695674,82110097.0,105523065.0,126.55750743066,deu,Europe & Central Asia
Germany,2010,8.1,10.4,1.36,82.5,77.3,79.8365853658537,-0.253383410163402,81902307.0,105000000.0,126.228057746668,deu,Europe & Central Asia
Germany,2011,8.3,10.5,1.39,82.6,77.5,79.9878048780488,-0.153198446937304,81776930.0,88400000.0,106.48369587659,deu,Europe & Central Asia
Germany,2012,8.1,10.4,1.36,83.2,78.4,80.7414634146342,0.0253621280208064,81797673.0,90900000.0,109.659567482399,deu,Europe & Central Asia
Germany,2013,8.4,10.8,1.38,83.3,78.6,80.8926829268293,-1.69134895621081,80425823.0,92400000.0,111.594039820304,deu,Europe & Central Asia
