Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Ghana,1980,43.525,13.975,6.605,53.251,50.773,51.9817804878049,1.87830631411935,10551189.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1981,43.168,13.758,6.539,53.52,51.083,52.2717804878049,2.3538756116872,10802497.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1982,42.808,13.534,6.468,53.804,51.411,52.5783170731707,2.8799977989342,11118132.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1983,42.44,13.298,6.392,54.11,51.768,52.9104390243902,3.27851747814445,11488683.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1984,42.059,13.046,6.31,54.442,52.161,53.2736829268293,3.48180570791196,11895742.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1985,41.662,12.776,6.223,54.805,52.59,53.6704878048781,3.43780372441982,12311805.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1986,41.247,12.486,6.131,55.214,53.058,54.1097073170732,3.23722370511137,12716887.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1987,40.816,12.174,6.035,55.687,53.57,54.6026829268293,3.00337392972166,13104616.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1988,40.37,11.845,5.935,56.216,54.11,55.1373170731707,2.83165296206269,13480997.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1989,39.912,11.513,5.831,56.78,54.659,55.6936341463415,2.72330953227035,13853171.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1990,39.442,11.19,5.725,57.353,55.194,56.2471707317073,2.70494741477537,14233006.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1991,38.955,10.897,5.616,57.88,55.677,56.7516341463415,2.74212404184974,14628693.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1992,38.442,10.659,5.505,58.301,56.068,57.1572682926829,2.7931415880441,15043053.0,0.0,0.0,gha,Sub-Saharan Africa
Ghana,1993,37.906,10.487,5.392,58.58,56.348,57.4367804878049,2.80959355437668,15471695.0,400.0,0.0025853663738847,gha,Sub-Saharan Africa
Ghana,1994,37.353,10.384,5.278,58.701,56.512,57.5798048780488,2.77636976231831,15907265.0,1742.0,0.0109509711443168,gha,Sub-Saharan Africa
Ghana,1995,36.799,10.349,5.165,58.673,56.568,57.5948292682927,2.67959792992854,16339278.0,3336.0,0.0204170588198573,gha,Sub-Saharan Africa
Ghana,1996,36.267,10.372,5.058,58.523,56.531,57.5027073170732,2.54784417152247,16760926.0,6200.0,0.0369907963318972,gha,Sub-Saharan Africa
Ghana,1997,35.787,10.436,4.959,58.295,56.432,57.3407804878049,2.40638828531408,17169151.0,12766.0,0.0743542881066163,gha,Sub-Saharan Africa
Ghana,1998,35.376,10.517,4.87,58.057,56.314,57.164243902439,2.29910788978873,17568461.0,21866.0,0.124461670262409,gha,Sub-Saharan Africa
Ghana,1999,35.043,10.591,4.793,57.867,56.221,57.0239268292683,2.25332842862602,17968830.0,41753.0,0.232363487216474,gha,Sub-Saharan Africa
Ghana,2000,34.787,10.641,4.727,57.764,56.182,56.9537073170732,2.28585581379581,18384302.0,70026.0,0.380901053518377,gha,Sub-Saharan Africa
Ghana,2001,34.596,10.652,4.669,57.782,56.231,56.9875853658537,2.36904314936398,18825034.0,130045.0,0.690808845285485,gha,Sub-Saharan Africa
Ghana,2002,34.452,10.612,4.617,57.941,56.392,57.1476097560976,2.45750740713414,19293392.0,243797.0,1.26362953699381,gha,Sub-Saharan Africa
Ghana,2003,34.326,10.526,4.566,58.223,56.659,57.4219268292683,2.52274789375225,19786307.0,386775.0,1.95476093643953,gha,Sub-Saharan Africa
Ghana,2004,34.189,10.403,4.512,58.599,57.013,57.7866585365854,2.57138039840378,20301686.0,795529.0,3.91853661809172,gha,Sub-Saharan Africa
Ghana,2005,34.024,10.246,4.455,59.05,57.439,58.2248536585366,2.59549978103888,20835514.0,1695000.0,8.13514847773854,gha,Sub-Saharan Africa
Ghana,2006,33.82,10.068,4.392,59.543,57.906,58.7045365853659,2.59856342126516,21384034.0,2874560.0,13.4425525137119,gha,Sub-Saharan Africa
Ghana,2007,33.569,9.884,4.326,60.039,58.375,59.1867073170732,2.60213810822659,21947779.0,5207242.0,23.7255988407756,gha,Sub-Saharan Africa
Ghana,2008,33.28,9.707,4.257,60.505,58.812,59.6378536585366,2.59891095568082,22525659.0,7604053.0,33.7572942926997,gha,Sub-Saharan Africa
Ghana,2009,32.957,9.548,4.188,60.914,59.188,60.0299512195122,2.56163795322067,23110139.0,11570430.0,50.0664664976701,gha,Sub-Saharan Africa
Ghana,2010,32.602,9.411,4.119,61.253,59.492,60.3510243902439,2.484628794505,23691533.0,15108916.0,63.7734839699905,gha,Sub-Saharan Africa
Ghana,2011,32.213,9.297,4.052,61.521,59.722,60.5995609756098,2.3830748996165,24262901.0,17436949.0,71.8667112395175,gha,Sub-Saharan Africa
Ghana,2012,31.792,9.196,3.985,61.73,59.892,60.7885853658537,2.27297482528321,24820706.0,21165843.0,85.2749434282812,gha,Sub-Saharan Africa
Ghana,2013,31.342,9.099,3.92,61.908,60.032,60.9471219512195,2.17496836613441,25366462.0,25618427.0,100.99329973569,gha,Sub-Saharan Africa
