Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Greece,1980,15.5,8.6,2.26,76.401,70.404,73.3293658536585,1.24669806674167,9548258.0,0.0,0.0,grc,Europe & Central Asia
Greece,1981,15.4,9.1,2.23,76.791,70.653,73.6471463414634,0.98222001605907,9642505.0,0.0,0.0,grc,Europe & Central Asia
Greece,1982,14.5,8.9,2.09,77.183,70.909,73.9694878048781,0.896616062871497,9729350.0,0.0,0.0,grc,Europe & Central Asia
Greece,1983,14.0,8.8,2.03,77.553,71.159,74.2780243902439,0.616462040117845,9789513.0,0.0,0.0,grc,Europe & Central Asia
Greece,1984,13.5,9.2,1.94,77.888,71.4,74.5648780487805,0.581724932326243,9846627.0,0.0,0.0,grc,Europe & Central Asia
Greece,1985,12.7,8.9,1.83,78.18,71.634,74.8271707317073,0.498156576200026,9895801.0,0.0,0.0,grc,Europe & Central Asia
Greece,1986,11.7,9.3,1.67,78.434,71.879,75.0765609756098,0.388288979165941,9934300.0,0.0,0.0,grc,Europe & Central Asia
Greece,1987,11.3,9.2,1.6,78.66,72.159,75.3302195121951,0.330759073504695,9967213.0,0.0,0.0,grc,Europe & Central Asia
Greece,1988,10.6,9.6,1.5,78.873,72.488,75.6026341463415,0.334358494429305,10000595.0,0.0,0.0,grc,Europe & Central Asia
Greece,1989,10.7,9.2,1.5,79.086,72.867,75.9006585365854,0.363197987305088,10036983.0,0.0,0.0,grc,Europe & Central Asia
Greece,1990,10.1,9.2,1.4,79.3,74.2,76.6878048780488,0.5218509800862,10089498.0,0.0,0.0,grc,Europe & Central Asia
Greece,1991,10.1,9.3,1.4,79.5,74.5,76.9390243902439,0.66583934946498,10156902.0,0.0,0.0,grc,Europe & Central Asia
Greece,1992,10.0,9.3,1.38,79.8,74.6,77.1365853658537,0.973789651931086,10256292.0,0.0,0.0,grc,Europe & Central Asia
Greece,1993,10.0,9.5,1.39,80.2,74.7,77.3829268292683,1.10127293560156,10369866.0,0.0,0.0,grc,Europe & Central Asia
Greece,1994,9.7,9.3,1.34,79.9,75.0,77.390243902439,0.918270825126017,10465528.0,48000.0,0.458787632652948,grc,Europe & Central Asia
Greece,1995,9.8,9.3,1.35,80.2,75.2,77.6390243902439,0.832668775675109,10553035.0,153000.0,1.44715350108522,grc,Europe & Central Asia
Greece,1996,9.5,9.4,1.31,80.3,75.0,77.5853658536585,0.767912277755292,10634385.0,273000.0,2.55814173585753,grc,Europe & Central Asia
Greece,1997,9.4,9.4,1.28,80.4,75.1,77.6853658536585,0.700804487109618,10709173.0,532000.0,4.94498793869107,grc,Europe & Central Asia
Greece,1998,9.5,9.3,1.28,80.8,75.6,78.1365853658537,0.626754469114812,10776504.0,937700.0,8.6554536834923,grc,Europe & Central Asia
Greece,1999,9.3,9.5,1.26,80.4,75.4,77.8390243902439,0.540235109210574,10834880.0,2047000.0,18.7853952591242,grc,Europe & Central Asia
Greece,2000,9.2,9.5,1.24,80.6,75.5,77.9878048780488,0.439278596151068,10882580.0,3904000.0,35.660380184959,grc,Europe & Central Asia
Greece,2001,9.5,9.6,1.26,80.5,75.4,77.8878048780488,0.320201197780994,10917482.0,5932403.0,53.9953233323773,grc,Europe & Central Asia
Greece,2002,9.3,9.4,1.25,81.0,75.9,78.3878048780488,0.313518153125592,10951764.0,7963742.0,72.3126477410963,grc,Europe & Central Asia
Greece,2003,9.4,9.5,1.27,81.1,76.3,78.6414634146341,0.291391046967118,10983723.0,9314260.0,84.4726790115104,grc,Europe & Central Asia
Greece,2004,9.5,9.6,1.28,81.3,76.5,78.8414634146341,0.314525539597054,11018324.0,8936202.0,81.0045534117592,grc,Europe & Central Asia
Greece,2005,9.6,9.5,1.3,81.6,76.6,79.0390243902439,0.338905010346333,11055729.0,9324335.0,84.4955126737809,grc,Europe & Central Asia
Greece,2006,9.7,9.5,1.33,81.8,76.8,79.2390243902439,0.335768079455404,11092913.0,10260396.0,92.9245487220107,grc,Europe & Central Asia
Greece,2007,10.0,9.5,1.4,82.0,77.0,79.4390243902439,0.315325590716552,11127947.0,10979826.0,99.3423396704135,grc,Europe & Central Asia
Greece,2008,10.0,9.8,1.41,82.0,77.0,79.4390243902439,0.314522534669064,11163002.0,12294912.0,111.096420636559,grc,Europe & Central Asia
Greece,2009,10.5,9.6,1.51,82.5,77.5,79.9390243902439,0.209732391885417,11186439.0,13799340.0,124.508360188876,grc,Europe & Central Asia
Greece,2010,10.5,9.6,1.52,82.8,77.7,80.1878048780488,0.0057746826130641,11187085.0,13295093.0,119.795589336564,grc,Europe & Central Asia
Greece,2011,10.1,9.6,1.51,83.0,77.9,80.3878048780488,-0.301076222060192,11153454.0,12292716.0,110.645518509948,grc,Europe & Central Asia
Greece,2012,9.6,10.0,1.39,83.6,78.0,80.7317073170732,-0.271503978370228,11123213.0,12127985.0,109.078777855686,grc,Europe & Central Asia
Greece,2013,9.0,10.5,1.34,83.4,78.0,80.6341463414634,-0.27405510422755,11092771.0,13360280.0,120.096301551898,grc,Europe & Central Asia
