Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Grenada,1980,30.793,9.029,4.269,68.313,64.045,66.1269512195122,-0.56180871813382,88571.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1981,31.323,8.993,4.251,68.568,64.276,66.3696585365854,0.487682227998143,89004.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1982,31.848,8.928,4.244,68.816,64.501,66.6058780487805,1.74969242387196,90575.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1983,32.309,8.841,4.243,69.058,64.719,66.8355853658537,2.73992725819647,93091.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1984,32.649,8.742,4.245,69.294,64.932,67.0598048780488,3.05727458499758,95981.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1985,32.818,8.639,4.243,69.524,65.139,67.2780243902439,2.52969703097736,98440.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1986,32.749,8.546,4.231,69.748,65.341,67.490756097561,1.47925277469302,99907.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1987,32.386,8.48,4.2,69.967,65.538,67.6984878048781,0.238936795455012,100146.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1988,31.733,8.447,4.146,70.18,65.73,67.9007317073171,-0.766817271398819,99381.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1989,30.822,8.45,4.068,70.387,65.917,68.0974878048781,-1.3350819241057,98063.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1990,29.695,8.486,3.966,70.589,66.1,68.289756097561,-1.22299327708285,96871.0,0.0,0.0,grd,Latin America & Caribbean
Grenada,1991,28.415,8.54,3.842,70.784,66.276,68.4750243902439,-0.605726728682002,96286.0,150.0,0.155785887875704,grd,Latin America & Caribbean
Grenada,1992,27.061,8.595,3.701,70.972,66.446,68.6538048780488,0.175364912821114,96455.0,147.0,0.152402674822456,grd,Latin America & Caribbean
Grenada,1993,25.719,8.631,3.551,71.152,66.61,68.8256097560976,0.770442113946252,97201.0,181.0,0.186212076007448,grd,Latin America & Caribbean
Grenada,1994,24.466,8.636,3.401,71.327,66.767,68.9913902439024,1.12633733467904,98302.0,282.0,0.286871070781876,grd,Latin America & Caribbean
Grenada,1995,23.35,8.607,3.254,71.498,66.922,69.1541951219512,1.1137921467502,99403.0,350.0,0.352102049233927,grd,Latin America & Caribbean
Grenada,1996,22.397,8.547,3.116,71.669,67.078,69.317512195122,0.851469663235397,100253.0,400.0,0.398990553898636,grd,Latin America & Caribbean
Grenada,1997,21.602,8.467,2.988,71.846,67.239,69.4863170731707,0.540168138425138,100796.0,570.0,0.565498630898052,grd,Latin America & Caribbean
Grenada,1998,20.924,8.383,2.87,72.029,67.407,69.6616341463415,0.325870306844292,101125.0,976.0,0.965142150803461,grd,Latin America & Caribbean
Grenada,1999,20.33,8.307,2.762,72.222,67.586,69.8474634146341,0.174877901770876,101302.0,1410.0,1.39187775167321,grd,Latin America & Caribbean
Grenada,2000,19.818,8.244,2.666,72.426,67.776,70.0442926829268,0.137119428812518,101441.0,2012.0,1.98341893317298,grd,Latin America & Caribbean
Grenada,2001,19.399,8.192,2.582,72.642,67.978,70.2531219512195,0.176301748109612,101620.0,4300.0,4.23145050186971,grd,Latin America & Caribbean
Grenada,2002,19.087,8.146,2.512,72.87,68.193,70.4744634146341,0.225095809869476,101849.0,6414.0,6.29755814981001,grd,Latin America & Caribbean
Grenada,2003,18.888,8.098,2.455,73.108,68.418,70.7058048780488,0.245160653907993,102099.0,7553.0,7.3977218190188,grd,Latin America & Caribbean
Grenada,2004,18.796,8.043,2.409,73.35,68.647,70.9411463414634,0.264100159374571,102369.0,42293.0,41.3142650607117,grd,Latin America & Caribbean
Grenada,2005,18.796,7.98,2.373,73.593,68.875,71.1764634146342,0.278991908762164,102655.0,43313.0,42.1927816472651,grd,Latin America & Caribbean
Grenada,2006,18.868,7.91,2.344,73.832,69.097,71.406756097561,0.287929539502819,102951.0,46858.0,45.5148565822576,grd,Latin America & Caribbean
Grenada,2007,18.991,7.837,2.321,74.061,69.305,71.625,0.29969325717472,103260.0,46193.0,44.734650397056,grd,Latin America & Caribbean
Grenada,2008,19.137,7.764,2.301,74.278,69.496,71.8286829268293,0.315210610716955,103586.0,51381.0,49.6022628540536,grd,Latin America & Caribbean
Grenada,2009,19.279,7.695,2.282,74.48,69.667,72.0148048780488,0.333465357823552,103932.0,60022.0,57.7512219528153,grd,Latin America & Caribbean
Grenada,2010,19.392,7.633,2.262,74.667,69.818,72.1833658536585,0.349617122356967,104296.0,114424.0,109.710823042111,grd,Latin America & Caribbean
Grenada,2011,19.457,7.578,2.24,74.841,69.952,72.3368780487805,0.364640812121368,104677.0,121946.0,116.497415860218,grd,Latin America & Caribbean
Grenada,2012,19.464,7.529,2.217,75.002,70.071,72.4763658536585,0.378544535254377,105074.0,120855.0,115.018939033443,grd,Latin America & Caribbean
Grenada,2013,19.415,7.484,2.194,75.158,70.184,72.6103414634146,0.388493865709569,105483.0,129912.0,123.159182048292,grd,Latin America & Caribbean
