Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Hungary,1980,15.0,12.8,2.01,73.17,66.23,69.6153658536585,0.180747381922393,10704152.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1981,13.9,13.6,1.91,72.77,65.53,69.0617073170732,0.0650937293271125,10711122.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1982,13.3,13.5,1.88,72.95,65.51,69.1392682926829,0.0067777717121333,10711848.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1983,12.5,13.5,1.8,73.23,65.67,69.3578048780488,-0.0589521155113363,10705535.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1984,11.9,13.9,1.75,73.02,65.12,68.9736585365854,-0.150240752751468,10689463.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1985,11.8,13.8,1.75,73.19,65.06,69.0258536585366,-0.20009784947921,10668095.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1986,12.2,13.9,1.85,73.08,65.06,68.9721951219512,-0.181847163431744,10648713.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1987,12.1,13.8,1.84,73.23,65.31,69.1734146341463,-0.170579145153423,10630564.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1988,11.9,13.4,1.82,73.8,65.7,69.6512195121951,-0.167798788201122,10612741.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1989,11.7,13.2,1.81,74.08,66.16,70.0234146341463,-0.153272935554963,10596487.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1990,11.8,13.8,1.82,73.8,65.33,69.4617073170732,-1.08898389340205,10481719.0,0.0,0.0,hun,Europe & Central Asia
Hungary,1991,12.1,14.0,1.87,73.7,65.14,69.3156097560976,-1.03311729690015,10373988.0,2645.0,0.0254692774553756,hun,Europe & Central Asia
Hungary,1992,12.3,14.0,1.87,73.91,65.06,69.3770731707317,-0.0056681833892284,10373400.0,8477.0,0.0817436616358202,hun,Europe & Central Asia
Hungary,1993,11.7,14.3,1.77,73.86,64.6,69.1170731707317,-0.0391365832684134,10369341.0,23292.0,0.224725150200282,hun,Europe & Central Asia
Hungary,1994,11.3,14.5,1.68,73.88,64.55,69.1012195121951,-0.114035594392761,10357523.0,45712.0,0.441073865109477,hun,Europe & Central Asia
Hungary,1995,11.2,14.2,1.64,74.31,64.86,69.469756097561,-0.13688310430324,10343355.0,143000.0,1.38015780898114,hun,Europe & Central Asia
Hungary,1996,10.8,14.1,1.57,74.55,65.26,69.7917073170732,-0.139220003601429,10328965.0,265000.0,2.55989329205562,hun,Europe & Central Asia
Hungary,1997,10.2,13.9,1.46,74.79,66.08,70.3287804878049,-0.171771608629025,10311238.0,473100.0,4.57770368991365,hun,Europe & Central Asia
Hungary,1998,9.8,13.5,1.37,75.22,66.4,70.7024390243902,-0.201458936335808,10290486.0,705786.0,6.84483039700319,hun,Europe & Central Asia
Hungary,1999,9.5,13.7,1.32,75.186,66.15,70.5578048780488,-0.232679336866497,10266570.0,1070154.0,10.4070850575084,hun,Europe & Central Asia
Hungary,2000,9.2,14.0,1.28,75.21,66.36,70.6770731707317,-0.283260610485194,10237530.0,1628153.0,15.8796014087433,hun,Europe & Central Asia
Hungary,2001,9.6,13.3,1.32,75.6,67.1,71.2463414634146,-0.259764908288633,10210971.0,3076279.0,30.0884683101605,hun,Europe & Central Asia
Hungary,2002,9.5,13.0,1.31,76.5,68.2,72.2487804878049,-0.229379183308447,10187576.0,4967430.0,48.7187785954083,hun,Europe & Central Asia
Hungary,2003,9.5,13.1,1.3,76.6,68.3,72.3487804878049,-0.28475137719698,10158608.0,6886111.0,67.7194215009729,hun,Europe & Central Asia
Hungary,2004,9.3,13.4,1.27,76.5,68.3,72.3,-0.286433268128688,10129552.0,7944586.0,78.331647151424,hun,Europe & Central Asia
Hungary,2005,9.4,13.1,1.28,76.9,68.6,72.6487804878049,-0.221439378654807,10107146.0,8727188.0,86.2551730245253,hun,Europe & Central Asia
Hungary,2006,9.7,13.5,1.31,76.9,68.6,72.6487804878049,-0.198878843237103,10087065.0,9320000.0,92.3141168094498,hun,Europe & Central Asia
Hungary,2007,9.9,13.1,1.34,77.4,69.0,73.0975609756098,-0.155716484651578,10071370.0,9965720.0,98.8955362484751,hun,Europe & Central Asia
Hungary,2008,9.7,13.2,1.32,77.3,69.2,73.1512195121951,-0.154915158060948,10055780.0,11029930.0,109.632885541945,hun,Europe & Central Asia
Hungary,2009,9.9,13.0,1.35,77.8,69.8,73.7024390243903,-0.17509736747488,10038188.0,12224163.0,121.681190771544,hun,Europe & Central Asia
Hungary,2010,9.6,13.0,1.32,77.9,70.1,73.9048780487805,-0.154908813950621,10022650.0,11792475.0,117.559187949153,hun,Europe & Central Asia
Hungary,2011,9.0,13.0,1.25,78.1,70.5,74.2073170731707,-0.226013875689698,10000023.0,12011823.0,119.942717821013,hun,Europe & Central Asia
Hungary,2012,8.8,12.9,1.26,78.7,71.2,74.8585365853659,-0.283360435946948,9971727.0,11689937.0,116.943492779826,hun,Europe & Central Asia
Hungary,2013,9.1,13.0,1.34,78.7,71.6,75.0634146341463,-0.516437606548041,9920362.0,11579425.0,116.070555958459,hun,Europe & Central Asia
