Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Iceland,1980,19.8,6.6,2.49,80.0,73.7,76.7731707317073,0.978479645630839,225735.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1981,19.9,6.7,2.48,80.35,73.51,76.8465853658537,1.05889641076766,228138.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1982,18.8,7.2,2.33,79.82,73.38,76.5214634146341,1.14058326061081,230755.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1983,18.5,6.8,2.27,79.65,74.55,77.0378048780488,1.33661040915962,233860.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1984,18.4,7.0,2.24,80.6,73.27,76.8456097560976,1.32404443001488,236977.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1985,17.2,6.9,2.08,80.45,74.84,77.5765853658537,1.06362548027328,239511.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1986,16.0,6.8,1.93,80.44,74.9,77.6024390243903,0.787667614423245,241405.0,0.0,0.0,isl,Europe & Central Asia
Iceland,1987,16.1,6.6,1.92,80.69,75.42,77.9907317073171,0.732588890898599,243180.0,2642.0,1.08214380798296,isl,Europe & Central Asia
Iceland,1988,17.0,7.0,2.06,79.9,74.9,77.3390243902439,1.09562910072455,245859.0,5008.0,2.02862269967229,isl,Europe & Central Asia
Iceland,1989,18.7,7.3,2.26,79.9,74.4,77.0829268292683,1.56621758114814,249740.0,6519.0,2.61216606628386,isl,Europe & Central Asia
Iceland,1990,18.0,7.0,2.19,80.2,76.18,78.1409756097561,1.23839606356716,252852.0,7893.0,3.12942323932773,isl,Europe & Central Asia
Iceland,1991,18.7,6.7,2.3,80.71,75.49,78.0363414634146,0.777662198585402,254826.0,10010.0,3.92810893536868,isl,Europe & Central Asia
Iceland,1992,17.7,7.0,2.18,81.27,74.87,77.9919512195122,1.15914942010018,257797.0,12889.0,5.00763441821071,isl,Europe & Central Asia
Iceland,1993,17.7,6.6,2.21,80.85,76.77,78.760243902439,1.25663207739645,261057.0,15251.0,5.86813905615729,isl,Europe & Central Asia
Iceland,1994,17.5,6.6,2.22,80.84,77.12,78.9346341463415,1.01681192843817,263725.0,17409.0,6.6349572952516,isl,Europe & Central Asia
Iceland,1995,16.7,6.5,2.14,81.47,77.13,79.2470731707317,0.866835946606811,266021.0,21845.0,8.24672603655061,isl,Europe & Central Asia
Iceland,1996,16.1,7.1,2.08,80.11,75.96,77.9843902439024,0.542467997811547,267468.0,30883.0,11.5470323868777,isl,Europe & Central Asia
Iceland,1997,16.1,7.0,2.12,81.18,76.49,78.7778048780488,0.539913016609299,268916.0,46805.0,17.3294728774589,isl,Europe & Central Asia
Iceland,1998,15.3,6.8,2.04,81.6,76.3,78.8853658536585,0.819197091458816,271128.0,65368.0,23.9620525077163,isl,Europe & Central Asia
Iceland,1999,15.3,6.7,2.05,81.6,77.7,79.6024390243903,1.07085904319717,274047.0,104280.0,37.8418394008013,isl,Europe & Central Asia
Iceland,2000,14.8,6.9,1.99,81.4,77.4,79.3512195121951,1.20923878595741,277381.0,172614.0,62.0075006466075,isl,Europe & Central Asia
Iceland,2001,14.0,6.8,2.08,81.6,77.8,79.6536585365854,1.36919283329812,281205.0,214896.0,76.4172480744202,isl,Europe & Central Asia
Iceland,2002,14.4,6.1,1.95,83.2,78.3,80.690243902439,1.32929525456819,284968.0,248131.0,87.3528459177064,isl,Europe & Central Asia
Iceland,2003,14.1,6.3,1.93,82.5,78.6,80.5024390243903,0.892596377462957,287523.0,260438.0,90.7674023887443,isl,Europe & Central Asia
Iceland,2004,14.3,6.3,1.99,82.5,79.5,80.9634146341464,0.692497620476186,289521.0,279670.0,96.4628783306027,isl,Europe & Central Asia
Iceland,2005,14.5,6.2,2.04,83.2,78.9,80.9975609756098,0.8779361576874,292074.0,290068.0,98.9419108367159,isl,Europe & Central Asia
Iceland,2006,14.4,6.2,2.05,83.5,79.6,81.5024390243902,1.58289197780465,296734.0,283108.0,95.4044718529377,isl,Europe & Central Asia
Iceland,2007,14.5,6.3,2.08,82.9,79.5,81.1585365853659,2.34742243028387,303782.0,301922.0,100.408722517651,isl,Europe & Central Asia
Iceland,2008,14.6,6.2,2.09,83.4,79.6,81.4536585365854,2.53008548940662,311566.0,326098.0,106.93245277203,isl,Europe & Central Asia
Iceland,2009,15.2,6.3,2.15,83.3,80.0,81.609756097561,1.85957217059918,317414.0,336922.0,108.897392968189,isl,Europe & Central Asia
Iceland,2010,15.8,6.3,2.23,83.8,79.8,81.7512195121951,0.341241978970882,318499.0,339715.0,108.257064919504,isl,Europe & Central Asia
Iceland,2011,15.4,6.4,2.2,84.1,79.8,81.8975609756098,-0.143903000294037,318041.0,341077.0,107.24275410166,isl,Europe & Central Asia
Iceland,2012,14.1,6.2,2.02,84.1,80.7,82.3585365853659,0.305468368224399,319014.0,344085.0,106.841441754748,isl,Europe & Central Asia
Iceland,2013,14.1,6.1,2.04,84.3,81.6,82.9170731707317,0.532100734916982,320716.0,352114.0,108.054513037528,isl,Europe & Central Asia
