Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
India,1980,35.381,12.585,4.762,54.944,54.896,54.9194146341463,2.32443040781657,683032539.0,0.0,0.0,ind,South Asia
India,1981,35.034,12.323,4.679,55.443,55.317,55.3784634146341,2.305899236959,698965575.0,0.0,0.0,ind,South Asia
India,1982,34.668,12.094,4.597,55.868,55.698,55.7809268292683,2.28281278954966,715105168.0,0.0,0.0,ind,South Asia
India,1983,34.292,11.889,4.515,56.242,56.049,56.1431463414634,2.25907034608645,731443752.0,0.0,0.0,ind,South Asia
India,1984,33.912,11.7,4.436,56.585,56.38,56.48,2.23643174575939,747986284.0,0.0,0.0,ind,South Asia
India,1985,33.526,11.521,4.358,56.912,56.694,56.8003414634146,2.21635497069182,764749394.0,0.0,0.0,ind,South Asia
India,1986,33.127,11.349,4.281,57.233,56.989,57.1080243902439,2.19695391844975,781736502.0,0.0,0.0,ind,South Asia
India,1987,32.704,11.182,4.203,57.558,57.26,57.4053658536585,2.17703747658594,798941802.0,0.0,0.0,ind,South Asia
India,1988,32.25,11.02,4.125,57.89,57.504,57.6922926829268,2.15291006163761,816328792.0,0.0,0.0,ind,South Asia
India,1989,31.76,10.863,4.044,58.231,57.723,57.9708048780488,2.12165489513941,833833510.0,0.0,0.0,ind,South Asia
India,1990,31.239,10.708,3.961,58.587,57.923,58.2469024390244,2.08185818826812,851374699.0,0.0,0.0,ind,South Asia
India,1991,30.69,10.552,3.878,58.962,58.117,58.5291951219512,2.0365004584257,868890700.0,0.0,0.0,ind,South Asia
India,1992,30.123,10.391,3.793,59.357,58.318,58.8248292682927,1.98931127082342,886348712.0,0.0,0.0,ind,South Asia
India,1993,29.55,10.226,3.709,59.768,58.536,59.1369756097561,1.94419173984654,903749636.0,0.0,0.0,ind,South Asia
India,1994,28.983,10.056,3.628,60.191,58.779,59.4677804878049,1.90244166048739,921107534.0,0.0,0.0,ind,South Asia
India,1995,28.43,9.882,3.549,60.625,59.051,59.8188048780488,1.86555080335753,938452550.0,0.0,0.0,ind,South Asia
India,1996,27.901,9.706,3.473,61.068,59.351,60.1885609756098,1.83209471811375,955804355.0,76680.0,0.0080225623161133,ind,South Asia
India,1997,27.402,9.532,3.402,61.519,59.674,60.574,1.79825003067153,973147577.0,327967.0,0.0337016715399991,ind,South Asia
India,1998,26.93,9.361,3.334,61.976,60.009,60.968512195122,1.76338711073653,990460131.0,881839.0,0.0890332656913376,ind,South Asia
India,1999,26.481,9.198,3.269,62.438,60.347,61.367,1.7302370536862,1007746556.0,1195400.0,0.118621095044457,ind,South Asia
India,2000,26.049,9.043,3.207,62.901,60.684,61.7654634146342,1.69902591874678,1025014711.0,1884311.0,0.183832581111121,ind,South Asia
India,2001,25.622,8.898,3.145,63.365,61.016,62.1618536585366,1.66861543950706,1042261758.0,3577095.0,0.343205051182546,ind,South Asia
India,2002,25.186,8.76,3.083,63.832,61.342,62.5566341463415,1.64048177794872,1059500888.0,6540000.0,0.617271780899159,ind,South Asia
India,2003,24.73,8.63,3.018,64.3,61.663,62.9493414634146,1.61081862836638,1076705723.0,13000000.0,1.2073865423301,ind,South Asia
India,2004,24.253,8.506,2.952,64.766,61.982,63.3400487804878,1.57396459555563,1093786762.0,33690000.0,3.08012504543367,ind,South Asia
India,2005,23.757,8.389,2.884,65.225,62.295,63.7242682926829,1.52781484664674,1110626108.0,52220000.0,4.70185237172544,ind,South Asia
India,2006,23.259,8.283,2.817,65.669,62.601,64.0975853658537,1.47626811672912,1127143548.0,90140000.0,7.99720675861953,ind,South Asia
India,2007,22.779,8.19,2.753,66.089,62.899,64.4550975609756,1.42229036519796,1143289350.0,166050000.0,14.5238823400218,ind,South Asia
India,2008,22.335,8.111,2.694,66.48,63.188,64.7938536585366,1.37302415150731,1159095250.0,233620000.0,20.1553754965349,ind,South Asia
India,2009,21.937,8.049,2.643,66.84,63.469,65.1133902439025,1.33409870796828,1174662334.0,346890000.0,29.5310396834432,ind,South Asia
India,2010,21.589,8.002,2.6,67.169,63.741,65.4131951219512,1.30885937861056,1190138069.0,525090000.0,44.120091078273,ind,South Asia
India,2011,21.281,7.969,2.563,67.469,64.004,65.694243902439,1.2928487950186,1205624648.0,752190000.0,62.3900648719982,ind,South Asia
India,2012,20.999,7.949,2.532,67.744,64.258,65.9584878048781,1.2800399609977,1221156319.0,893862478.0,73.1980389481979,ind,South Asia
India,2013,20.723,7.937,2.505,68.002,64.505,66.2108536585366,1.26376008334896,1236686732.0,864720917.0,69.9223897713815,ind,South Asia
