Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Ireland,1980,21.5,10.0,3.21,75.136,69.644,72.3230243902439,1.33228881575867,3373750.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1981,21.7,9.8,3.21,75.39,69.844,72.5493658536585,1.15081833848717,3412800.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1982,20.9,9.5,3.05,75.643,70.049,72.7777804878049,1.17103496729061,3453000.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1983,20.3,9.3,2.94,75.89,70.255,73.0037804878049,0.9454154697589,3485800.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1984,19.1,9.4,2.74,76.125,70.458,73.2223902439025,0.708938993466408,3510600.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1985,18.1,9.1,2.58,76.35,70.658,73.4345853658537,0.619707470509402,3532423.0,0.0,0.0,irl,Europe & Central Asia
Ireland,1986,17.6,9.4,2.48,76.564,70.857,73.6409024390244,0.16007346599323,3538082.0,300.0,0.008488810615767,irl,Europe & Central Asia
Ireland,1987,17.4,9.5,2.44,76.776,71.061,73.8488048780488,0.0454380284548886,3539690.0,1500.0,0.0423910592169184,irl,Europe & Central Asia
Ireland,1988,16.5,8.9,2.32,76.99,71.276,74.0633170731707,0.0103676021283962,3540057.0,3475.0,0.0982412970225961,irl,Europe & Central Asia
Ireland,1989,15.5,9.0,2.17,77.208,71.504,74.2864390243903,-0.427686063650556,3524949.0,6300.0,0.178311340657873,irl,Europe & Central Asia
Ireland,1990,14.8,9.1,2.08,77.43,71.74,74.5156097560976,-0.396250751919345,3511009.0,13579.0,0.384657439873728,irl,Europe & Central Asia
Ireland,1991,15.1,8.9,2.11,77.647,71.974,74.7413170731707,0.0844130206737995,3513974.0,25000.0,0.7079776335706,irl,Europe & Central Asia
Ireland,1992,14.9,8.9,2.08,77.847,72.192,74.9505365853659,0.574927781205802,3534235.0,32000.0,0.904570370062565,irl,Europe & Central Asia
Ireland,1993,14.4,8.7,1.99,78.024,72.386,75.136243902439,0.6822567779864,3558430.0,44000.0,1.23969293932886,irl,Europe & Central Asia
Ireland,1994,13.8,9.0,1.9,78.176,72.554,75.2964390243903,0.499840487112985,3576261.0,61100.0,1.71344521672558,irl,Europe & Central Asia
Ireland,1995,13.4,8.6,1.85,78.309,72.703,75.4376341463415,0.394187638653739,3590386.0,88000.0,2.4535457360442,irl,Europe & Central Asia
Ireland,1996,13.5,8.9,1.84,78.434,72.845,75.5713414634146,0.512695055318523,3608841.0,158000.0,4.37561861000444,irl,Europe & Central Asia
Ireland,1997,13.9,8.7,1.88,78.7,73.1,75.8317073170732,0.791271346994459,3637510.0,288600.0,7.9320340665197,irl,Europe & Central Asia
Ireland,1998,14.4,8.6,1.93,78.7,73.4,75.9853658536586,1.00281473521859,3674171.0,545000.0,14.8509496024169,irl,Europe & Central Asia
Ireland,1999,14.5,8.5,1.94,79.1,73.4,76.1804878048781,1.04307683611147,3712696.0,946000.0,25.5219315947484,irl,Europe & Central Asia
Ireland,2000,14.4,8.7,1.9,78.9,73.4,76.0829268292683,1.12729955649471,3754786.0,1677000.0,44.7095200884913,irl,Europe & Central Asia
Ireland,2001,14.4,8.2,1.89,79.2,74.0,76.5365853658537,1.33304266586712,3805174.0,2461000.0,64.6994629760544,irl,Europe & Central Asia
Ireland,2002,15.0,7.8,1.94,79.9,74.5,77.1341463414634,1.59215149039299,3866243.0,2970000.0,76.8267897343888,irl,Europe & Central Asia
Ireland,2003,15.4,7.5,1.97,80.4,75.0,77.6341463414634,1.68514885730282,3931947.0,3000000.0,76.2219328611808,irl,Europe & Central Asia
Ireland,2004,15.4,7.3,1.96,80.7,75.7,78.1390243902439,1.62895096193019,3996521.0,3500000.0,87.267606364252,irl,Europe & Central Asia
Ireland,2005,15.2,7.0,1.93,81.1,76.1,78.5390243902439,1.82831381790901,4070262.0,3860000.0,94.4737737377594,irl,Europe & Central Asia
Ireland,2006,14.8,6.8,1.86,81.3,76.7,78.9439024390244,2.17870301355631,4159914.0,4270000.0,102.693553297954,irl,Europe & Central Asia
Ireland,2007,15.3,6.7,1.91,81.7,76.9,79.2414634146342,2.70878096823738,4274137.0,4690135.0,110.98011312547,irl,Europe & Central Asia
Ireland,2008,16.2,6.4,2.01,82.1,77.3,79.6414634146341,2.87818467999999,4398942.0,4970719.0,115.853073869308,irl,Europe & Central Asia
Ireland,2009,16.7,6.3,2.06,82.4,77.9,80.0951219512195,2.03870801117202,4489544.0,5048127.0,116.004708091653,irl,Europe & Central Asia
Ireland,2010,16.7,6.3,2.06,82.7,77.8,80.190243902439,1.01566327592341,4535375.0,4704497.0,106.667729301187,irl,Europe & Central Asia
Ireland,2011,16.5,6.1,2.05,83.1,78.5,80.7439024390244,0.544884384079014,4560155.0,4701474.0,105.235809874784,irl,Europe & Central Asia
Ireland,2012,16.2,6.2,2.03,83.0,78.6,80.7463414634146,0.364213883502402,4576794.0,4906352.0,108.479355025289,irl,Europe & Central Asia
Ireland,2013,15.7,6.3,2.01,83.2,78.7,80.8951219512195,0.220500758776072,4586897.0,4905944.0,107.212891918293,irl,Europe & Central Asia
