Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Israel,1980,24.7,6.7,3.298,75.3,71.8,73.5073170731707,2.56835947346954,3786000.0,53312347.41666666,69.78480708706243,isr,Middle East & North Africa
Israel,1981,24.3,6.7,3.242,75.74,72.1,73.8756097560976,2.4009504033329,3878000.0,48467155.833333336,63.47152733559857,isr,Middle East & North Africa
Israel,1982,23.6,6.5,3.186,75.9,72.7,74.2609756097561,1.99138569400056,3956000.0,43621964.25,57.15824758413471,isr,Middle East & North Africa
Israel,1983,24.0,6.9,3.13,75.8,72.5,74.109756097561,1.8781070374563,4031000.0,38776772.66666667,50.84496783267085,isr,Middle East & North Africa
Israel,1984,24.0,6.9,3.106,76.2,72.8,74.4585365853658,1.81912587693629,4105000.0,33931581.083333336,44.53168808120699,isr,Middle East & North Africa
Israel,1985,23.7,6.7,3.082,76.6,73.1,74.8073170731707,1.30689178563831,4159000.0,29086389.5,38.21840832974313,isr,Middle East & North Africa
Israel,1986,23.5,6.6,3.058,77.0,73.5,75.2073170731707,1.7636300778012,4233000.0,24241197.91666667,31.90512857827926,isr,Middle East & North Africa
Israel,1987,23.1,6.8,3.034,76.8,73.2,74.9560975609756,1.54714759753579,4299000.0,19396006.333333336,25.5918488268154,isr,Middle East & North Africa
Israel,1988,22.7,6.7,3.01,77.0,73.6,75.2585365853659,1.61517124551543,4369000.0,14550814.75,19.27856907535154,isr,Middle East & North Africa
Israel,1989,22.6,6.6,2.948,75.0,73.9,74.4365853658537,1.65705755029368,4442000.0,9705623.166666672,12.965289323887674,isr,Middle East & North Africa
Israel,1990,22.3,7.1,2.886,78.1,74.6,76.3073170731707,1.69646925735759,4518000.0,4860431.583333336,6.652009572423808,isr,Middle East & North Africa
Israel,1991,22.2,6.8,2.824,78.4,74.9,76.6073170731707,3.09460300917429,4660000.0,15240.0,0.338729820959952,isr,Middle East & North Africa
Israel,1992,21.4,6.5,2.762,78.5,75.1,76.7585365853659,6.01700878321945,4949000.0,23000.0,0.495518786625302,isr,Middle East & North Africa
Israel,1993,21.5,6.4,2.7,78.4,74.7,76.5048780487805,3.45546689873163,5123000.0,36104.0,0.751074010455207,isr,Middle East & North Africa
Israel,1994,21.3,6.6,2.8,79.1,75.3,77.1536585365854,2.6580917791605,5261000.0,64484.0,1.29339151629516,isr,Middle East & North Africa
Israel,1995,21.2,6.5,2.9,79.4,75.5,77.4024390243903,2.58926284874797,5399000.0,133425.0,2.58380243927992,isr,Middle East & North Africa
Israel,1996,21.1,6.3,2.9,79.5,75.5,77.4512195121951,2.66828695661805,5545000.0,445456.0,8.35498090449773,isr,Middle East & North Africa
Israel,1997,21.3,6.1,2.9,80.0,76.3,78.1048780487805,2.61650594252757,5692000.0,1047582.0,19.0947900548629,isr,Middle East & North Africa
Israel,1998,21.4,6.2,2.94,80.1,76.0,78.0,2.49839504329334,5836000.0,1672442.0,29.7055487448993,isr,Middle East & North Africa
Israel,1999,21.9,6.2,2.98,80.3,76.1,78.1487804878049,2.28687869043162,5971000.0,2147000.0,37.2471655635642,isr,Middle East & North Africa
Israel,2000,21.5,6.1,2.965,80.4,77.0,78.6585365853659,2.54643388659354,6125000.0,2880000.0,48.8859519597071,isr,Middle East & North Africa
Israel,2001,21.7,6.0,2.95,80.9,77.1,78.9536585365854,2.64233191305756,6289000.0,4400000.0,73.1661365170358,isr,Middle East & North Africa
Israel,2002,21.2,5.8,2.92,81.2,77.7,79.4073170731707,2.35711729946802,6439000.0,5500621.0,89.7388079790002,isr,Middle East & North Africa
Israel,2003,21.2,5.8,2.89,81.5,77.5,79.4512195121951,2.01405839404727,6570000.0,6300008.0,100.978528786377,isr,Middle East & North Africa
Israel,2004,21.7,5.8,2.95,81.8,77.6,79.6487804878049,1.80551975888109,6689700.0,6618367.0,104.246247547955,isr,Middle East & North Africa
Israel,2005,21.3,5.6,2.9,82.4,78.0,80.1463414634146,1.76762364154994,6809000.0,7221955.0,111.650583749745,isr,Middle East & North Africa
Israel,2006,20.8,5.6,2.84,82.2,78.2,80.1512195121951,1.76289766113006,6930100.0,7757000.0,117.464860864636,isr,Middle East & North Africa
Israel,2007,21.0,5.5,2.88,82.5,78.7,80.5536585365854,1.76780587358185,7053700.0,8403765.0,124.338839618682,isr,Middle East & North Africa
Israel,2008,21.1,5.6,2.9,82.4,78.7,80.5048780487805,1.7761008691798,7180100.0,8902000.0,128.454728005555,isr,Middle East & North Africa
Israel,2009,21.5,5.4,2.96,83.0,79.0,80.9512195121951,1.7765791059698,7308800.0,8982000.0,126.385498565605,isr,Middle East & North Africa
Israel,2010,21.5,5.2,2.96,83.3,79.6,81.4048780487805,2.39020733801215,7485600.0,9022000.0,124.034136746055,isr,Middle East & North Africa
Israel,2011,21.8,5.2,3.03,83.6,79.7,81.6024390243903,1.82675240987847,7623600.0,9111000.0,122.783667871998,isr,Middle East & North Africa
Israel,2012,21.4,5.3,2.98,83.6,79.9,81.7048780487805,1.84807786159597,7765800.0,9200000.0,121.978270101522,isr,Middle East & North Africa
Israel,2013,21.6,5.3,3.04,83.6,79.9,81.7048780487805,1.84615132126711,7910500.0,9225000.0,120.684388411421,isr,Middle East & North Africa
