Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Kenya,1980,49.646,11.855,7.538,59.263,55.376,57.2720975609756,3.77236311051006,15661480.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1981,49.356,11.482,7.455,59.787,55.947,57.8201707317073,3.79900154149499,16267906.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1982,49.024,11.136,7.366,60.274,56.469,58.3250975609756,3.81884629860158,16901167.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1983,48.64,10.827,7.27,60.702,56.92,58.7648780487805,3.82320315412304,17559844.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1984,48.19,10.565,7.165,61.053,57.282,59.121512195122,3.80803474336765,18241424.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1985,47.667,10.352,7.049,61.314,57.542,59.382,3.77111225589591,18942464.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1986,47.039,10.187,6.918,61.482,57.701,59.5453902439024,3.71808559499341,19660018.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1987,46.274,10.061,6.769,61.56,57.764,59.6157073170732,3.65709367912625,20392312.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1988,45.375,9.966,6.602,61.56,57.749,59.6080243902439,3.59319999953642,21138372.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1989,44.364,9.897,6.422,61.483,57.665,59.5274390243902,3.52546505359573,21896890.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1990,43.278,9.857,6.231,61.324,57.512,59.371512195122,3.45531518406218,22666720.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1991,42.177,9.861,6.037,61.054,57.269,59.1153414634146,3.38208589040825,23446439.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1992,41.129,9.93,5.847,60.634,56.906,58.7245365853659,3.31640733295022,24237056.0,0.0,0.0,ken,Sub-Saharan Africa
Kenya,1993,40.194,10.073,5.668,60.056,56.415,58.1910975609756,3.24696725524715,25036941.0,1100.0,0.004393507976873,ken,Sub-Saharan Africa
Kenya,1994,39.417,10.288,5.506,59.335,55.81,57.529512195122,3.15377127864686,25839132.0,1162.0,0.0044970550868349,ken,Sub-Saharan Africa
Kenya,1995,38.826,10.564,5.366,58.502,55.122,56.7707804878049,3.03232505648668,26634659.0,1990.0,0.0074714679095384,ken,Sub-Saharan Africa
Kenya,1996,38.438,10.884,5.251,57.597,54.392,55.9554146341464,2.89892028000287,27418077.0,2279.0,0.0083120344289645,ken,Sub-Saharan Africa
Kenya,1997,38.25,11.227,5.165,56.663,53.666,55.1279512195122,2.76308075617483,28186224.0,2826.0,0.0100261744886438,ken,Sub-Saharan Africa
Kenya,1998,38.211,11.565,5.102,55.764,52.998,54.3472682926829,2.65173846683726,28943647.0,6767.0,0.023379914770243,ken,Sub-Saharan Africa
Kenya,1999,38.27,11.865,5.059,54.966,52.44,53.6721951219512,2.58719332310632,29702246.0,10756.0,0.0362127497024972,ken,Sub-Saharan Africa
Kenya,2000,38.389,12.103,5.03,54.325,52.034,53.1515609756098,2.58020337302872,30478597.0,23757.0,0.0779465012776015,ken,Sub-Saharan Africa
Kenya,2001,38.532,12.25,5.012,53.906,51.825,52.8401219512195,2.61156480837573,31285050.0,127404.0,0.40723604405299,ken,Sub-Saharan Africa
Kenya,2002,38.668,12.284,5.001,53.758,51.843,52.7771463414634,2.65362491467728,32126351.0,600000.0,1.86762573813627,ken,Sub-Saharan Africa
Kenya,2003,38.773,12.208,4.99,53.878,52.071,52.9524634146342,2.68468433224649,33000524.0,1187122.0,3.59728227345723,ken,Sub-Saharan Africa
Kenya,2004,38.825,12.03,4.976,54.25,52.484,53.3454634146342,2.70393804433844,33905011.0,1590785.0,4.69188757968549,ken,Sub-Saharan Africa
Kenya,2005,38.8,11.758,4.955,54.854,53.059,53.9346097560976,2.70484973828275,34834606.0,2546157.0,7.30927457597769,ken,Sub-Saharan Africa
Kenya,2006,38.676,11.403,4.923,55.67,53.771,54.6973414634146,2.69375573075116,35785718.0,4611970.0,12.8877391813125,ken,Sub-Saharan Africa
Kenya,2007,38.442,10.982,4.879,56.664,54.589,55.6011951219512,2.67933567969932,36757498.0,7340317.0,19.9695773635083,ken,Sub-Saharan Africa
Kenya,2008,38.11,10.521,4.824,57.775,55.466,56.5923414634146,2.67042748861627,37752304.0,11349412.0,30.0628327214148,ken,Sub-Saharan Africa
Kenya,2009,37.699,10.05,4.761,58.934,56.355,57.6130487804878,2.66847652822891,38773277.0,16303573.0,42.0484783888656,ken,Sub-Saharan Africa
Kenya,2010,37.218,9.59,4.691,60.083,57.217,58.6150487804878,2.67569043247508,39824734.0,19364559.0,48.624452833759,ken,Sub-Saharan Africa
Kenya,2011,36.681,9.164,4.616,61.161,58.01,59.5470731707317,2.68666534106081,40909194.0,24968891.0,61.0349130809079,ken,Sub-Saharan Africa
Kenya,2012,36.104,8.789,4.538,62.118,58.707,60.3709024390244,2.69786393512568,42027891.0,28080771.0,66.8146088986478,ken,Sub-Saharan Africa
Kenya,2013,35.505,8.464,4.459,62.945,59.31,61.0831707317073,2.70009025067604,43178141.0,30731754.0,71.1743333275974,ken,Sub-Saharan Africa
