Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Kiribati,1980,36.438,11.937,5.064,57.68,53.211,55.391,2.47805684469361,53154.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1981,36.938,11.753,5.073,58.129,53.664,55.8420487804878,2.51908104182391,54510.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1982,37.222,11.542,5.053,58.605,54.13,56.3129268292683,2.53233115464706,55908.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1983,37.355,11.308,5.015,59.115,54.612,56.8085853658537,2.55002339279111,57352.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1984,37.392,11.056,4.967,59.658,55.104,57.3254634146342,2.59540262547558,58860.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1985,37.337,10.788,4.912,60.23,55.602,57.8595609756098,2.67375438208834,60455.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1986,37.206,10.512,4.855,60.818,56.088,58.3953170731707,2.75710775712649,62145.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1987,37.02,10.239,4.799,61.406,56.541,58.9141707317073,2.86311638273769,63950.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1988,36.797,9.981,4.748,61.977,56.949,59.4016829268293,2.91412165639794,65841.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1989,36.549,9.743,4.704,62.518,57.31,59.8504878048781,2.82717040228575,67729.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1990,36.277,9.526,4.666,63.023,57.627,60.2591951219512,2.56684087145473,69490.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1991,35.971,9.325,4.632,63.493,57.918,60.637512195122,2.20602413576789,71040.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1992,35.613,9.131,4.601,63.935,58.207,61.0011463414634,1.81755978123274,72343.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1993,35.185,8.933,4.568,64.363,58.516,61.3681951219512,1.49683471320144,73434.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1994,34.67,8.723,4.527,64.786,58.863,61.7522682926829,1.30016916514043,74395.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1995,34.067,8.499,4.476,65.207,59.252,62.1568780487805,1.27021027832226,75346.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1996,33.367,8.264,4.412,65.625,59.677,62.5784634146342,1.36038585265093,76378.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1997,32.564,8.022,4.331,66.037,60.124,63.0083902439024,1.47251651818919,77511.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1998,31.675,7.78,4.235,66.438,60.574,63.4344878048781,1.55409052158038,78725.0,0.0,0.0,kir,East Asia & Pacific
Kiribati,1999,30.725,7.547,4.126,66.824,61.008,63.8450731707317,1.62908423780895,80018.0,22.0,0.0274938138918743,kir,East Asia & Pacific
Kiribati,2000,29.741,7.329,4.006,67.194,61.42,64.2365853658537,1.68410684344966,81377.0,200.0,0.245769689224228,kir,East Asia & Pacific
Kiribati,2001,28.758,7.129,3.881,67.548,61.805,64.6064634146341,1.71904455522976,82788.0,300.0,0.36237135816785,kir,East Asia & Pacific
Kiribati,2002,27.806,6.95,3.754,67.886,62.167,64.956756097561,1.7636001156008,84261.0,395.0,0.468781524074008,kir,East Asia & Pacific
Kiribati,2003,26.911,6.792,3.631,68.212,62.513,65.293,1.80882269063616,85799.0,495.0,0.576929801046632,kir,East Asia & Pacific
Kiribati,2004,26.098,6.652,3.516,68.529,62.851,65.620756097561,1.81560684064464,87371.0,526.0,0.602030421993568,kir,East Asia & Pacific
Kiribati,2005,25.387,6.532,3.413,68.84,63.184,65.9430243902439,1.77535901105262,88936.0,615.0,0.691508500494738,kir,East Asia & Pacific
Kiribati,2006,24.796,6.429,3.324,69.15,63.514,66.2632682926829,1.70791870862512,90468.0,650.0,0.718486094530663,kir,East Asia & Pacific
Kiribati,2007,24.333,6.342,3.249,69.463,63.842,66.5839512195122,1.62813799279408,91953.0,700.0,0.761258469000468,kir,East Asia & Pacific
Kiribati,2008,23.98,6.268,3.186,69.781,64.169,66.9065609756098,1.56244748700909,93401.0,750.0,0.802989261356945,kir,East Asia & Pacific
Kiribati,2009,23.719,6.203,3.133,70.104,64.494,67.2305853658537,1.52048532298855,94832.0,1000.0,1.05449637253248,kir,East Asia & Pacific
Kiribati,2010,23.535,6.147,3.087,70.434,64.817,67.557,1.50706134325137,96272.0,9907.0,10.2906348678744,kir,East Asia & Pacific
Kiribati,2011,23.413,6.097,3.048,70.768,65.137,67.8838292682927,1.51640665700739,97743.0,10595.0,10.8396509212936,kir,East Asia & Pacific
Kiribati,2012,23.339,6.051,3.014,71.103,65.454,68.2096097560976,1.53003345192299,99250.0,13788.0,13.8921914357683,kir,East Asia & Pacific
Kiribati,2013,23.294,6.011,2.982,71.437,65.766,68.5323414634147,1.53575375351248,100786.0,16000.0,15.8752207647888,kir,East Asia & Pacific
