Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Malawi,1980,54.879,22.138,7.617,44.91,43.138,44.0023902439024,3.20336444461792,6052940.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1981,54.719,21.847,7.621,45.313,43.478,44.3731219512195,2.9926974030636,6236824.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1982,54.485,21.493,7.619,45.722,43.819,44.7472926829268,2.64414105717019,6403934.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1983,54.208,21.086,7.613,46.123,44.151,45.1129512195122,2.39685042678941,6559281.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1984,53.909,20.645,7.601,46.504,44.465,45.4596341463415,2.58681322585999,6731171.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1985,53.591,20.186,7.583,46.858,44.754,45.7803414634146,3.31829043922419,6958278.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1986,53.233,19.736,7.549,47.182,45.019,46.0741219512195,4.30700570431909,7264519.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1987,52.797,19.323,7.49,47.478,45.262,46.3429756097561,5.40318287256365,7667832.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1988,52.259,18.968,7.402,47.745,45.484,46.5869268292683,6.09889195059769,8150040.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1989,51.616,18.685,7.287,47.98,45.684,46.804,6.0135728111332,8655185.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1990,50.891,18.479,7.148,48.172,45.859,46.9872926829268,5.07122657107809,9105429.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1991,50.138,18.354,6.997,48.3,45.99,47.1168292682927,3.68394216702887,9447123.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1992,49.425,18.304,6.85,48.336,46.059,47.1697317073171,2.202642868437,9657518.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1993,48.805,18.304,6.719,48.272,46.061,47.1395365853659,1.04977275471739,9759434.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1994,48.306,18.328,6.614,48.114,46.001,47.0317317073171,0.421277255559605,9800635.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1995,47.926,18.355,6.536,47.879,45.896,46.8633170731707,0.520060531895069,9851737.0,0.0,0.0,mwi,Sub-Saharan Africa
Malawi,1996,47.623,18.363,6.483,47.583,45.765,46.6518292682927,1.13373360485211,9964065.0,382.0,0.0038337766764869,mwi,Sub-Saharan Africa
Malawi,1997,47.331,18.334,6.446,47.248,45.631,46.4197804878049,1.88151322873254,10153315.0,3700.0,0.0364413002058933,mwi,Sub-Saharan Africa
Malawi,1998,46.977,18.26,6.411,46.913,45.526,46.2025853658537,2.4414988397456,10404259.0,7000.0,0.0672801397965968,mwi,Sub-Saharan Africa
Malawi,1999,46.519,18.128,6.369,46.623,45.485,46.0401219512195,2.80453222082896,10700180.0,10500.0,0.0981291903500689,mwi,Sub-Saharan Africa
Malawi,2000,45.95,17.929,6.317,46.421,45.537,45.9682195121951,2.87892241511617,11012707.0,22500.0,0.204309439995089,mwi,Sub-Saharan Africa
Malawi,2001,45.296,17.646,6.254,46.361,45.723,46.0342195121951,2.76534316128697,11321496.0,49000.0,0.432804993262375,mwi,Sub-Saharan Africa
Malawi,2002,44.608,17.269,6.186,46.494,46.078,46.2809268292683,2.62969560662962,11623166.0,55730.0,0.479473492850399,mwi,Sub-Saharan Africa
Malawi,2003,43.951,16.806,6.119,46.827,46.601,46.711243902439,2.57859486062191,11926778.0,86047.0,0.721460565460345,mwi,Sub-Saharan Africa
Malawi,2004,43.371,16.274,6.058,47.352,47.274,47.3120487804878,2.58201247083239,12238739.0,135114.0,1.10398628486154,mwi,Sub-Saharan Africa
Malawi,2005,42.884,15.69,6.002,48.053,48.078,48.0658048780488,2.66344560503562,12569091.0,222135.0,1.7673115740828,mwi,Sub-Saharan Africa
Malawi,2006,42.486,15.076,5.95,48.899,48.979,48.9399756097561,2.79030634123705,12924746.0,421163.0,3.25857854382593,mwi,Sub-Saharan Africa
Malawi,2007,42.155,14.457,5.899,49.845,49.934,49.8905853658537,2.91866477932585,13307535.0,620163.0,4.66023948086554,mwi,Sub-Saharan Africa
Malawi,2008,41.851,13.858,5.843,50.83,50.895,50.8632926829268,3.00691463483869,13713758.0,1050852.0,7.66275735651745,mwi,Sub-Saharan Africa
Malawi,2009,41.541,13.298,5.781,51.796,51.815,51.8057317073171,3.04812865280573,14138207.0,1507684.0,10.6638981873727,mwi,Sub-Saharan Africa
Malawi,2010,41.213,12.794,5.712,52.704,52.663,52.683,3.03128458261845,14573338.0,2485646.0,17.0561198813889,mwi,Sub-Saharan Africa
Malawi,2011,40.865,12.354,5.636,53.52,53.414,53.4657073170732,2.97690231056056,15013694.0,3117364.0,20.7634710018734,mwi,Sub-Saharan Africa
Malawi,2012,40.499,11.98,5.554,54.226,54.058,54.1399512195122,2.91336099821628,15457531.0,3951572.0,25.5640567694802,mwi,Sub-Saharan Africa
Malawi,2013,40.13,11.659,5.471,54.838,54.615,54.7237804878049,2.8630434026045,15906483.0,4646894.0,29.2138368990807,mwi,Sub-Saharan Africa
