Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Maldives,1980,44.829,14.725,7.002,50.07,52.536,51.3330731707317,2.80176287872681,149699.0,0.0,0.0,mdv,South Asia
Maldives,1981,45.526,14.211,7.071,50.988,53.473,52.2608048780488,3.03758367191001,154316.0,0.0,0.0,mdv,South Asia
Maldives,1982,46.317,13.726,7.146,51.92,54.406,53.1933170731707,3.27843877938517,159459.0,0.0,0.0,mdv,South Asia
Maldives,1983,47.054,13.263,7.21,52.84,55.316,54.1081951219512,3.44797985547209,165053.0,0.0,0.0,mdv,South Asia
Maldives,1984,47.597,12.812,7.245,53.731,56.189,54.9899756097561,3.5484637509569,171015.0,0.0,0.0,mdv,South Asia
Maldives,1985,47.849,12.364,7.24,54.592,57.018,55.8345853658537,3.56011269573742,177213.0,0.0,0.0,mdv,South Asia
Maldives,1986,47.711,11.908,7.183,55.436,57.794,56.643756097561,3.50693316130941,183538.0,0.0,0.0,mdv,South Asia
Maldives,1987,47.122,11.435,7.064,56.289,58.516,57.4296585365854,3.44654901672269,189974.0,0.0,0.0,mdv,South Asia
Maldives,1988,46.126,10.943,6.888,57.175,59.195,58.2096341463415,3.38413661903141,196513.0,0.0,0.0,mdv,South Asia
Maldives,1989,44.789,10.436,6.664,58.107,59.844,58.9966829268293,3.28320090789284,203072.0,0.0,0.0,mdv,South Asia
Maldives,1990,43.162,9.915,6.397,59.085,60.473,59.7959268292683,3.13779174718983,209545.0,0.0,0.0,mdv,South Asia
Maldives,1991,41.321,9.388,6.099,60.089,61.095,60.6042682926829,2.96869033215792,215859.0,0.0,0.0,mdv,South Asia
Maldives,1992,39.358,8.864,5.783,61.088,61.723,61.413243902439,2.78852845609726,221963.0,0.0,0.0,mdv,South Asia
Maldives,1993,37.37,8.354,5.461,62.057,62.367,62.2157804878049,2.62338698472284,227863.0,0.0,0.0,mdv,South Asia
Maldives,1994,35.441,7.868,5.146,62.984,63.034,63.0096097560976,2.49127677241049,233611.0,0.0,0.0,mdv,South Asia
Maldives,1995,33.625,7.409,4.845,63.876,63.734,63.8032682926829,2.4023045625608,239291.0,0.0,0.0,mdv,South Asia
Maldives,1996,31.937,6.978,4.56,64.768,64.473,64.6169024390244,2.34349586846946,244965.0,0.0,0.0,mdv,South Asia
Maldives,1997,30.349,6.571,4.289,65.709,65.256,65.4769756097561,2.29781065107971,250659.0,20.0,0.0079789674418233,mdv,South Asia
Maldives,1998,28.812,6.182,4.024,66.733,66.076,66.396487804878,2.24385457034722,256347.0,1290.0,0.503224145396669,mdv,South Asia
Maldives,1999,27.307,5.806,3.763,67.853,66.923,67.3766585365854,2.17094496045269,261973.0,1606.0,0.613040275142858,mdv,South Asia
Maldives,2000,25.86,5.447,3.51,69.054,67.789,68.4060731707317,2.0713621809838,267456.0,2926.0,1.09401172529313,mdv,South Asia
Maldives,2001,24.528,5.109,3.271,70.297,68.666,69.4616097560976,1.95822259140176,272745.0,7638.0,2.80041797283177,mdv,South Asia
Maldives,2002,23.382,4.798,3.055,71.526,69.546,70.5118536585366,1.84541263322424,277825.0,18894.0,6.80068388373976,mdv,South Asia
Maldives,2003,22.47,4.519,2.869,72.682,70.42,71.5234146341463,1.75469387657206,282743.0,41899.0,14.8187576703933,mdv,South Asia
Maldives,2004,21.816,4.276,2.715,73.717,71.275,72.4662195121951,1.70114054830775,287594.0,66466.0,23.1110523863502,mdv,South Asia
Maldives,2005,21.417,4.071,2.596,74.613,72.096,73.3238048780488,1.69319972223957,292505.0,113246.0,38.7159193859934,mdv,South Asia
Maldives,2006,21.262,3.903,2.508,75.363,72.867,74.0845609756098,1.71878940027464,297576.0,203620.0,68.4262171680512,mdv,South Asia
Maldives,2007,21.322,3.77,2.449,75.984,73.574,74.7496097560976,1.74854263572153,302825.0,271053.0,89.5081317592669,mdv,South Asia
Maldives,2008,21.523,3.666,2.41,76.516,74.215,75.3374390243903,1.77203751844947,308239.0,313539.0,101.719444976139,mdv,South Asia
Maldives,2009,21.785,3.586,2.382,76.997,74.791,75.8670975609756,1.80174047792105,313843.0,435627.0,138.804115433513,mdv,South Asia
Maldives,2010,22.047,3.524,2.36,77.442,75.303,76.3464146341464,1.83650700739363,319660.0,457770.0,143.205280610649,mdv,South Asia
Maldives,2011,22.236,3.476,2.339,77.865,75.759,76.7863170731707,1.87003593113879,325694.0,494351.0,151.783883031312,mdv,South Asia
Maldives,2012,22.292,3.437,2.314,78.269,76.168,77.1928780487805,1.90682390502911,331964.0,530449.0,159.791121928884,mdv,South Asia
Maldives,2013,22.201,3.405,2.287,78.652,76.547,77.5738292682927,1.9326204203619,338442.0,560547.0,165.62572021203,mdv,South Asia
