Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Mali,1980,48.969,25.774,7.031,39.813,37.931,38.8490487804878,1.71321666879406,6615058.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1981,48.926,25.147,7.046,40.573,38.699,39.6131463414634,1.8005917800315,6735247.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1982,48.86,24.524,7.059,41.319,39.507,40.3909024390244,1.91567169895777,6865516.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1983,48.773,23.91,7.07,42.037,40.358,41.1770243902439,2.00353176882377,7004456.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1984,48.665,23.312,7.08,42.719,41.241,41.9619756097561,1.99893089499464,7145879.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1985,48.54,22.735,7.088,43.356,42.142,42.7341951219512,1.87661745014172,7281246.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1986,48.402,22.188,7.093,43.948,43.036,43.4808780487805,1.68805897635173,7405201.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1987,48.257,21.675,7.095,44.499,43.897,44.1906585365854,1.46878261077087,7514770.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1988,48.112,21.202,7.092,45.014,44.7,44.8531707317073,1.31169273085092,7613990.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1989,47.978,20.77,7.086,45.498,45.422,45.4590731707317,1.29325781031491,7713098.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1990,47.86,20.381,7.076,45.948,46.052,46.0012682926829,1.45786227348989,7826368.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1991,47.768,20.041,7.062,46.351,46.573,46.4647073170732,1.74411280330448,7964066.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1992,47.708,19.757,7.044,46.689,46.977,46.836512195122,2.06794279887207,8130473.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1993,47.678,19.522,7.023,46.957,47.282,47.1234634146342,2.33727865489866,8322743.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1994,47.678,19.326,6.999,47.162,47.514,47.3422926829268,2.52230691044488,8535338.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1995,47.704,19.157,6.973,47.318,47.696,47.5116097560976,2.59172471867349,8759442.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1996,47.753,18.993,6.947,47.453,47.861,47.6619756097561,2.58530498475006,8988853.0,0.0,0.0,mli,Sub-Saharan Africa
Mali,1997,47.821,18.815,6.921,47.598,48.046,47.8274634146342,2.56237040093934,9222157.0,1187.0,0.0128711753660234,mli,Sub-Saharan Africa
Mali,1998,47.899,18.606,6.896,47.784,48.275,48.035487804878,2.57018742875315,9462256.0,2842.0,0.0300351205885785,mli,Sub-Saharan Africa
Mali,1999,47.98,18.357,6.873,48.031,48.566,48.3050243902439,2.60889835495211,9712365.0,4473.0,0.0460546941965216,mli,Sub-Saharan Africa
Mali,2000,48.055,18.062,6.853,48.349,48.927,48.6450487804878,2.69134984749123,9977308.0,6387.0,0.0640152634357885,mli,Sub-Saharan Africa
Mali,2001,48.119,17.723,6.836,48.741,49.355,49.0554878048781,2.79957615199229,10260577.0,10398.0,0.101339330137087,mli,Sub-Saharan Africa
Mali,2002,48.168,17.35,6.822,49.197,49.836,49.5242926829268,2.90262891643728,10562768.0,23997.0,0.227184768234993,mli,Sub-Saharan Africa
Mali,2003,48.202,16.96,6.811,49.692,50.34,50.0239024390244,2.98355154763626,10882662.0,45974.0,0.422451786153057,mli,Sub-Saharan Africa
Mali,2004,48.218,16.567,6.803,50.203,50.843,50.5308048780488,3.0503578915781,11219737.0,247223.0,2.20346519708974,mli,Sub-Saharan Africa
Mali,2005,48.213,16.181,6.797,50.718,51.333,51.033,3.09948092028375,11572936.0,406861.0,3.51562472997345,mli,Sub-Saharan Africa
Mali,2006,48.188,15.804,6.796,51.227,51.804,51.5225365853659,3.13301938110151,11941258.0,761986.0,6.38111997915128,mli,Sub-Saharan Africa
Mali,2007,48.142,15.439,6.799,51.724,52.252,51.9944390243902,3.16744754695864,12325545.0,1512948.0,12.274897377763,mli,Sub-Saharan Africa
Mali,2008,48.076,15.081,6.806,52.209,52.687,52.4538292682927,3.19440534522977,12725629.0,2530891.0,19.8881406962281,mli,Sub-Saharan Africa
Mali,2009,47.991,14.727,6.817,52.683,53.113,52.903243902439,3.19135611516751,13138299.0,3438568.0,26.1720942718688,mli,Sub-Saharan Africa
Mali,2010,47.883,14.379,6.83,53.145,53.53,53.3421951219512,3.15408111383351,13559296.0,4460543.0,32.8965677864102,mli,Sub-Saharan Africa
Mali,2011,47.747,14.036,6.841,53.593,53.94,53.7707317073171,3.0981677014634,13985961.0,7440383.0,53.1989399941842,mli,Sub-Saharan Africa
Mali,2012,47.577,13.699,6.85,54.03,54.344,54.1908292682927,3.03357825355963,14416737.0,10821930.0,75.0650441913451,mli,Sub-Saharan Africa
Mali,2013,47.372,13.366,6.852,54.46,54.741,54.6039268292683,2.98505517338525,14853572.0,14612835.0,98.3792652703336,mli,Sub-Saharan Africa
