Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Malta,1980,18.6,9.5,2.1,75.109,70.396,72.6950243902439,1.01360238083902,313342.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1981,17.7,10.2,1.99,75.35,70.63,72.9324390243903,1.04860267451293,316645.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1982,16.6,9.6,1.87,75.589,70.86,73.1668292682927,0.735340232751273,318982.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1983,18.1,9.4,1.9,75.824,71.089,73.398756097561,2.14497741123595,325898.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1984,17.1,9.5,1.92,76.057,71.316,73.6286829268293,1.40948249289422,330524.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1985,16.9,8.8,1.95,76.286,71.54,73.8551219512195,0.02087376372126,330593.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1986,16.1,8.4,1.95,76.514,71.763,74.0805609756098,1.75674824972899,336452.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1987,15.3,8.3,1.93,76.739,71.984,74.303512195122,1.67089816229853,342121.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1988,15.4,8.4,1.97,76.962,72.203,74.5244634146342,0.688607248214418,344485.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1989,15.9,7.8,2.06,77.183,72.419,74.7429024390244,0.821039289346079,347325.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1990,15.9,7.4,2.1,77.403,72.634,74.9603414634146,0.973294582315565,350722.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1991,15.2,7.8,2.04,77.621,72.847,75.1757804878049,0.978313699279678,354170.0,0.0,0.0,mlt,Middle East & North Africa
Malta,1992,14.8,8.0,2.04,77.839,73.058,75.3901951219512,0.999310181314622,357727.0,2280.0,0.600709786036659,mlt,Middle East & North Africa
Malta,1993,15.2,8.0,2.11,78.21,73.57,75.8334146341463,0.982779504038729,361260.0,3500.0,0.911762254084695,mlt,Middle East & North Africa
Malta,1994,14.1,7.4,2.0,78.6,74.7,76.6024390243903,0.948814496891339,364704.0,5300.0,1.36557815487202,mlt,Middle East & North Africa
Malta,1995,13.1,7.3,1.88,79.0,74.9,76.9,0.88365335550486,367941.0,7500.0,1.91289931773258,mlt,Middle East & North Africa
Malta,1996,12.5,7.3,1.81,79.6,74.8,77.1414634146341,0.674999244768688,370433.0,10791.0,2.72765188377589,mlt,Middle East & North Africa
Malta,1997,13.5,7.4,2.03,79.6,74.8,77.1414634146341,0.60663335997907,372687.0,12500.0,3.13520509257634,mlt,Middle East & North Africa
Malta,1998,12.9,7.6,1.98,80.1,75.2,77.590243902439,0.681623608071649,375236.0,17691.0,4.40762084146168,mlt,Middle East & North Africa
Malta,1999,12.4,8.0,1.88,80.0,74.9,77.3878048780488,0.605779054029152,377516.0,22531.0,5.58129050157547,mlt,Middle East & North Africa
Malta,2000,11.6,8.1,1.77,79.4,75.3,77.3,0.48726704202365,379360.0,37541.0,9.25302428299599,mlt,Middle East & North Africa
Malta,2001,11.5,7.7,1.7,80.3,76.2,78.2,0.52660551312898,381363.0,114444.0,28.0824186744992,mlt,Middle East & North Africa
Malta,2002,10.1,7.4,1.48,81.2,76.6,78.8439024390244,0.636056217128073,393028.0,239416.0,58.5203218647034,mlt,Middle East & North Africa
Malta,2003,9.9,7.6,1.45,81.3,76.3,78.7390243902439,0.745506921127166,395969.0,276859.0,67.4454862811303,mlt,Middle East & North Africa
Malta,2004,10.2,7.9,1.48,80.8,76.4,78.5463414634146,0.657732334391546,398582.0,289992.0,70.4223026299813,mlt,Middle East & North Africa
Malta,2005,9.7,7.5,1.4,81.2,77.4,79.2536585365854,0.67162845452858,401268.0,306067.0,74.0777403974151,mlt,Middle East & North Africa
Malta,2006,9.6,7.8,1.38,81.4,77.3,79.3,0.637436918202842,403834.0,323980.0,78.1150918511767,mlt,Middle East & North Africa
Malta,2007,9.3,7.9,1.36,82.0,77.0,79.4390243902439,0.364336947162944,405308.0,346771.0,83.2415551245367,mlt,Middle East & North Africa
Malta,2008,9.3,7.6,1.35,82.2,77.5,79.7926829268293,0.348755082369901,406724.0,368530.0,88.030288553411,mlt,Middle East & North Africa
Malta,2009,9.8,7.9,1.43,82.3,77.1,79.6365853658537,0.650655460565174,409379.0,385636.0,91.6444072662288,mlt,Middle East & North Africa
Malta,2010,9.8,7.8,1.42,82.7,77.9,80.2414634146342,0.753906931031973,412477.0,422083.0,99.8134187177207,mlt,Middle East & North Africa
Malta,2011,9.4,7.3,1.36,83.6,79.3,81.3975609756098,0.49118281065151,414508.0,455579.0,107.261182187607,mlt,Middle East & North Africa
Malta,2012,10.0,7.8,1.45,83.0,78.6,80.7463414634146,0.423700885195294,416268.0,521748.0,122.373790916511,mlt,Middle East & North Africa
Malta,2013,9.8,8.1,1.43,83.0,78.6,80.7463414634146,0.762696599023741,419455.0,532228.0,124.420942388794,mlt,Middle East & North Africa
