Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Mauritania,1980,43.386,13.289,6.484,55.086,52.269,53.6431463414634,2.8690334882705,1490842.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1981,43.038,12.919,6.426,55.673,52.88,54.2424390243903,2.86295542597629,1534141.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1982,42.706,12.556,6.368,56.246,53.494,54.8364390243903,2.86121051188375,1578670.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1983,42.399,12.213,6.314,56.791,54.089,55.4070487804878,2.85724178158102,1624427.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1984,42.123,11.897,6.264,57.299,54.647,55.9406585365854,2.84065391416922,1671233.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1985,41.878,11.614,6.219,57.764,55.157,56.4287073170732,2.80862219781511,1718837.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1986,41.663,11.367,6.178,58.183,55.609,56.8646097560976,2.76913195992766,1767099.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1987,41.469,11.154,6.141,58.556,56.001,57.2473414634146,2.72876999690224,1815983.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1988,41.284,10.97,6.104,58.892,56.34,57.5848780487805,2.70018949799163,1865686.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1989,41.096,10.808,6.065,59.196,56.636,57.8847804878049,2.69297083593976,1916611.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1990,40.9,10.665,6.023,59.474,56.892,58.151512195122,2.71170884384326,1969295.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1991,40.691,10.538,5.978,59.725,57.111,58.3861219512195,2.74806710998498,2024163.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1992,40.465,10.425,5.928,59.949,57.297,58.5906585365854,2.78748534789799,2081380.0,0.0,0.0,mrt,Sub-Saharan Africa
Mauritania,1993,40.226,10.325,5.875,60.149,57.455,58.7691463414634,2.8221790074614,2140957.0,0.0,0.0,mrt,Sub-Saharan Africa
