Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Mauritius,1980,27.5,7.2,2.818,70.665,62.447,66.4557804878049,1.58744422609775,951419.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1981,27.2,7.2,2.672,71.107,63.021,66.9653902439024,1.52092798440594,966000.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1982,25.5,6.8,2.532,71.444,63.563,67.4073902439025,1.35036520019553,979133.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1983,22.6,6.6,2.412,71.698,64.02,67.7653658536585,1.17987831933665,990754.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1984,21.0,6.5,2.325,71.897,64.362,68.0376097560976,1.00926865394323,1000804.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1985,20.1,6.6,2.16,72.058,64.585,68.2303658536585,0.838695945268204,1009233.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1986,19.0,6.8,2.02,72.206,64.718,68.3706829268293,0.668271273847313,1016000.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1987,18.6,6.6,1.99,72.369,64.814,68.4993658536585,0.850701956908804,1024680.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1988,19.3,6.5,2.05,72.561,64.936,68.655512195122,0.78544614079797,1032760.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1989,20.1,6.6,2.14,72.789,65.124,68.8630243902439,0.779421008171411,1040841.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1990,20.8,6.8,2.23,73.05,65.385,69.1240243902439,0.773297654428635,1048921.0,0.0,0.0,mus,Sub-Saharan Africa
Mauritius,1991,21.3,6.6,2.32,73.4,65.6,69.4048780487805,0.935056269687781,1058775.0,2200.0,0.20835997026135,mus,Sub-Saharan Africa
Mauritius,1992,20.7,6.6,2.3,73.9,66.2,69.9560975609756,1.07946362530249,1070266.0,2500.0,0.233992787406321,mus,Sub-Saharan Africa
Mauritius,1993,21.1,6.5,2.37,73.9,66.4,70.0585365853659,1.31574311449685,1084441.0,2912.0,0.268913274545493,mus,Sub-Saharan Africa
Mauritius,1994,20.3,6.8,2.21,74.0,66.4,70.1073170731707,1.18554061440712,1097374.0,4037.0,0.367510840067694,mus,Sub-Saharan Africa
Mauritius,1995,19.6,6.7,2.25,74.0,66.5,70.1585365853659,1.40006449419438,1112846.0,5706.0,0.512193085842161,mus,Sub-Saharan Africa
Mauritius,1996,18.3,6.7,2.14,74.28,66.56,70.3258536585366,0.859933461061684,1122457.0,11735.0,1.03971378854516,mus,Sub-Saharan Africa
Mauritius,1997,18.3,6.8,2.12,74.4,66.44,70.3229268292683,1.02276454116174,1133996.0,20843.0,1.82482614553958,mus,Sub-Saharan Africa
Mauritius,1998,17.4,7.0,2.04,74.4,66.6,70.4048780487805,1.25209760994193,1148284.0,42515.0,3.68190553225467,mus,Sub-Saharan Africa
Mauritius,1999,16.7,6.8,1.97,74.5,66.9,70.6073170731707,1.05142162473208,1160421.0,60448.0,5.18390834169475,mus,Sub-Saharan Africa
Mauritius,2000,17.3,6.8,2.05,74.7,67.4,70.9609756097561,1.27124855157122,1175267.0,102119.0,8.68191259000176,mus,Sub-Saharan Africa
Mauritius,2001,17.0,6.7,1.99,75.3,68.2,71.6634146341463,0.982676166064297,1186873.0,180000.0,15.1880405993201,mus,Sub-Saharan Africa
Mauritius,2002,16.4,6.7,1.91,75.3,68.4,71.7658536585366,1.09002677243753,1199881.0,272416.0,22.839914514651,mus,Sub-Saharan Africa
Mauritius,2003,16.5,6.9,1.94,75.5,68.6,71.9658536585366,0.855994475186918,1210196.0,347532.0,28.9858311953907,mus,Sub-Saharan Africa
Mauritius,2004,15.8,7.0,1.87,75.6366666666667,68.7733333333333,72.1213008130081,1.03699767797276,1222811.0,462405.0,38.4005959336002,mus,Sub-Saharan Africa
Mauritius,2005,15.6,6.9,1.87,75.7733333333333,68.9466666666667,72.2767479674797,0.86109260314917,1233386.0,547745.0,45.3186315675384,mus,Sub-Saharan Africa
Mauritius,2006,15.1,7.0,1.82,75.91,69.12,72.4321951219512,0.796809886712616,1243253.0,656828.0,54.1601250709131,mus,Sub-Saharan Africa
Mauritius,2007,14.1,7.3,1.7,75.91,69.12,72.4321951219512,0.756829367512258,1252698.0,772395.0,63.4922787825581,mus,Sub-Saharan Africa
Mauritius,2008,13.5,6.7,1.66,76.11,69.2,72.5707317073171,0.613188577962695,1260403.0,928622.0,76.1180547814055,mus,Sub-Saharan Africa
Mauritius,2009,12.9,7.1,1.58,76.11,69.2,72.5707317073171,0.645482927344485,1268565.0,1033300.0,84.4657559329571,mus,Sub-Saharan Africa
Mauritius,2010,12.0,7.2,1.5,76.56,69.38,72.8824390243903,0.508493596629689,1275032.0,1086748.0,88.5809978636188,mus,Sub-Saharan Africa
Mauritius,2011,11.7,7.1,1.47,76.65,69.46,72.9673170731707,0.461041617043606,1280924.0,1190900.0,96.7692918997058,mus,Sub-Saharan Africa
Mauritius,2012,11.4,7.1,1.45,76.97,69.74,73.2668292682927,0.399459037779536,1286051.0,1294100.0,104.793061842563,mus,Sub-Saharan Africa
Mauritius,2013,11.4,7.1,1.43,77.29,70.02,73.5663414634146,0.397017770324179,1291167.0,1485800.0,119.865403527228,mus,Sub-Saharan Africa
