Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Mexico,1980,34.877,7.037,4.924,69.422,62.864,66.0630243902439,2.50892873306026,68715443.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1981,33.842,6.8,4.705,69.974,63.309,66.5602195121951,2.35516484523848,70353013.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1982,32.927,6.594,4.51,70.479,63.759,67.0370487804878,2.19770672359018,71916281.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1983,32.115,6.411,4.334,70.943,64.213,67.4959268292683,2.0635607350049,73415735.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1984,31.387,6.248,4.174,71.373,64.672,67.9407804878049,1.97528998495374,74880326.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1985,30.742,6.1,4.029,71.773,65.133,68.3720243902439,1.9451331687488,76351106.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1986,30.178,5.966,3.898,72.148,65.597,68.7926097560976,1.95613992881045,77859344.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1987,29.692,5.842,3.778,72.503,66.061,69.2034390243902,1.97231333816112,79410218.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1988,29.27,5.728,3.669,72.845,66.524,69.6074146341464,1.98119192858422,80999175.0,0.0,0.0,mex,Latin America & Caribbean
Mexico,1989,28.898,5.621,3.566,73.178,66.986,70.0064878048781,1.99983678173929,82635332.0,1500.0,0.0018152041792486,mex,Latin America & Caribbean
Mexico,1990,28.558,5.519,3.468,73.506,67.445,70.4015853658537,2.02638243426602,84326921.0,8500.0,0.0100798178081232,mex,Latin America & Caribbean
Mexico,1991,28.235,5.418,3.375,73.831,67.905,70.7957317073171,2.05411293796209,86077004.0,63926.0,0.0742660606542486,mex,Latin America & Caribbean
Mexico,1992,27.919,5.318,3.285,74.153,68.37,71.1909756097561,2.08448111196402,87890094.0,160898.0,0.183067274908137,mex,Latin America & Caribbean
Mexico,1993,27.599,5.217,3.199,74.47,68.839,71.5858292682927,2.10291219413524,89757916.0,312647.0,0.348322481105733,mex,Latin America & Caribbean
Mexico,1994,27.267,5.117,3.117,74.778,69.311,71.9778292682927,2.09024951502912,91653826.0,386132.0,0.421293923943775,mex,Latin America & Caribbean
Mexico,1995,26.914,5.019,3.04,75.079,69.778,72.3638536585366,2.03872920669974,93541577.0,569251.0,0.608553990916788,mex,Latin America & Caribbean
Mexico,1996,26.529,4.926,2.966,75.373,70.229,72.7382682926829,1.95954887587365,95392647.0,688513.0,0.721767370602474,mex,Latin America & Caribbean
Mexico,1997,26.106,4.842,2.896,75.658,70.649,73.0924146341464,1.87849829348854,97201533.0,1021900.0,1.05132086754228,mex,Latin America & Caribbean
Mexico,1998,25.65,4.769,2.831,75.936,71.029,73.4226585365854,1.80157207837551,98968558.0,1740814.0,1.75895661731274,mex,Latin America & Caribbean
Mexico,1999,25.168,4.708,2.77,76.206,71.365,73.7264634146342,1.71337129967173,100678867.0,3349475.0,3.32688984273134,mex,Latin America & Caribbean
Mexico,2000,24.665,4.66,2.712,76.471,71.658,74.0058048780488,1.61377799231759,102316781.0,7731635.0,7.55656591659192,mex,Latin America & Caribbean
Mexico,2001,24.148,4.624,2.659,76.732,71.916,74.2652682926829,1.51011460861062,103873607.0,14077880.0,13.5528941437453,mex,Latin America & Caribbean
Mexico,2002,23.627,4.597,2.61,76.99,72.15,74.5109756097561,1.40172036702289,105339877.0,21757559.0,20.6546273069979,mex,Latin America & Caribbean
Mexico,2003,23.112,4.575,2.565,77.246,72.374,74.7505853658537,1.30508398946144,106723661.0,25928266.0,24.29476814893,mex,Latin America & Caribbean
Mexico,2004,22.611,4.556,2.523,77.501,72.602,74.991756097561,1.24096123444586,108056312.0,30097700.0,27.8537176060571,mex,Latin America & Caribbean
Mexico,2005,22.128,4.538,2.484,77.754,72.839,75.2365609756098,1.2189729952969,109381550.0,38451135.0,35.1532182529869,mex,Latin America & Caribbean
Mexico,2006,21.666,4.522,2.448,78.004,73.087,75.4855365853659,1.22690675376924,110731826.0,47128746.0,42.5611567174915,mex,Latin America & Caribbean
Mexico,2007,21.221,4.507,2.413,78.25,73.343,75.7366585365854,1.24289434604637,112116694.0,55395461.0,49.408753526036,mex,Latin America & Caribbean
Mexico,2008,20.789,4.495,2.379,78.488,73.6,75.9843902439024,1.25252852857712,113529819.0,66559462.0,58.6272950897596,mex,Latin America & Caribbean
Mexico,2009,20.365,4.488,2.346,78.719,73.853,76.2266585365854,1.25886431138021,114968039.0,75303469.0,65.4994811210096,mex,Latin America & Caribbean
Mexico,2010,19.949,4.486,2.313,78.941,74.1,76.4614634146341,1.25738121175646,116422752.0,83193574.0,71.4581751168363,mex,Latin America & Caribbean
Mexico,2011,19.544,4.488,2.281,79.156,74.342,76.6902926829268,1.24935027132475,117886404.0,91383493.0,77.5182632596037,mex,Latin America & Caribbean
Mexico,2012,19.15,4.496,2.248,79.364,74.581,76.9141707317073,1.24329836684013,119361233.0,94583253.0,79.2411829391876,mex,Latin America & Caribbean
Mexico,2013,18.771,4.509,2.216,79.568,74.818,77.1350731707317,1.23747633152353,120847477.0,100727228.0,83.3507082650968,mex,Latin America & Caribbean
