Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Mongolia,1980,39.145,12.979,6.395,59.295,54.548,56.8636097560976,2.60817437127968,1646290.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1981,38.809,12.851,6.209,59.361,54.606,56.925512195122,2.59799720035027,1689621.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1982,38.583,12.689,6.033,59.499,54.745,57.0640243902439,2.56249746700776,1733477.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1983,38.429,12.489,5.864,59.714,54.972,57.2851707317073,2.52046763461046,1777724.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1984,38.29,12.248,5.696,60.004,55.282,57.5854146341463,2.52653378330752,1823211.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1985,38.11,11.967,5.526,60.364,55.666,57.9577073170732,2.59181753330379,1871083.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1986,37.794,11.655,5.345,60.781,56.095,58.3808536585366,2.67869863469574,1921881.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1987,37.241,11.322,5.14,61.233,56.533,58.8256829268293,2.79265696592697,1976309.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1988,36.404,10.985,4.906,61.689,56.942,59.2576097560976,2.84522401816819,2033347.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1989,35.272,10.658,4.644,62.124,57.293,59.6495853658537,2.73473604427499,2089721.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1990,33.863,10.348,4.356,62.521,57.579,59.9897317073171,2.42499184802197,2141016.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1991,32.226,10.058,4.052,62.86,57.804,60.2703414634146,1.99503747074965,2184159.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1992,30.441,9.79,3.746,63.124,57.985,60.4918292682927,1.53466271267273,2217937.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1993,28.621,9.536,3.451,63.325,58.155,60.6769512195122,1.14708051174531,2243525.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1994,26.874,9.29,3.18,63.482,58.339,60.8477804878049,0.874205572817442,2263224.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1995,25.266,9.052,2.941,63.619,58.546,61.0206341463415,0.761270323829578,2280519.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1996,23.842,8.818,2.738,63.774,58.779,61.2155853658537,0.766354555321904,2298063.0,0.0,0.0,mng,East Asia & Pacific
Mongolia,1997,22.608,8.585,2.57,63.993,59.034,61.4530243902439,0.803313598716046,2316598.0,900.0,0.0388500723906349,mng,East Asia & Pacific
Mongolia,1998,21.539,8.352,2.43,64.308,59.297,61.7413902439024,0.822174898630017,2335723.0,2000.0,0.0856265918518591,mng,East Asia & Pacific
Mongolia,1999,20.619,8.123,2.312,64.734,59.561,62.0844146341463,0.848163425650122,2355618.0,9032.0,0.383423797916301,mng,East Asia & Pacific
Mongolia,2000,19.869,7.899,2.216,65.268,59.825,62.4801219512195,0.869819709692232,2376197.0,34562.0,1.45450903271067,mng,East Asia & Pacific
Mongolia,2001,19.333,7.686,2.144,65.897,60.092,62.9237073170732,0.891395545980955,2397473.0,154600.0,6.44845635383589,mng,East Asia & Pacific
Mongolia,2002,19.061,7.491,2.102,66.59,60.367,63.4026097560976,0.921548797321047,2419669.0,195000.0,8.05895351802251,mng,East Asia & Pacific
Mongolia,2003,19.059,7.319,2.089,67.3,60.654,63.8959512195122,0.969058972512091,2443231.0,216000.0,8.84075226615903,mng,East Asia & Pacific
Mongolia,2004,19.305,7.174,2.103,67.984,60.954,64.3832682926829,1.03278192067156,2468595.0,319000.0,12.9223303133969,mng,East Asia & Pacific
Mongolia,2005,19.757,7.056,2.141,68.618,61.265,64.8518292682927,1.11396416596445,2496248.0,428695.0,17.1735741000093,mng,East Asia & Pacific
Mongolia,2006,20.353,6.967,2.193,69.181,61.58,65.2878048780488,1.20469328126939,2526502.0,557207.0,22.0544848173483,mng,East Asia & Pacific
Mongolia,2007,21.02,6.904,2.254,69.662,61.893,65.682756097561,1.29746267505862,2559496.0,774900.0,30.2754917374358,mng,East Asia & Pacific
Mongolia,2008,21.675,6.862,2.315,70.072,62.195,66.0374390243903,1.38023564044036,2595068.0,1194583.0,46.0328207199195,mng,East Asia & Pacific
Mongolia,2009,22.246,6.835,2.368,70.426,62.482,66.3571219512195,1.44481120580606,2632834.0,1763178.0,66.9688252278723,mng,East Asia & Pacific
Mongolia,2010,22.678,6.818,2.41,70.727,62.75,66.6412195121951,1.48498777042911,2672223.0,2249023.0,84.1629983725161,mng,East Asia & Pacific
Mongolia,2011,22.931,6.807,2.437,70.985,62.999,66.8946097560976,1.50477466771639,2712738.0,2510470.0,92.5437694314748,mng,East Asia & Pacific
Mongolia,2012,22.989,6.798,2.447,71.211,63.233,67.1247073170732,1.51718300891339,2754209.0,2942313.0,106.82969230004,mng,East Asia & Pacific
Mongolia,2013,22.887,6.791,2.446,71.416,63.457,67.3394390243902,1.52326267835298,2796484.0,3375205.0,120.694593639728,mng,East Asia & Pacific
