Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Nepal,1980,41.041,17.746,5.795,47.176,46.863,47.0156829268293,2.23984370778014,14063010.0,0.0,0.0,npl,South Asia
Nepal,1981,40.909,17.299,5.76,47.846,47.47,47.6534146341463,2.26285966924673,14384864.0,0.0,0.0,npl,South Asia
Nepal,1982,40.773,16.843,5.721,48.536,48.103,48.3142195121951,2.29101829534883,14718228.0,0.0,0.0,npl,South Asia
Nepal,1983,40.628,16.379,5.676,49.243,48.761,48.9961219512195,2.31545473253523,15062998.0,0.0,0.0,npl,South Asia
Nepal,1984,40.463,15.907,5.625,49.966,49.442,49.6976097560976,2.32429503797898,15417207.0,0.0,0.0,npl,South Asia
Nepal,1985,40.27,15.43,5.569,50.703,50.142,50.4156585365854,2.31355736917304,15778051.0,0.0,0.0,npl,South Asia
Nepal,1986,40.03,14.946,5.508,51.457,50.859,51.1507073170732,2.29271180306065,16143975.0,0.0,0.0,npl,South Asia
Nepal,1987,39.724,14.453,5.444,52.233,51.591,51.9041707317073,2.26158105614674,16513244.0,0.0,0.0,npl,South Asia
Nepal,1988,39.347,13.954,5.378,53.03,52.334,52.673512195122,2.24225838279944,16887696.0,0.0,0.0,npl,South Asia
Nepal,1989,38.901,13.451,5.31,53.848,53.083,53.4561707317073,2.25943623157219,17273606.0,0.0,0.0,npl,South Asia
Nepal,1990,38.397,12.948,5.239,54.681,53.831,54.2456341463415,2.32281407689131,17679536.0,0.0,0.0,npl,South Asia
Nepal,1991,37.858,12.453,5.165,55.522,54.574,55.0364390243903,2.41227189127417,18111200.0,0.0,0.0,npl,South Asia
Nepal,1992,37.316,11.971,5.088,56.362,55.308,55.8221463414634,2.49869565696548,18569445.0,0.0,0.0,npl,South Asia
Nepal,1993,36.796,11.508,5.004,57.192,56.031,56.5973414634146,2.55957542368827,19050879.0,0.0,0.0,npl,South Asia
