Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Netherlands,1980,12.5,8.0,1.56,78.92,72.45,75.6060975609756,0.690282251587051,14038270.0,0.0,0.0,nld,Europe & Central Asia
Netherlands,1981,12.8,8.1,1.6,79.18,72.47,75.7431707317073,0.791331808142327,14149800.0,0.0,0.0,nld,Europe & Central Asia
Netherlands,1982,12.5,8.1,1.56,79.32,72.71,75.9343902439025,0.68604679796041,14247208.0,0.0,0.0,nld,Europe & Central Asia
Netherlands,1983,12.0,8.2,1.5,79.41,72.73,75.9885365853659,0.458559864217281,14312690.0,0.0,0.0,nld,Europe & Central Asia
Netherlands,1984,11.8,8.2,1.47,79.56,72.93,76.1641463414634,0.37922259579425,14367070.0,0.0,0.0,nld,Europe & Central Asia
Netherlands,1985,12.1,8.3,1.49,79.67,72.96,76.2331707317073,0.396933189768028,14424211.0,2400.0,0.0166069301549883,nld,Europe & Central Asia
Netherlands,1986,12.3,8.5,1.51,79.66,73.07,76.2846341463415,0.466326519882431,14491632.0,4800.0,0.0332138603099767,nld,Europe & Central Asia
Netherlands,1987,12.7,8.6,1.55,79.61,73.09,76.2704878048781,0.554957725760648,14572278.0,15300.0,0.105296380405954,nld,Europe & Central Asia
Netherlands,1988,12.7,8.3,1.56,80.06,73.51,76.7051219512195,0.634526879264155,14665037.0,24200.0,0.16560363276888,nld,Europe & Central Asia
Netherlands,1989,12.6,8.4,1.55,80.24,73.7,76.890243902439,0.646096227552241,14760094.0,33000.0,0.224479366026735,nld,Europe & Central Asia
Netherlands,1990,12.7,8.7,1.55,79.92,73.7,76.7341463414634,0.59990721305618,14848907.0,56000.0,0.378555020335841,nld,Europe & Central Asia
Netherlands,1991,13.2,8.6,1.62,80.11,73.8,76.8780487804878,0.688603823438797,14951510.0,79000.0,0.530545270924286,nld,Europe & Central Asia
Netherlands,1992,13.2,8.6,1.61,80.15,74.0,77.0,0.788031035375139,15069798.0,115000.0,0.767014891427375,nld,Europe & Central Asia
Netherlands,1993,13.0,8.6,1.59,80.28,74.3,77.2170731707317,0.756056593396787,15184166.0,166000.0,1.09926043612032,nld,Europe & Central Asia
Netherlands,1994,12.8,9.0,1.57,80.0,73.98,76.9165853658537,0.696991330125143,15290368.0,216000.0,1.42004374655138,nld,Europe & Central Asia
Netherlands,1995,12.7,8.7,1.57,80.31,74.58,77.3751219512195,0.602938474274189,15382838.0,321000.0,2.09555687106332,nld,Europe & Central Asia
Netherlands,1996,12.3,8.8,1.53,80.36,74.59,77.4046341463415,0.49392737251493,15459006.0,539000.0,3.49546044098573,nld,Europe & Central Asia
Netherlands,1997,12.2,8.9,1.53,80.35,74.66,77.4356097560976,0.461395747607711,15530498.0,1016000.0,6.54858839891783,nld,Europe & Central Asia
Netherlands,1998,12.2,8.8,1.56,80.55,75.17,77.7943902439024,0.514767002117464,15610650.0,1717000.0,11.0040514392299,nld,Europe & Central Asia
Netherlands,1999,12.7,8.8,1.63,80.7,75.2,77.8829268292683,0.616640530679659,15707209.0,3351000.0,21.3601514677598,nld,Europe & Central Asia
Netherlands,2000,12.7,8.9,1.65,80.5,75.3,77.8365853658537,0.665493187073143,15812088.0,6745460.0,42.7665218727124,nld,Europe & Central Asia
Netherlands,2001,13.0,8.8,1.72,80.6,75.5,77.9878048780488,0.714770362784392,15925513.0,10755000.0,67.8126916985348,nld,Europe & Central Asia
Netherlands,2002,12.6,8.7,1.71,80.7,75.8,78.190243902439,0.754840057734904,16046180.0,12200000.0,76.4880019791584,nld,Europe & Central Asia
Netherlands,2003,12.5,8.8,1.73,80.7,76.0,78.2926829268293,0.638291666268526,16148929.0,12100000.0,75.4252738747796,nld,Europe & Central Asia
Netherlands,2004,12.3,8.7,1.75,80.9,76.2,78.4926829268293,0.471814398788212,16225302.0,13200000.0,81.815272642888,nld,Europe & Central Asia
Netherlands,2005,11.9,8.4,1.72,81.4,76.9,79.0951219512195,0.347475412048658,16281779.0,14800000.0,91.2377035617967,nld,Europe & Central Asia
Netherlands,2006,11.5,8.4,1.71,81.6,77.2,79.3463414634146,0.23366314793854,16319868.0,15834000.0,97.1277447605059,nld,Europe & Central Asia
Netherlands,2007,11.3,8.3,1.72,81.9,77.6,79.6975609756098,0.160613668857538,16346101.0,17296000.0,105.619183609388,nld,Europe & Central Asia
Netherlands,2008,11.1,8.1,1.72,82.3,78.0,80.0975609756098,0.217521601194242,16381696.0,19285000.0,117.285034806622,nld,Europe & Central Asia
Netherlands,2009,11.2,8.2,1.77,82.3,78.3,80.2512195121951,0.389292461499527,16445593.0,20627000.0,124.98036105128,nld,Europe & Central Asia
Netherlands,2010,11.2,8.1,1.79,82.7,78.5,80.5487804878049,0.514284544827762,16530388.0,20149000.0,121.663286694834,nld,Europe & Central Asia
Netherlands,2011,11.1,8.2,1.79,82.7,78.8,80.7024390243902,0.512923100553586,16615394.0,19179000.0,115.43015049494,nld,Europe & Central Asia
Netherlands,2012,10.8,8.1,1.76,83.1,79.4,81.2048780487805,0.466428782200821,16693074.0,19829309.0,118.979142583501,nld,Europe & Central Asia
Netherlands,2013,10.5,8.4,1.72,83.0,79.3,81.1048780487805,0.370055034770235,16754962.0,19717000.0,117.966846751033,nld,Europe & Central Asia
