Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Nigeria,1980,46.948,19.518,6.781,46.261,44.145,45.1771951219512,2.98606651072357,71619219.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1981,46.793,19.214,6.783,46.627,44.52,45.5478048780488,2.86135453685191,73698099.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1982,46.593,18.956,6.779,46.927,44.829,45.8524146341463,2.71917527581735,75729574.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1983,46.356,18.75,6.767,47.154,45.064,46.083512195122,2.60700166927562,77729805.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1984,46.092,18.597,6.749,47.306,45.224,46.2396097560976,2.53985353412447,79729313.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1985,45.809,18.495,6.726,47.386,45.313,46.3242195121951,2.53369171473517,81775217.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1986,45.516,18.438,6.698,47.404,45.337,46.3452926829268,2.56701228451406,83901572.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1987,45.218,18.415,6.664,47.378,45.309,46.3182682926829,2.60746330791591,86118046.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1988,44.92,18.41,6.625,47.328,45.25,46.2636585365854,2.62991298423469,88412920.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1989,44.63,18.409,6.582,47.274,45.183,46.203,2.6350568901698,90773617.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1990,44.354,18.402,6.537,47.228,45.123,46.1498292682927,2.6161849013304,93179760.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1991,44.102,18.385,6.49,47.191,45.081,46.1102682926829,2.58237582212083,95617350.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1992,43.879,18.358,6.443,47.16,45.065,46.0869512195122,2.54839635516701,98085373.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1993,43.687,18.324,6.395,47.127,45.073,46.0749512195122,2.52368848975253,100592242.0,0.0,0.0,nga,Sub-Saharan Africa
Nigeria,1994,43.523,18.284,6.348,47.088,45.106,46.0728292682927,2.50581943788372,103144749.0,9049.0,0.0087731077807945,nga,Sub-Saharan Africa
Nigeria,1995,43.387,18.236,6.303,47.049,45.168,46.0855609756098,2.49709255186144,105752796.0,12800.0,0.0121036988941645,nga,Sub-Saharan Africa
Nigeria,1996,43.277,18.177,6.261,47.014,45.257,46.1140731707317,2.49528368540041,108424827.0,13000.0,0.0119898738690171,nga,Sub-Saharan Africa
Nigeria,1997,43.187,18.105,6.222,46.988,45.371,46.1597804878049,2.49693745859238,111166210.0,14000.0,0.0125937548828911,nga,Sub-Saharan Africa
Nigeria,1998,43.112,18.017,6.187,46.98,45.505,46.224512195122,2.49919722329562,113979481.0,15000.0,0.0131602634688256,nga,Sub-Saharan Africa
Nigeria,1999,43.044,17.909,6.154,47.002,45.662,46.3156585365854,2.5021269645984,116867371.0,20000.0,0.0171134165412175,nga,Sub-Saharan Africa
Nigeria,2000,42.978,17.774,6.125,47.065,45.85,46.4426829268293,2.5050116612105,119831888.0,25000.0,0.0208625603896018,nga,Sub-Saharan Africa
Nigeria,2001,42.909,17.6,6.099,47.191,46.084,46.624,2.50918060782877,122876727.0,30000.0,0.0244147128039958,nga,Sub-Saharan Africa
Nigeria,2002,42.833,17.374,6.077,47.399,46.388,46.8811707317073,2.51398919118465,126004992.0,266461.0,0.211468605942215,nga,Sub-Saharan Africa
Nigeria,2003,42.751,17.092,6.058,47.693,46.769,47.2197317073171,2.52307677637479,129224641.0,1569050.0,1.21420341187096,nga,Sub-Saharan Africa
Nigeria,2004,42.662,16.758,6.042,48.069,47.227,47.6377317073171,2.54087412275396,132550146.0,3149473.0,2.37606150958144,nga,Sub-Saharan Africa
Nigeria,2005,42.565,16.379,6.029,48.518,47.752,48.1256585365854,2.56883368093926,135999250.0,9147209.0,6.72592606209225,nga,Sub-Saharan Africa
Nigeria,2006,42.464,15.971,6.02,49.022,48.324,48.6644878048781,2.60307468704176,139585891.0,18587000.0,13.3158157080503,nga,Sub-Saharan Africa
Nigeria,2007,42.364,15.551,6.015,49.559,48.914,49.2286341463415,2.63642520114389,143314909.0,32322202.0,22.5532725279824,nga,Sub-Saharan Africa
Nigeria,2008,42.267,15.139,6.015,50.102,49.496,49.7916097560976,2.66619155873031,147187353.0,40395611.0,27.4450285141007,nga,Sub-Saharan Africa
Nigeria,2009,42.169,14.749,6.017,50.628,50.045,50.3293902439024,2.69506159869276,151208080.0,62988492.0,41.6568294498548,nga,Sub-Saharan Africa
Nigeria,2010,42.063,14.389,6.021,51.125,50.55,50.8304878048781,2.72233925810994,155381020.0,74518264.0,47.9584083049526,nga,Sub-Saharan Africa
Nigeria,2011,41.933,14.061,6.022,51.587,51.006,51.2894146341464,2.74654763253572,159707780.0,87297789.0,54.6609495166735,nga,Sub-Saharan Africa
Nigeria,2012,41.76,13.762,6.017,52.015,51.42,51.710243902439,2.76963380145893,164192925.0,95167308.0,57.9606630431853,nga,Sub-Saharan Africa
Nigeria,2013,41.532,13.479,6.002,52.423,51.81,52.1090243902439,2.78725485401978,168833776.0,112777785.0,66.7981180495543,nga,Sub-Saharan Africa
