Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Norway,1980,12.6,10.2,1.75,78.82,72.17,75.4139024390244,0.340565570067307,4072517.0,0.0,0.0,nor,Europe & Central Asia
Norway,1981,12.4,10.1,1.72,79.17,72.34,75.6717073170732,0.321225575570377,4085620.0,0.0,0.0,nor,Europe & Central Asia
Norway,1982,12.3,10.2,1.7,79.27,72.63,75.8690243902439,0.344079656076061,4099702.0,1670.0,0.0407796781433379,nor,Europe & Central Asia
Norway,1983,12.4,10.0,1.71,79.54,72.65,76.0109756097561,0.367278280054002,4114787.0,11059.0,0.269229037005299,nor,Europe & Central Asia
Norway,1984,12.0,10.2,1.66,79.56,72.74,76.0668292682927,0.331060292406033,4128432.0,23473.0,0.569679636810726,nor,Europe & Central Asia
Norway,1985,12.1,10.2,1.66,79.61,73.0,76.2243902439024,0.282202672828762,4140099.0,39050.0,0.944643869261289,nor,Europe & Central Asia
Norway,1986,12.3,10.7,1.68,79.41,72.59,75.9168292682927,0.299471500364252,4152516.0,63075.0,1.52048221523953,nor,Europe & Central Asia
Norway,1987,12.6,10.5,1.71,79.76,72.89,76.2412195121951,0.356688643730966,4167354.0,87061.0,2.09071876577447,nor,Europe & Central Asia
Norway,1988,13.0,10.7,1.74,79.58,72.75,76.0817073170732,0.468049546752802,4186905.0,120029.0,2.87059655238554,nor,Europe & Central Asia
Norway,1989,13.7,10.7,1.84,79.56,73.04,76.2204878048781,0.537922759339233,4209488.0,152193.0,3.62380075131845,nor,Europe & Central Asia
Norway,1990,14.0,10.7,1.89,79.84,73.32,76.500487804878,0.412807534785616,4226901.0,167651.0,3.97321314306895,nor,Europe & Central Asia
Norway,1991,14.4,10.9,1.93,79.8,73.43,76.5373170731707,0.344151412835214,4241473.0,196828.0,4.64175927836571,nor,Europe & Central Asia
Norway,1992,14.3,10.5,1.92,80.1,74.01,76.9807317073171,0.476503585004921,4261732.0,234423.0,5.49983143169042,nor,Europe & Central Asia
Norway,1993,14.0,10.4,1.88,80.36,74.16,77.1843902439025,0.577180268126687,4286401.0,282918.0,6.60174392556861,nor,Europe & Central Asia
