Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Oman,1980,49.971,10.672,8.232,60.43,57.2,58.7756097560976,5.56096540251475,1091831.0,0.0,0.0,omn,Middle East & North Africa
Oman,1981,49.743,10.054,8.299,61.431,58.11,59.73,5.57029685302753,1154375.0,0.0,0.0,omn,Middle East & North Africa
Oman,1982,49.328,9.463,8.338,62.383,58.984,60.6420487804878,5.5711370867227,1220512.0,0.0,0.0,omn,Middle East & North Africa
Oman,1983,48.759,8.9,8.352,63.294,59.825,61.5171951219512,5.52492874134676,1289842.0,0.0,0.0,omn,Middle East & North Africa
Oman,1984,48.059,8.364,8.34,64.169,60.637,62.3599268292683,5.34332421920651,1360637.0,0.0,0.0,omn,Middle East & North Africa
Oman,1985,47.223,7.859,8.299,65.007,61.418,63.1687317073171,5.01968832772795,1430680.0,0.0,0.0,omn,Middle East & North Africa
Oman,1986,46.214,7.386,8.222,65.804,62.165,63.9401219512195,4.62586944259187,1498416.0,52.0,0.003470331336558,omn,Middle East & North Africa
Oman,1987,44.984,6.945,8.101,66.561,62.876,64.6735609756098,4.16506865216181,1562144.0,747.0,0.0478188950570498,omn,Middle East & North Africa
Oman,1988,43.521,6.535,7.933,67.279,63.553,65.3705609756098,3.76765484549489,1622123.0,1159.0,0.0714495756487024,omn,Middle East & North Africa
Oman,1989,41.841,6.153,7.719,67.961,64.197,66.0330975609756,3.56947103154205,1681070.0,1711.0,0.101780413665106,omn,Middle East & North Africa
Oman,1990,39.99,5.798,7.462,68.611,64.81,66.6641463414634,3.61485845138502,1742950.0,2098.0,0.120370635990705,omn,Middle East & North Africa
Oman,1991,38.035,5.47,7.164,69.232,65.397,67.2677317073171,3.78046697828297,1810103.0,2730.0,0.150820146698834,omn,Middle East & North Africa
Oman,1992,36.059,5.169,6.831,69.827,65.96,67.8463414634146,4.05631691248499,1885036.0,3672.0,0.194797340740442,omn,Middle East & North Africa
Oman,1993,34.144,4.893,6.472,70.401,66.505,68.405487804878,4.18435008315018,1965586.0,4721.0,0.240182825885003,omn,Middle East & North Africa
Oman,1994,32.357,4.642,6.098,70.956,67.033,68.9466585365854,3.90751988847401,2043912.0,5616.0,0.274767211112807,omn,Middle East & North Africa
Oman,1995,30.74,4.414,5.72,71.496,67.548,69.4738536585366,3.14649190760403,2109246.0,6751.0,0.320066981281463,omn,Middle East & North Africa
Oman,1996,29.306,4.209,5.346,72.024,68.05,69.9885365853659,2.12745538248304,2154600.0,8052.0,0.373712057922584,omn,Middle East & North Africa
Oman,1997,28.037,4.026,4.982,72.538,68.541,70.490756097561,0.988231839767157,2175998.0,15000.0,0.689338868877637,omn,Middle East & North Africa
Oman,1998,26.881,3.864,4.631,73.038,69.018,70.9789756097561,0.0792425647057438,2177723.0,53000.0,2.4337346852653,omn,Middle East & North Africa
Oman,1999,25.805,3.721,4.298,73.523,69.479,71.4516829268293,-0.302976323417583,2171135.0,98000.0,4.51376814431162,omn,Middle East & North Africa
Oman,2000,24.81,3.595,3.992,73.994,69.926,71.9103902439025,0.0530457333877822,2172287.0,121000.0,5.57016637304371,omn,Middle East & North Africa
Oman,2001,23.913,3.485,3.72,74.453,70.36,72.3565853658537,0.927787902637217,2192535.0,162000.0,7.38870759189705,omn,Middle East & North Africa
Oman,2002,23.144,3.386,3.488,74.902,70.779,72.7902195121951,2.09820946044964,2239025.0,323000.0,14.4259219972979,omn,Middle East & North Africa
Oman,2003,22.524,3.299,3.297,75.342,71.186,73.2133170731708,3.0518039398186,2308409.0,463000.0,20.0571042653187,omn,Middle East & North Africa
Oman,2004,22.059,3.221,3.144,75.77,71.581,73.6244146341463,3.43669732166565,2389121.0,594000.0,24.8627005497001,omn,Middle East & North Africa
Oman,2005,21.741,3.149,3.029,76.186,71.963,74.023,3.08609356472496,2464001.0,806280.0,32.7223893172121,omn,Middle East & North Africa
Oman,2006,21.564,3.084,2.951,76.587,72.332,74.4076097560976,2.33946437042554,2522325.0,1333225.0,52.856987105151,omn,Middle East & North Africa
Oman,2007,21.522,3.024,2.906,76.966,72.686,74.7738048780488,1.28339457487118,2554905.0,1818024.0,71.1581839637873,omn,Middle East & North Africa
Oman,2008,21.576,2.971,2.887,77.321,73.025,75.1206097560976,0.578929636137847,2569739.0,2500000.0,97.286144624026,omn,Middle East & North Africa
Oman,2009,21.675,2.924,2.886,77.65,73.349,75.4470487804878,0.921284576495966,2593523.0,3219349.0,124.130343166419,omn,Middle East & North Africa
Oman,2010,21.77,2.881,2.894,77.955,73.659,75.7546097560976,2.65202358586504,2663224.0,3970563.0,149.088585864351,omn,Middle East & North Africa
Oman,2011,21.787,2.842,2.901,78.238,73.958,76.0458048780488,5.10700813414887,2802768.0,4606133.0,164.342285911642,omn,Middle East & North Africa
Oman,2012,21.655,2.804,2.899,78.501,74.249,76.3231463414634,7.62288776532252,3024774.0,4809248.0,158.995283614577,omn,Middle East & North Africa
Oman,2013,21.345,2.766,2.884,78.752,74.533,76.5910487804878,9.13198428064601,3314001.0,5277591.0,159.251339996578,omn,Middle East & North Africa
