Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Pakistan,1980,42.396,12.081,6.561,58.114,57.365,57.7303658536585,3.27592704524394,77362155.0,0.0,0.0,pak,South Asia
Pakistan,1981,42.396,11.897,6.535,58.495,57.661,58.0678292682927,3.33326203763964,79984297.0,0.0,0.0,pak,South Asia
Pakistan,1982,42.409,11.73,6.508,58.849,57.939,58.3829024390244,3.37891941440035,82733080.0,0.0,0.0,pak,South Asia
Pakistan,1983,42.439,11.57,6.483,59.189,58.209,58.6870487804878,3.40839268195766,85601555.0,0.0,0.0,pak,South Asia
Pakistan,1984,42.475,11.413,6.46,59.527,58.481,58.991243902439,3.41696506605353,88577077.0,0.0,0.0,pak,South Asia
Pakistan,1985,42.496,11.252,6.436,59.866,58.759,59.299,3.40292402183144,91643160.0,0.0,0.0,pak,South Asia
Pakistan,1986,42.46,11.081,6.407,60.21,59.047,59.6143170731707,3.36926133667189,94783463.0,0.0,0.0,pak,South Asia
Pakistan,1987,42.32,10.897,6.367,60.557,59.343,59.9351951219512,3.3356831553753,97998462.0,0.0,0.0,pak,South Asia
Pakistan,1988,42.044,10.701,6.31,60.902,59.642,60.2566341463415,3.29187000166528,101278129.0,0.0,0.0,pak,South Asia
Pakistan,1989,41.619,10.494,6.234,61.239,59.939,60.5731463414634,3.2115023863415,104583470.0,0.0,0.0,pak,South Asia
Pakistan,1990,41.044,10.278,6.138,61.569,60.233,60.8847073170732,3.08986728173202,107865403.0,0.0,0.0,pak,South Asia
Pakistan,1991,40.343,10.057,6.024,61.888,60.52,61.1873170731707,2.94644146984443,111090879.0,2000.0,0.0018003278198924,pak,South Asia
Pakistan,1992,39.555,9.835,5.899,62.195,60.798,61.4794634146342,2.78581151202218,114229172.0,8500.0,0.0074411814873349,pak,South Asia
Pakistan,1993,38.728,9.616,5.767,62.49,61.066,61.7606341463415,2.6454248059227,117291344.0,13500.0,0.0115098007573347,pak,South Asia
Pakistan,1994,37.898,9.405,5.634,62.774,61.325,62.0318292682927,2.56328706879353,120336722.0,16000.0,0.0132960244670783,pak,South Asia
Pakistan,1995,37.079,9.203,5.499,63.05,61.577,62.2955365853659,2.55499435452165,123450933.0,24662.0,0.0199771677707774,pak,South Asia
Pakistan,1996,36.249,9.007,5.359,63.319,61.825,62.5537804878049,2.58960452714531,126689577.0,40964.0,0.0323341516879483,pak,South Asia
Pakistan,1997,35.369,8.813,5.208,63.588,62.074,62.8125365853659,2.64382706796604,130083700.0,68038.0,0.0523032478319728,pak,South Asia
Pakistan,1998,34.409,8.618,5.042,63.858,62.328,63.0743414634146,2.66533990418338,133597492.0,135027.0,0.101070011104699,pak,South Asia
Pakistan,1999,33.368,8.421,4.861,64.131,62.588,63.3406829268293,2.61656361803744,137139290.0,196096.0,0.142990385906183,pak,South Asia
Pakistan,2000,32.273,8.223,4.669,64.408,62.855,63.6125609756098,2.47824282203097,140580398.0,265614.0,0.188940993039442,pak,South Asia
Pakistan,2001,31.192,8.031,4.474,64.685,63.125,63.8859756097561,2.28664962878347,143832014.0,306493.0,0.213090946498184,pak,South Asia
Pakistan,2002,30.205,7.853,4.29,64.962,63.398,64.1609268292683,2.0813826593713,146857081.0,742606.0,0.505665777191908,pak,South Asia
Pakistan,2003,29.375,7.694,4.125,65.233,63.666,64.4303902439025,1.91312237332684,149693684.0,1698536.0,1.1346744596118,pak,South Asia
Pakistan,2004,28.735,7.558,3.986,65.495,63.926,64.6913658536585,1.80485981699171,152419974.0,2404400.0,1.57748353900126,pak,South Asia
Pakistan,2005,28.287,7.447,3.873,65.746,64.174,64.9408292682927,1.7761678050725,155151394.0,5022908.0,3.23742369984765,pak,South Asia
Pakistan,2006,27.994,7.359,3.785,65.983,64.405,65.174756097561,1.80127232304693,157971415.0,12771203.0,8.08450250319021,pak,South Asia
Pakistan,2007,27.794,7.288,3.713,66.207,64.618,65.3931219512195,1.84049643561971,160905794.0,34506557.0,21.4451923340933,pak,South Asia
Pakistan,2008,27.605,7.229,3.648,66.419,64.812,65.5959024390244,1.86102507171314,163928329.0,62856712.0,38.3440204529871,pak,South Asia
Pakistan,2009,27.364,7.175,3.581,66.619,64.99,65.7846341463415,1.86128984318687,167008083.0,88019742.0,52.703881404351,pak,South Asia
Pakistan,2010,27.045,7.124,3.509,66.811,65.152,65.9612682926829,1.83090070889275,170093999.0,94342030.0,55.4646434057912,pak,South Asia
Pakistan,2011,26.644,7.074,3.43,66.994,65.3,66.1263414634146,1.78030432229361,173149306.0,99185844.0,57.2834198942732,pak,South Asia
Pakistan,2012,26.182,7.025,3.347,67.171,65.439,66.2838780487805,1.72744733747941,176166353.0,108894518.0,61.8134599176268,pak,South Asia
Pakistan,2013,25.704,6.98,3.264,67.344,65.571,66.4358780487805,1.68511447671268,179160111.0,120151237.0,67.0636093767546,pak,South Asia
