Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Papua New Guinea,1980,40.215,12.757,5.771,54.076,50.321,52.1527073170732,2.66630923060585,3130125.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1981,39.481,12.258,5.694,55.101,50.772,52.8837073170732,2.69046398303129,3215483.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1982,38.827,11.825,5.609,56.018,51.163,53.5312926829268,2.72131750791526,3304188.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1983,38.212,11.475,5.515,56.762,51.483,54.0581219512195,2.73480301704255,3395798.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1984,37.61,11.213,5.415,57.296,51.731,54.4456341463415,2.71915898911765,3489402.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1985,37.028,11.035,5.312,57.622,51.918,54.7004390243902,2.66673647107043,3583707.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1986,36.486,10.924,5.21,57.781,52.063,54.8522682926829,2.59316903689199,3677854.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1987,36.01,10.854,5.11,57.844,52.192,54.9490731707317,2.51677635838637,3771592.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1988,35.621,10.793,5.018,57.903,52.336,55.0516097560976,2.45803938617241,3865448.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1989,35.331,10.717,4.934,58.025,52.515,55.2028048780488,2.42457276990113,3960314.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1990,35.142,10.613,4.861,58.235,52.743,55.4220243902439,2.42355722344954,4057467.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1991,35.059,10.481,4.802,58.53,53.023,55.7093414634146,2.44519733537191,4157903.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1992,35.082,10.329,4.757,58.879,53.35,56.0470731707317,2.46800416811381,4261797.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1993,35.186,10.176,4.724,59.226,53.707,56.3991951219512,2.48631604730957,4369087.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1994,35.337,10.033,4.701,59.533,54.077,56.7384634146342,2.51232232327162,4480243.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1995,35.503,9.903,4.685,59.789,54.453,57.0559268292683,2.54570708663991,4595761.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1996,35.642,9.784,4.671,60.0,54.83,57.3519512195122,2.58115705365996,4715929.0,0.0,0.0,png,East Asia & Pacific
Papua New Guinea,1997,35.711,9.67,4.654,60.178,55.205,57.6308536585366,2.61795148965102,4841020.0,2285.0,0.0472007965263519,png,East Asia & Pacific
Papua New Guinea,1998,35.688,9.554,4.631,60.351,55.578,57.9062926829268,2.64599776339675,4970823.0,3857.0,0.0775927849372227,png,East Asia & Pacific
Papua New Guinea,1999,35.56,9.429,4.599,60.541,55.95,58.189512195122,2.65402181503916,5104516.0,5558.0,0.108883976463195,png,East Asia & Pacific
Papua New Guinea,2000,35.32,9.294,4.557,60.758,56.32,58.4848780487805,2.63754242518403,5240941.0,7059.0,0.134689552887544,png,East Asia & Pacific
Papua New Guinea,2001,34.976,9.146,4.507,61.013,56.691,58.7992926829268,2.60434352899219,5379226.0,8560.0,0.159130700215979,png,East Asia & Pacific
Papua New Guinea,2002,34.551,8.984,4.451,61.312,57.069,59.138756097561,2.56469322154957,5518971.0,10700.0,0.19387672085974,png,East Asia & Pacific
Papua New Guinea,2003,34.08,8.812,4.392,61.648,57.457,59.5013902439024,2.52796343788953,5660267.0,15000.0,0.2650051667174,png,East Asia & Pacific
Papua New Guinea,2004,33.596,8.635,4.335,62.01,57.851,59.8797804878049,2.49560016541976,5803302.0,17500.0,0.301552460995482,png,East Asia & Pacific
Papua New Guinea,2005,33.114,8.459,4.279,62.386,58.245,60.265,2.47054647367123,5948461.0,48311.0,0.812159649361406,png,East Asia & Pacific
Papua New Guinea,2006,32.64,8.292,4.226,62.761,58.627,60.6435853658537,2.44935620016826,6095959.0,75000.0,1.23032323544171,png,East Asia & Pacific
Papua New Guinea,2007,32.171,8.141,4.174,63.118,58.979,60.9980243902439,2.42826648922695,6245797.0,100000.0,1.60107669205387,png,East Asia & Pacific
Papua New Guinea,2008,31.696,8.012,4.122,63.442,59.293,61.3169024390244,2.40177575950304,6397623.0,300000.0,4.68924161364307,png,East Asia & Pacific
Papua New Guinea,2009,31.211,7.906,4.067,63.724,59.56,61.5912195121951,2.36724186868039,6550877.0,874000.0,13.3417250850535,png,East Asia & Pacific
Papua New Guinea,2010,30.72,7.827,4.011,63.962,59.781,61.820512195122,2.32290792386746,6704829.0,1417546.0,21.1421648486486,png,East Asia & Pacific
Papua New Guinea,2011,30.233,7.771,3.954,64.158,59.96,62.0078048780488,2.27256267707012,6858945.0,1909078.0,27.8334058663541,png,East Asia & Pacific
Papua New Guinea,2012,29.76,7.735,3.896,64.32,60.107,62.1621219512195,2.22086501024168,7012977.0,2400000.0,34.2222710840204,png,East Asia & Pacific
Papua New Guinea,2013,29.307,7.712,3.838,64.465,60.236,62.2989268292683,2.17262623689098,7167010.0,2709000.0,37.7981892030289,png,East Asia & Pacific
