Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Peru,1980,36.64,10.254,5.153,61.493,57.544,59.4703414634146,2.62968984653293,16889710.0,0.0,0.0,per,Latin America & Caribbean
Peru,1981,35.833,9.893,5.009,62.137,58.089,60.0636341463415,2.56504078752213,17328542.0,0.0,0.0,per,Latin America & Caribbean
Peru,1982,35.03,9.539,4.866,62.783,58.636,60.6589268292683,2.49550775335921,17766418.0,0.0,0.0,per,Latin America & Caribbean
Peru,1983,34.268,9.201,4.729,63.425,59.178,61.2497073170732,2.43039469971925,18203502.0,0.0,0.0,per,Latin America & Caribbean
Peru,1984,33.575,8.887,4.598,64.056,59.711,61.830512195122,2.37523595679322,18641054.0,0.0,0.0,per,Latin America & Caribbean
Peru,1985,32.959,8.598,4.475,64.673,60.234,62.3993658536585,2.33363134713152,19081183.0,0.0,0.0,per,Latin America & Caribbean
Peru,1986,32.414,8.335,4.36,65.272,60.748,62.9548292682927,2.30032727566106,19525200.0,0.0,0.0,per,Latin America & Caribbean
Peru,1987,31.921,8.095,4.25,65.849,61.252,63.4944390243903,2.26883398870108,19973258.0,0.0,0.0,per,Latin America & Caribbean
Peru,1988,31.446,7.874,4.144,66.404,61.748,64.0192195121951,2.2319094007711,20424055.0,0.0,0.0,per,Latin America & Caribbean
Peru,1989,30.96,7.667,4.038,66.94,62.239,64.5321707317073,2.18731008989457,20875714.0,0.0,0.0,per,Latin America & Caribbean
Peru,1990,30.451,7.472,3.933,67.46,62.725,65.034756097561,2.13259754986967,21325690.0,0.0,0.0,per,Latin America & Caribbean
Peru,1991,29.91,7.284,3.828,67.969,63.208,65.5304390243902,2.0713898896516,21772035.0,1650.0,0.0075785290626255,per,Latin America & Caribbean
Peru,1992,29.333,7.103,3.722,68.474,63.69,66.0236585365854,2.00675165119783,22213359.0,5700.0,0.0256602344562117,per,Latin America & Caribbean
Peru,1993,28.731,6.928,3.617,68.98,64.172,66.5173658536585,1.94488568874981,22649612.0,21550.0,0.0951451177176898,per,Latin America & Caribbean
Peru,1994,28.117,6.758,3.514,69.492,64.653,67.0134878048781,1.88988905852593,23081735.0,36300.0,0.157267207166186,per,Latin America & Caribbean
Peru,1995,27.497,6.594,3.413,70.011,65.133,67.5125121951219,1.84420114132176,23511358.0,52200.0,0.222020352886464,per,Latin America & Caribbean
Peru,1996,26.88,6.436,3.317,70.538,65.613,68.0154390243902,1.80362072766412,23939261.0,73543.0,0.307206642677901,per,Latin America & Caribbean
Peru,1997,26.276,6.283,3.226,71.075,66.094,68.523756097561,1.76682715054969,24365985.0,200972.0,0.824805563986024,per,Latin America & Caribbean
Peru,1998,25.69,6.138,3.142,71.614,66.574,69.0325365853659,1.724639457717,24789855.0,421814.0,1.70155896434247,per,Latin America & Caribbean
Peru,1999,25.132,6.003,3.064,72.149,67.049,69.5368048780488,1.6679976910294,25206817.0,742642.0,2.94619507096037,per,Latin America & Caribbean
Peru,2000,24.605,5.879,2.993,72.672,67.514,70.0300975609756,1.5926292749877,25611482.0,1013314.0,3.95648326793428,per,Latin America & Caribbean
Peru,2001,24.114,5.769,2.929,73.175,67.963,70.5054390243902,1.50588483823762,26000080.0,1273857.0,4.89943492481562,per,Latin America & Caribbean
Peru,2002,23.658,5.675,2.872,73.645,68.388,70.9523902439025,1.42168012228804,26372358.0,1793284.0,6.79986218903899,per,Latin America & Caribbean
Peru,2003,23.234,5.598,2.82,74.079,68.784,71.3669268292683,1.34667095678114,26729909.0,2306943.0,8.63056810257005,per,Latin America & Caribbean
Peru,2004,22.835,5.536,2.773,74.475,69.15,71.7475609756098,1.27661324840013,27073334.0,2930343.0,10.8237241855768,per,Latin America & Caribbean
Peru,2005,22.46,5.489,2.73,74.835,69.489,72.0968048780488,1.21340738015411,27403845.0,4092558.0,14.9342473656525,per,Latin America & Caribbean
Peru,2006,22.105,5.454,2.689,75.165,69.803,72.4186097560976,1.15891974947534,27723281.0,5583356.0,20.1395931455588,per,Latin America & Caribbean
Peru,2007,21.768,5.426,2.65,75.473,70.1,72.7209756097561,1.10273804948748,28030688.0,9120000.0,32.535769368201,per,Latin America & Caribbean
Peru,2008,21.447,5.404,2.614,75.771,70.39,73.0148780487805,1.05652780118011,28328410.0,15417247.0,54.4232697846438,per,Latin America & Caribbean
Peru,2009,21.139,5.383,2.579,76.067,70.679,73.3072926829268,1.04372124808904,28625628.0,20951834.0,73.1925741506876,per,Latin America & Caribbean
Peru,2010,20.84,5.362,2.545,76.368,70.971,73.6036829268293,1.07254457631248,28934303.0,24700361.0,85.3670503139474,per,Latin America & Caribbean
Peru,2011,20.547,5.341,2.511,76.673,71.269,73.9050975609756,1.12902637238898,29262830.0,29115149.0,99.4953290573742,per,Latin America & Caribbean
Peru,2012,20.26,5.32,2.479,76.981,71.572,74.2105365853659,1.19590641022858,29614887.0,32461415.0,109.611814490462,per,Latin America & Caribbean
Peru,2013,19.977,5.302,2.448,77.286,71.877,74.5155365853659,1.25134581964954,29987800.0,29388077.0,98.0001100447515,per,Latin America & Caribbean
