Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Poland,1980,19.6,9.3,2.28,74.9,66.8,70.7512195121951,0.802185476116554,35247217.0,0.0,0.0,pol,Europe & Central Asia
Poland,1981,19.5,9.9,2.28,74.4,66.0,70.0975609756098,0.923267472012982,35574150.0,0.0,0.0,pol,Europe & Central Asia
Poland,1982,19.0,9.3,2.24,75.2,67.1,71.0512195121951,0.90786848811038,35898587.0,0.0,0.0,pol,Europe & Central Asia
Poland,1983,19.5,9.3,2.34,75.2,67.2,71.1024390243903,0.920284572106585,36230481.0,0.0,0.0,pol,Europe & Central Asia
Poland,1984,19.7,9.6,2.42,75.2,67.0,71.0,0.937688926120541,36571808.0,0.0,0.0,pol,Europe & Central Asia
Poland,1985,19.0,10.0,2.37,75.0,66.8,70.8,0.90459069212033,36904134.0,0.0,0.0,pol,Europe & Central Asia
Poland,1986,18.2,10.3,2.33,74.8,66.5,70.5487804878049,0.803585474669463,37201885.0,0.0,0.0,pol,Europe & Central Asia
Poland,1987,17.0,10.1,2.22,75.1,66.8,70.8487804878049,0.681065576626595,37456119.0,0.0,0.0,pol,Europe & Central Asia
Poland,1988,16.1,10.1,2.15,75.2,66.8,70.8975609756098,0.564203449048717,37668045.0,0.0,0.0,pol,Europe & Central Asia
Poland,1989,15.6,9.9,2.13,75.67,67.2,71.3317073170732,0.414457482867701,37824487.0,0.0,0.0,pol,Europe & Central Asia
Poland,1990,14.9,10.1,2.08,75.5,66.8,71.0439024390244,0.361655504808961,37961529.0,0.0,0.0,pol,Europe & Central Asia
Poland,1991,14.3,10.2,2.06,75.5,66.5,70.890243902439,0.392398205207372,38110782.0,0.0,0.0,pol,Europe & Central Asia
Poland,1992,14.3,10.6,2.07,75.3,66.1,70.5878048780488,0.354679168347882,38246193.0,0.0,0.0,pol,Europe & Central Asia
Poland,1993,13.5,10.3,1.95,75.7,66.7,71.090243902439,0.306681390812185,38363667.0,2195.0,0.0057246782874245,pol,Europe & Central Asia
Poland,1994,12.8,10.2,1.87,76.0,67.4,71.5951219512195,0.254450913938076,38461408.0,15699.0,0.0408713238263182,pol,Europe & Central Asia
Poland,1995,12.5,10.0,1.81,76.1,67.5,71.6951219512195,0.211012328819338,38542652.0,38942.0,0.101261501652267,pol,Europe & Central Asia
Poland,1996,11.2,10.0,1.62,76.4,67.6,71.8926829268293,0.13572103385363,38594998.0,75000.0,0.194906956486554,pol,Europe & Central Asia
Poland,1997,11.1,10.0,1.59,76.6,68.1,72.2463414634146,0.0760741823645528,38624370.0,216900.0,0.563666010970723,pol,Europe & Central Asia
Poland,1998,10.7,9.8,1.51,77.0,68.5,72.6463414634146,0.0654553694247315,38649660.0,812200.0,2.11173424575922,pol,Europe & Central Asia
Poland,1999,10.2,9.7,1.44,77.3,68.9,72.9975609756098,0.0357533013623718,38663481.0,1928042.0,5.01718099848627,pol,Europe & Central Asia
Poland,2000,9.9,9.9,1.37,77.5,68.8,73.0439024390244,-0.0083027528251411,38660271.0,3956500.0,10.306011034009,pol,Europe & Central Asia
Poland,2001,9.8,9.5,1.37,78.0,69.7,73.7487804878049,-1.04433539837844,38258629.0,6747000.0,17.5925611340196,pol,Europe & Central Asia
Poland,2002,9.6,9.5,1.31,78.4,70.2,74.2,-0.0275871247282958,38248076.0,10004661.0,26.1117782752248,pol,Europe & Central Asia
Poland,2003,9.3,9.4,1.25,78.8,70.4,74.4975609756098,-0.0463189372499392,38230364.0,13898471.0,36.3068767016312,pol,Europe & Central Asia
Poland,2004,9.2,9.6,1.22,78.9,70.5,74.5975609756098,-0.067492701646486,38204570.0,17401222.0,45.4928841838258,pol,Europe & Central Asia
Poland,2005,9.3,9.5,1.23,79.2,70.7,74.8463414634146,-0.0585127351273288,38182222.0,23096065.0,60.420641166992,pol,Europe & Central Asia
Poland,2006,9.5,9.6,1.24,79.4,70.8,74.9951219512195,-0.043948953332248,38165445.0,29166391.0,76.3391449957634,pol,Europe & Central Asia
Poland,2007,9.8,9.7,1.27,79.6,70.9,75.1439024390244,-0.0633705742926632,38141267.0,36745454.0,96.2069884866963,pol,Europe & Central Asia
Poland,2008,10.2,9.9,1.31,79.7,71.0,75.2439024390244,-0.0543050208038707,38120560.0,41388774.0,108.378398505795,pol,Europe & Central Asia
Poland,2009,10.9,10.0,1.39,80.0,71.3,75.5439024390244,0.0136373796827091,38125759.0,43926365.0,115.021392528647,pol,Europe & Central Asia
Poland,2010,10.9,10.1,1.4,80.1,71.5,75.6951219512195,0.067763227021235,38151603.0,44806632.0,117.314530597555,pol,Europe & Central Asia
Poland,2011,10.8,9.9,1.38,80.6,72.1,76.2463414634146,0.0840502566232696,38183683.0,46952111.0,122.915294566938,pol,Europe & Central Asia
Poland,2012,10.1,9.7,1.3,81.1,72.6,76.7463414634146,0.913676501166545,38534157.0,50160222.0,131.293678315893,pol,Europe & Central Asia
Poland,2013,10.0,10.0,1.3,81.1,72.7,76.7975609756098,0.0044530928566729,38535873.0,54086209.0,141.546456714839,pol,Europe & Central Asia
