Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Portugal,1980,16.6,9.6,2.31,74.6,67.9,71.1682926829268,1.07199361183604,9661265.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1981,16.2,9.7,2.25,74.8,67.8,71.2146341463415,1.08143206705044,9766312.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1982,15.4,9.7,2.13,75.2,68.2,71.6146341463415,0.867080703431986,9851362.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1983,15.2,9.3,2.07,76.0,69.0,72.4146341463415,0.611332101414692,9911771.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1984,14.5,9.7,1.95,75.8,68.9,72.2658536585366,0.463965043811485,9957865.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1985,14.3,9.7,1.9,76.1,69.1,72.5146341463415,0.384553079813775,9996232.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1986,13.0,9.7,1.72,76.4,69.4,72.8146341463415,0.273538751901793,10023613.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1987,12.6,9.5,1.66,76.8,69.9,73.2658536585366,0.0909537577185482,10032734.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1988,12.3,9.5,1.62,77.2,70.3,73.6658536585366,-0.0269454386407305,10030031.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1989,12.2,9.8,1.61,77.3,70.3,73.7146341463415,-0.103951995334113,10019610.0,0.0,0.0,prt,Europe & Central Asia
Portugal,1990,11.8,9.6,1.57,77.8,70.9,74.2658536585366,-0.145920470784671,10005000.0,2782.0,0.028113939673468,prt,Europe & Central Asia
Portugal,1991,11.7,10.3,1.56,77.5,70.6,73.9658536585366,-0.217948479672573,9983218.0,6500.0,0.0656602134462016,prt,Europe & Central Asia
Portugal,1992,11.7,10.4,1.56,77.6,70.6,74.0146341463415,-0.230481754329704,9960235.0,12600.0,0.127016807650283,prt,Europe & Central Asia
Portugal,1993,11.5,10.1,1.54,78.0,70.8,74.3121951219512,-0.0777492667122609,9952494.0,37262.0,0.374292450958618,prt,Europe & Central Asia
Portugal,1994,11.4,10.6,1.52,78.2,71.0,74.5121951219512,0.122316595483017,9964675.0,101300.0,1.01289405128224,prt,Europe & Central Asia
Portugal,1995,10.9,9.9,1.45,78.5,71.5,74.9146341463415,0.269089467950249,9991525.0,173508.0,1.72644003086553,prt,Europe & Central Asia
Portugal,1996,10.7,10.3,1.41,79.0,71.8,75.3121951219512,0.346203938301886,10026176.0,340845.0,3.37568726722792,prt,Europe & Central Asia
Portugal,1997,11.0,10.6,1.44,79.0,71.7,75.2609756097561,0.375996187340096,10063945.0,663651.0,6.5444769835238,prt,Europe & Central Asia
Portugal,1998,11.2,10.4,1.47,79.1,71.9,75.4121951219512,0.446460604971181,10108977.0,1506958.0,14.7999864075965,prt,Europe & Central Asia
Portugal,1999,11.2,10.5,1.47,79.4,72.2,75.7121951219512,0.505389233382722,10160196.0,3074633.0,30.076996519456,prt,Europe & Central Asia
Portugal,2000,11.4,10.6,1.5,79.6,72.5,75.9634146341463,0.565630442435222,10217828.0,4671458.0,45.5151111722553,prt,Europe & Central Asia
Portugal,2001,11.7,10.2,1.55,79.9,72.9,76.3146341463415,0.702859953319024,10289898.0,6664951.0,64.6693851618522,prt,Europe & Central Asia
Portugal,2002,10.9,10.1,1.45,80.4,73.4,76.8146341463415,0.705230637323876,10362722.0,7977537.0,77.0727373906592,prt,Europe & Central Asia
Portugal,2003,11.0,10.2,1.46,80.6,73.7,77.0658536585366,0.547667939660689,10419631.0,8670000.0,83.4004288340389,prt,Europe & Central Asia
Portugal,2004,10.8,10.4,1.44,80.6,74.0,77.219512195122,0.375411414855816,10458821.0,10002705.0,95.8202442353126,prt,Europe & Central Asia
Portugal,2005,10.4,9.7,1.4,81.0,74.5,77.6707317073171,0.239128989611917,10483861.0,10571100.0,100.887353668911,prt,Europe & Central Asia
Portugal,2006,10.4,10.2,1.41,81.4,74.9,78.0707317073171,0.185532266654625,10503330.0,11447313.0,108.90827646971,prt,Europe & Central Asia
Portugal,2007,10.0,9.7,1.37,81.8,75.2,78.419512195122,0.18033244147767,10522288.0,12226439.0,116.036689282537,prt,Europe & Central Asia
Portugal,2008,9.7,9.8,1.35,81.6,75.2,78.3219512195122,0.196304384487306,10542964.0,13477414.0,127.67657373098,prt,Europe & Central Asia
Portugal,2009,9.9,9.9,1.39,81.7,75.5,78.5243902439025,0.144191279853498,10558177.0,14049187.0,132.917172861265,prt,Europe & Central Asia
Portugal,2010,9.4,9.9,1.34,81.8,75.8,78.7268292682927,0.0953308592370666,10568247.0,11795080.0,111.477596935469,prt,Europe & Central Asia
Portugal,2011,9.6,10.0,1.39,82.1,76.1,79.0268292682927,0.0459100367184907,10573100.0,12210377.0,115.303275078491,prt,Europe & Central Asia
Portugal,2012,9.2,9.7,1.35,83.8,77.3,80.4707317073171,-0.147084878575482,10557560.0,12334595.0,116.390137831774,prt,Europe & Central Asia
Portugal,2013,8.5,10.2,1.28,83.6,77.3,80.3731707317073,-0.405421787747567,10514844.0,12084833.0,113.96695940438,prt,Europe & Central Asia
