Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Romania,1980,18.6,9.8,2.49,71.75,66.68,69.1531707317073,0.631327429634966,22090488.0,0.0,0.0,rou,Europe & Central Asia
Romania,1981,17.9,10.4,2.43,71.78,66.53,69.0909756097561,0.686464320418627,22242653.0,0.0,0.0,rou,Europe & Central Asia
Romania,1982,17.0,10.0,2.36,72.17,66.7,69.3682926829268,0.772616533671004,22415169.0,0.0,0.0,rou,Europe & Central Asia
Romania,1983,15.3,10.0,2.17,72.4,66.8,69.5317073170732,0.446111380192247,22515389.0,0.0,0.0,rou,Europe & Central Asia
Romania,1984,14.2,10.4,2.06,72.61,66.98,69.7263414634147,0.325473454672751,22588790.0,0.0,0.0,rou,Europe & Central Asia
Romania,1985,15.5,10.3,2.26,72.65,66.81,69.6587804878049,0.296830368106553,22655940.0,0.0,0.0,rou,Europe & Central Asia
Romania,1986,15.8,10.8,2.31,72.78,66.78,69.7068292682927,0.438159719639521,22755427.0,0.0,0.0,rou,Europe & Central Asia
Romania,1987,16.5,10.6,2.39,72.59,66.55,69.4963414634146,0.455301420342523,22859269.0,0.0,0.0,rou,Europe & Central Asia
Romania,1988,16.7,11.1,2.38,72.3,66.3,69.2268292682927,0.39364189942756,22949430.0,0.0,0.0,rou,Europe & Central Asia
Romania,1989,16.5,11.0,2.3,72.41,66.51,69.3880487804878,0.470502241971901,23057662.0,0.0,0.0,rou,Europe & Central Asia
Romania,1990,16.0,10.7,2.22,72.65,66.56,69.5307317073171,0.449148207465758,23161458.0,0.0,0.0,rou,Europe & Central Asia
Romania,1991,13.6,10.6,1.83,73.05,66.59,69.7412195121951,0.17417662808295,23201835.0,0.0,0.0,rou,Europe & Central Asia
Romania,1992,12.0,10.9,1.59,73.17,66.56,69.7843902439024,-0.868693831241648,23001155.0,0.0,0.0,rou,Europe & Central Asia
Romania,1993,11.4,11.6,1.51,73.17,66.56,69.7843902439024,-0.9034629284532,22794284.0,0.0,0.0,rou,Europe & Central Asia
Romania,1994,11.0,11.6,1.43,73.2,66.1,69.5634146341464,-0.136109142211483,22763280.0,800.0,0.0034486697834019,rou,Europe & Central Asia
Romania,1995,10.9,11.7,1.4,73.3,65.9,69.509756097561,-0.14537906455364,22730211.0,2775.0,0.0120219300799348,rou,Europe & Central Asia
Romania,1996,10.4,12.0,1.33,73.4,65.7,69.4560975609756,-0.20231879638046,22684270.0,9068.0,0.039488733256481,rou,Europe & Central Asia
Romania,1997,10.2,12.7,1.3,73.1,65.3,69.1048780487805,-0.288129485530899,22619004.0,17000.0,0.0744244918219085,rou,Europe & Central Asia
Romania,1998,10.5,12.4,1.32,73.0,65.2,69.0048780487805,-0.287897951541563,22553978.0,201000.0,0.884783766110713,rou,Europe & Central Asia
Romania,1999,10.5,12.0,1.32,73.7,66.1,69.8073170731708,-0.206980241940766,22507344.0,643000.0,2.84561334982992,rou,Europe & Central Asia
Romania,2000,10.4,11.8,1.3,74.2,67.0,70.5121951219512,-0.156978616024445,22472040.0,1355500.0,6.02847950672761,rou,Europe & Central Asia
Romania,2001,10.4,11.4,1.31,74.8,67.7,71.1634146341463,-0.129440039806255,22442971.0,2499000.0,11.1620532710891,rou,Europe & Central Asia
Romania,2002,10.0,11.7,1.27,74.9,67.6,71.1609756097561,-1.39542998635748,22131970.0,3845116.0,17.2348728996725,rou,Europe & Central Asia
Romania,2003,9.7,12.4,1.27,74.8,67.4,71.009756097561,-1.83065499370162,21730496.0,5110591.0,22.9693984115824,rou,Europe & Central Asia
Romania,2004,9.8,12.4,1.31,75.1,67.7,71.309756097561,-0.7212622974018,21574326.0,7039898.0,31.7089783471383,rou,Europe & Central Asia
Romania,2005,10.1,12.1,1.35,75.3333,68.0333,71.5942756097561,-0.569786272532879,21451748.0,10215388.0,46.1021430341495,rou,Europe & Central Asia
Romania,2006,10.4,12.3,1.39,75.5667,68.3667,71.8788951219512,-0.61753095660306,21319685.0,13354138.0,60.3897190392156,rou,Europe & Central Asia
Romania,2007,10.4,12.2,1.4,75.8,68.7,72.1634146341463,-0.592402560029107,21193760.0,15991000.0,72.4708977748838,rou,Europe & Central Asia
Romania,2008,10.3,12.1,1.42,76.1,69.2,72.5658536585366,-1.47722298197717,20882982.0,20400000.0,92.6601488730641,rou,Europe & Central Asia
Romania,2009,10.8,12.3,1.53,76.1,69.2,72.5658536585366,-1.66638264306554,20537875.0,24470000.0,111.404699903419,rou,Europe & Central Asia
Romania,2010,10.9,12.6,1.57,77.1,69.7,73.309756097561,-0.833088754778975,20367487.0,25100000.0,114.542252423652,rou,Europe & Central Asia
Romania,2011,10.5,12.8,1.54,77.3,69.8,73.4585365853659,-0.593959183588628,20246871.0,24360000.0,111.428889796828,rou,Europe & Central Asia
Romania,2012,9.7,12.5,1.46,78.2,71.1,74.5634146341464,-0.491866212866043,20147528.0,23420000.0,107.387198391338,rou,Europe & Central Asia
Romania,2013,10.0,12.7,1.53,78.2,71.1,74.5634146341464,-0.352031743621169,20076727.0,22840000.0,104.98860914961,rou,Europe & Central Asia
