Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Sao Tome and Principe,1980,40.942,10.531,6.455,61.877,58.96,60.3829268292683,2.80727872181994,92622.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1981,40.915,10.581,6.409,62.117,58.983,60.5117804878049,2.48553379080253,94953.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1982,40.792,10.688,6.348,62.296,58.958,60.5862926829268,2.1236158357788,96991.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1983,40.58,10.79,6.271,62.441,58.929,60.6421707317073,1.84996567703443,98802.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1984,40.292,10.841,6.181,62.574,58.932,60.7085853658537,1.71891226293269,100515.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1985,39.935,10.821,6.078,62.709,58.987,60.8026097560976,1.78470522852229,102325.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1986,39.519,10.724,5.967,62.853,59.099,60.9302195121951,1.9797836704901,104371.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1987,39.056,10.558,5.849,63.008,59.26,61.0882926829268,2.19193348406,106684.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1988,38.569,10.357,5.73,63.167,59.444,61.2600975609756,2.34105969143817,109211.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1989,38.08,10.147,5.613,63.325,59.631,61.4329512195122,2.42702037390147,111894.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1990,37.61,9.94,5.501,63.484,59.814,61.604243902439,2.43058477902162,114647.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1991,37.176,9.747,5.395,63.643,59.989,61.7714390243902,2.36864746816403,117395.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1992,36.786,9.575,5.296,63.802,60.156,61.9345365853659,2.32299362977852,120154.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1993,36.445,9.423,5.203,63.96,60.319,62.0950975609756,2.28326995883457,122929.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1994,36.157,9.287,5.115,64.118,60.481,62.2551463414634,2.17182061898666,125628.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1995,35.932,9.169,5.032,64.275,60.643,62.4147073170732,1.97592365022945,128135.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1996,35.79,9.068,4.956,64.428,60.801,62.5702682926829,1.73535279751857,130378.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1997,35.745,8.98,4.887,64.574,60.951,62.7183170731707,1.48079797252226,132323.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1998,35.797,8.9,4.826,64.712,61.096,62.8599024390244,1.28102911184606,134029.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,1999,35.935,8.82,4.773,64.847,61.236,62.9974634146341,1.20218446585593,135650.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,2000,36.143,8.735,4.727,64.984,61.378,63.1370243902439,1.27892281780296,137396.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,2001,36.408,8.639,4.687,65.139,61.534,63.2925365853659,1.46810717057548,139428.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,2002,36.717,8.522,4.654,65.327,61.717,63.4779756097561,1.67493807572402,141783.0,0.0,0.0,stp,Sub-Saharan Africa
Sao Tome and Principe,2003,37.04,8.386,4.625,65.556,61.936,63.7018536585366,1.86149385186285,144447.0,1980.0,1.37074497912729,stp,Sub-Saharan Africa
Sao Tome and Principe,2004,37.343,8.23,4.598,65.829,62.19,63.9651219512195,2.06103862216992,147455.0,4819.0,3.26811569631413,stp,Sub-Saharan Africa
Sao Tome and Principe,2005,37.59,8.059,4.572,66.139,62.473,64.2612926829268,2.27098868984338,150842.0,7745.0,5.13451160817279,stp,Sub-Saharan Africa
Sao Tome and Principe,2006,37.735,7.879,4.542,66.471,62.773,64.5769024390244,2.47052246415747,154615.0,11953.0,7.73081525078421,stp,Sub-Saharan Africa
Sao Tome and Principe,2007,37.739,7.699,4.506,66.805,63.071,64.8924634146342,2.67451754482748,158806.0,18424.0,11.6015767666209,stp,Sub-Saharan Africa
Sao Tome and Principe,2008,37.589,7.527,4.462,67.12,63.348,65.188,2.84566495681557,163390.0,30099.0,18.4215680274191,stp,Sub-Saharan Africa
Sao Tome and Principe,2009,37.284,7.372,4.411,67.401,63.592,65.4500487804878,2.93288179323542,168253.0,50551.0,30.0446351625231,stp,Sub-Saharan Africa
Sao Tome and Principe,2010,36.828,7.235,4.352,67.642,63.796,65.6720975609756,2.92091173713397,173240.0,80829.0,46.6572385130455,stp,Sub-Saharan Africa
Sao Tome and Principe,2011,36.234,7.116,4.287,67.841,63.961,65.8536829268293,2.83857131709501,178228.0,102730.0,57.6396525798416,stp,Sub-Saharan Africa
Sao Tome and Principe,2012,35.524,7.014,4.217,68.008,64.094,66.0032682926829,2.73892689895854,183177.0,115038.0,62.8015525966688,stp,Sub-Saharan Africa
Sao Tome and Principe,2013,34.742,6.919,4.145,68.156,64.21,66.1348780487805,2.65102051012848,188098.0,122172.0,64.951248817106,stp,Sub-Saharan Africa
