Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Spain,1980,16.2,7.8,2.36,78.02,71.77,74.8187804878049,0.88727705210866,37201123.0,0.0,0.0,esp,Europe & Central Asia
Spain,1981,15.3,7.7,2.2,78.53,72.32,75.3492682926829,0.637492770908171,37439035.0,0.0,0.0,esp,Europe & Central Asia
Spain,1982,14.1,7.8,2.04,78.74,72.47,75.5285365853659,0.802139550675004,37740556.0,0.0,0.0,esp,Europe & Central Asia
Spain,1983,13.6,7.6,1.94,79.32,73.1,76.1341463414634,0.534462208771133,37942805.0,0.0,0.0,esp,Europe & Central Asia
Spain,1984,12.7,7.9,1.8,79.1,72.87,75.9090243902439,0.472290228905485,38122429.0,425.0,0.0011015613945912,esp,Europe & Central Asia
Spain,1985,12.4,7.8,1.73,79.64,73.11,76.2953658536586,0.408754359844231,38278575.0,850.0,0.0022031227891824,esp,Europe & Central Asia
Spain,1986,11.9,8.1,1.64,79.64,73.04,76.259512195122,0.365702542526481,38418817.0,1275.0,0.0033046841837737,esp,Europe & Central Asia
Spain,1987,11.4,8.1,1.56,79.85,73.33,76.5104878048781,0.303556490817113,38535617.0,1700.0,0.0044062455783649,esp,Europe & Central Asia
Spain,1988,11.0,8.0,1.5,80.17,73.45,76.7280487804878,0.246747295856104,38630820.0,4200.0,0.0108617267274898,esp,Europe & Central Asia
Spain,1989,10.8,8.3,1.45,80.23,73.43,76.7470731707317,0.219864760440752,38715849.0,11628.0,0.0300157365785091,esp,Europe & Central Asia
Spain,1990,10.5,8.4,1.4,80.44,73.36,76.8136585365854,0.195140335252081,38791473.0,29783.0,0.0767436788440278,esp,Europe & Central Asia
Spain,1991,10.3,8.6,1.36,80.51,73.34,76.8375609756098,0.151881922671244,38850435.0,54700.0,0.140678282783666,esp,Europe & Central Asia
Spain,1992,10.2,8.7,1.33,80.7,73.42,76.9712195121951,0.227830379567728,38939049.0,108451.0,0.278272536968211,esp,Europe & Central Asia
Spain,1993,10.2,8.5,1.32,81.19,73.81,77.41,0.329961302509666,39067745.0,180296.0,0.461351558736282,esp,Europe & Central Asia
Spain,1994,9.8,8.7,1.27,81.26,74.01,77.5465853658537,0.310911158332986,39189400.0,257261.0,0.65632916113775,esp,Europe & Central Asia
Spain,1995,9.4,8.6,1.2,81.62,74.36,77.9014634146342,0.269014245001208,39294967.0,411930.0,1.04784233459058,esp,Europe & Central Asia
Spain,1996,9.2,8.8,1.17,81.73,74.41,77.9807317073171,0.23397997181979,39387017.0,944955.0,2.39711157890977,esp,Europe & Central Asia
Spain,1997,9.2,8.9,1.16,81.88,74.54,78.1204878048781,0.231202196009241,39478186.0,2997645.0,7.58633943890022,esp,Europe & Central Asia
Spain,1998,9.3,8.8,1.18,82.21,75.17,78.6041463414634,0.263663725545303,39582413.0,4337696.0,10.9527328428111,esp,Europe & Central Asia
Spain,1999,9.2,9.1,1.16,82.2,75.3,78.6658536585366,0.349783060474679,39721108.0,6437444.0,16.2030037698016,esp,Europe & Central Asia
Spain,2000,9.5,9.3,1.19,82.2,75.4,78.7170731707317,0.515171909113277,39926268.0,15003708.0,37.5612058793694,esp,Europe & Central Asia
Spain,2001,9.9,9.0,1.23,82.5,75.6,78.9658536585366,0.840384465040216,40263216.0,24265059.0,60.2367316415819,esp,Europe & Central Asia
Spain,2002,9.9,8.8,1.24,82.8,76.1,79.3682926829268,1.21647948519942,40756001.0,29655729.0,72.7628762650535,esp,Europe & Central Asia
Spain,2003,10.1,8.8,1.25,83.0,76.3,79.5682926829268,1.64397683337414,41431558.0,33530997.0,81.0970795326103,esp,Europe & Central Asia
Spain,2004,10.4,9.1,1.3,83.0,76.4,79.619512195122,1.80845446818345,42187645.0,37219839.0,88.5852043885138,esp,Europe & Central Asia
Spain,2005,10.6,8.6,1.31,83.2,76.7,79.8707317073171,1.7254663034483,42921895.0,38622582.0,90.4291964601233,esp,Europe & Central Asia
Spain,2006,10.6,8.8,1.33,83.5,77.0,80.1707317073171,1.68934904712031,43653155.0,42694115.0,98.4019305847169,esp,Europe & Central Asia
Spain,2007,10.8,8.3,1.36,84.1,77.7,80.8219512195122,1.69035255626114,44397319.0,45695061.0,103.761723617195,esp,Europe & Central Asia
Spain,2008,10.9,8.5,1.38,84.1,77.8,80.8731707317073,1.85108130845179,45226803.0,48422470.0,108.414824829991,esp,Europe & Central Asia
Spain,2009,11.3,8.4,1.45,84.3,78.2,81.1756097560976,1.59533049906372,45954106.0,49623339.0,109.680881276313,esp,Europe & Central Asia
Spain,2010,10.6,8.3,1.38,84.6,78.5,81.4756097560976,0.88573598057307,46362946.0,51052693.0,111.580183836414,esp,Europe & Central Asia
Spain,2011,10.4,8.2,1.37,84.7,78.7,81.6268292682927,0.460408305051304,46576897.0,51389417.0,111.275766998416,esp,Europe & Central Asia
Spain,2012,10.1,8.3,1.34,85.6,79.5,82.4756097560976,0.355338396471428,46742697.0,52590507.0,113.063539398157,esp,Europe & Central Asia
Spain,2013,9.7,8.6,1.32,85.4,79.5,82.3780487804878,0.0397138261213016,46761264.0,50665099.0,108.364017518641,esp,Europe & Central Asia
