Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Sri Lanka,1980,27.315,6.42,3.488,69.845,66.014,67.8827804878049,1.96782569210428,14472000.0,0.0,0.0,lka,South Asia
Sri Lanka,1981,26.976,6.307,3.408,70.394,66.324,68.3093658536585,1.88239241758098,14747000.0,0.0,0.0,lka,South Asia
Sri Lanka,1982,26.525,6.219,3.319,70.925,66.538,68.678,0.675815236905491,14847000.0,0.0,0.0,lka,South Asia
Sri Lanka,1983,25.968,6.166,3.223,71.406,66.635,68.9623170731707,2.32344106875205,15196000.0,0.0,0.0,lka,South Asia
Sri Lanka,1984,25.321,6.156,3.12,71.812,66.613,69.1490975609756,1.44385613528232,15417000.0,0.0,0.0,lka,South Asia
Sri Lanka,1985,24.602,6.185,3.012,72.136,66.49,69.2441463414634,1.19924067808428,15603000.0,0.0,0.0,lka,South Asia
Sri Lanka,1986,23.84,6.243,2.904,72.386,66.314,69.2759512195122,1.52014375830428,15842000.0,0.0,0.0,lka,South Asia
Sri Lanka,1987,23.075,6.312,2.8,72.583,66.149,69.2875365853659,1.78302449562906,16127000.0,0.0,0.0,lka,South Asia
Sri Lanka,1988,22.345,6.375,2.703,72.756,66.051,69.3217317073171,1.51387506589766,16373000.0,0.0,0.0,lka,South Asia
Sri Lanka,1989,21.684,6.424,2.617,72.924,66.05,69.4031707317073,1.37088159267271,16599000.0,0.0,0.0,lka,South Asia
Sri Lanka,1990,21.107,6.459,2.544,73.09,66.148,69.5343414634146,1.3523422946709,16825000.0,0.0,0.0,lka,South Asia
Sri Lanka,1991,20.621,6.499,2.483,73.229,66.299,69.6794878048781,1.12294324220775,17015000.0,1010.0,0.005830070081483,lka,South Asia
Sri Lanka,1992,20.214,6.571,2.433,73.3,66.428,69.7801951219512,1.47018574774242,17267000.0,1800.0,0.0102664333372536,lka,South Asia
Sri Lanka,1993,19.862,6.693,2.39,73.286,66.473,69.7964146341463,0.916617837880189,17426000.0,2644.0,0.0149097990989158,lka,South Asia
Sri Lanka,1994,19.545,6.866,2.353,73.193,66.406,69.7167317073171,1.25457849908178,17646000.0,14687.0,0.081953185407657,lka,South Asia
Sri Lanka,1995,19.259,7.075,2.32,73.053,66.245,69.5659756097561,1.37886643077727,17891000.0,29182.0,0.16130247408766,lka,South Asia
Sri Lanka,1996,19.009,7.279,2.291,72.945,66.064,69.4205853658537,1.36011200975422,18136000.0,51316.0,0.2813113309382,lka,South Asia
Sri Lanka,1997,18.801,7.422,2.268,72.97,65.966,69.3825853658537,1.09674273271011,18336000.0,71029.0,0.386704011014931,lka,South Asia
Sri Lanka,1998,18.645,7.466,2.251,73.189,66.04,69.5273170731707,1.25733284398069,18568000.0,114888.0,0.621894869627152,lka,South Asia
Sri Lanka,1999,18.542,7.395,2.24,73.622,66.331,69.8875853658537,1.15657746735501,18784000.0,174202.0,0.93779189581607,lka,South Asia
Sri Lanka,2000,18.486,7.217,2.236,74.25,66.836,70.4525853658537,1.43765689672583,19056000.0,256655.0,1.37285069340046,lka,South Asia
Sri Lanka,2001,18.472,6.969,2.237,74.995,67.502,71.1571219512195,0.241102899960162,19102000.0,430202.0,2.28267455414962,lka,South Asia
Sri Lanka,2002,18.49,6.706,2.243,75.746,68.239,71.9009512195122,-1.60957589780875,18797000.0,667662.0,3.50715883007297,lka,South Asia
Sri Lanka,2003,18.527,6.49,2.252,76.388,68.941,72.5736829268293,0.65751337151655,18921000.0,931403.0,4.83573079551565,lka,South Asia
Sri Lanka,2004,18.57,6.362,2.263,76.843,69.524,73.094243902439,1.32306229866305,19173000.0,1393403.0,7.14493495502941,lka,South Asia
Sri Lanka,2005,18.606,6.336,2.274,77.087,69.955,73.4340243902439,1.3572524967932,19435000.0,2211158.0,11.2027828338411,lka,South Asia
Sri Lanka,2006,18.631,6.404,2.286,77.14,70.23,73.6007317073171,1.06963838728116,19644000.0,3361775.0,16.8499121184689,lka,South Asia
Sri Lanka,2007,18.641,6.537,2.298,77.058,70.377,73.6360243902439,1.08350004344043,19858000.0,5412496.0,26.8776157588109,lka,South Asia
Sri Lanka,2008,18.636,6.69,2.311,76.937,70.461,73.6200243902439,0.907342616060452,20039000.0,7983489.0,39.3238282187412,lka,South Asia
Sri Lanka,2009,18.614,6.822,2.323,76.856,70.538,73.6199512195122,0.884345986018276,20217000.0,11082454.0,54.1866042335303,lka,South Asia
Sri Lanka,2010,18.566,6.923,2.335,76.845,70.629,73.6611951219512,1.1459047856621,20450000.0,16305417.0,79.1461203884366,lka,South Asia
Sri Lanka,2011,18.477,6.986,2.343,76.915,70.746,73.7552682926829,0.987770481670205,20653000.0,17359312.0,83.6239549541907,lka,South Asia
Sri Lanka,2012,18.332,7.017,2.347,77.058,70.891,73.8992926829269,1.04042169671805,20869000.0,18319447.0,87.5459080323502,lka,South Asia
Sri Lanka,2013,18.127,7.037,2.346,77.237,71.05,74.0680487804878,0.4760049311813655,20328000.0,19332844.0,91.6331087459586,lka,South Asia
