Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
St. Vincent and the Grenadines,1980,31.612,7.725,4.154,69.385,64.823,67.0483658536585,0.96356869689148,99589.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1981,30.835,7.573,3.985,69.69,65.173,67.3764146341463,0.916571048526143,100506.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1982,30.115,7.406,3.832,70.014,65.546,67.725512195122,0.863867788304996,101378.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1983,29.422,7.24,3.692,70.344,65.91,68.0729268292683,0.809514195709411,102202.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1984,28.737,7.09,3.561,70.67,66.244,68.4030243902439,0.763209950669222,102985.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1985,28.056,6.96,3.439,70.984,66.539,68.7072926829268,0.732370114762358,103742.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1986,27.392,6.856,3.328,71.278,66.796,68.9823414634146,0.70599037824095,104477.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1987,26.765,6.778,3.23,71.548,67.027,69.2323658536586,0.686783130024881,105197.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1988,26.195,6.721,3.144,71.793,67.248,69.4650731707317,0.65849240020632,105892.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1989,25.689,6.682,3.072,72.01,67.47,69.6846341463415,0.603508951919013,106533.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1990,25.242,6.66,3.01,72.199,67.691,69.8900243902439,0.51307611126724,107081.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1991,24.84,6.656,2.956,72.359,67.903,70.0766585365854,0.398900757290005,107509.0,0.0,0.0,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1992,24.46,6.671,2.907,72.487,68.095,70.2374390243903,0.280512909186476,107811.0,35.0,0.0324071073415987,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1993,24.078,6.704,2.86,72.588,68.254,70.3681463414634,0.17607922551989,108001.0,70.0,0.0648142146831974,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1994,23.673,6.754,2.811,72.667,68.371,70.4666097560976,0.0888485838047992,108097.0,83.0,0.0767828894418902,vct,Latin America & Caribbean
St. Vincent and the Grenadines,1995,23.233,6.817,2.76,72.73,68.447,70.5362682926829,0.029598660876693,108129.0,150.0,0.138723191743196,vct,Latin America & Caribbean
