Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Swaziland,1980,48.277,13.552,6.695,55.526,51.673,53.552512195122,3.0837862264196,585335.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1981,48.129,13.106,6.658,56.207,52.34,54.2263414634146,3.03512463836427,603373.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1982,48.006,12.668,6.618,56.884,53.014,54.9018048780488,2.93010109265382,621314.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1983,47.892,12.243,6.573,57.541,53.688,55.567512195122,2.85888551852146,639333.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1984,47.761,11.838,6.52,58.16,54.349,56.2080243902439,2.9533001354641,658496.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1985,47.583,11.456,6.459,58.726,54.983,56.8088536585366,3.25063410436157,680253.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1986,47.307,11.094,6.384,59.243,55.588,57.3709268292683,3.64306439560663,705492.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1987,46.877,10.743,6.291,59.724,56.169,57.9031463414634,4.06893123499925,734790.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1988,46.263,10.402,6.18,60.167,56.713,58.3978780487805,4.34455861879462,767417.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1989,45.457,10.082,6.051,60.552,57.194,58.8320487804878,4.32674751486184,801350.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1990,44.467,9.8,5.905,60.843,57.574,59.1686341463415,3.96801686166776,833787.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1991,43.31,9.587,5.744,60.975,57.793,59.3451951219512,3.41214877416096,862728.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1992,42.018,9.475,5.571,60.878,57.784,59.2932682926829,2.80250755700935,887248.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1993,40.653,9.486,5.392,60.512,57.516,58.9774634146342,2.30614694856781,907947.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1994,39.28,9.634,5.211,59.859,56.98,58.3843902439024,1.99300991872401,926224.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1995,37.951,9.921,5.035,58.923,56.188,57.5221463414634,1.92462610205439,944223.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1996,36.713,10.359,4.866,57.701,55.143,56.3908048780488,2.01353904449648,963428.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1997,35.601,10.954,4.709,56.201,53.865,55.004512195122,2.16422350184122,984506.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1998,34.621,11.673,4.564,54.498,52.427,53.437243902439,2.23525401099982,1006760.0,0.0,0.0,swz,Sub-Saharan Africa
Swaziland,1999,33.775,12.47,4.432,52.695,50.927,51.7894390243902,2.15527828809145,1028694.0,4700.0,0.456889998386303,swz,Sub-Saharan Africa
Swaziland,2000,33.074,13.294,4.313,50.894,49.454,50.1564390243903,1.87376229556382,1048151.0,14000.0,1.33568541173934,swz,Sub-Saharan Africa
Swaziland,2001,32.526,14.076,4.209,49.228,48.127,48.6640731707317,1.47398384072457,1063715.0,33000.0,3.10233474191865,swz,Sub-Saharan Africa
Swaziland,2002,32.131,14.742,4.121,47.829,47.058,47.4340975609756,1.03308133837712,1074761.0,55000.0,5.11741680243329,swz,Sub-Saharan Africa
Swaziland,2003,31.863,15.252,4.046,46.762,46.296,46.5233170731707,0.688198608142659,1082183.0,68000.0,6.2835952884124,swz,Sub-Saharan Africa
Swaziland,2004,31.689,15.581,3.982,46.059,45.862,45.9580975609756,0.52955915897944,1087929.0,85000.0,7.81300985634173,swz,Sub-Saharan Africa
Swaziland,2005,31.581,15.721,3.925,45.731,45.759,45.7453414634146,0.625744532569008,1094758.0,145000.0,13.2449363238268,swz,Sub-Saharan Africa
Swaziland,2006,31.506,15.681,3.871,45.752,45.963,45.8600731707317,0.898796629864329,1104642.0,200000.0,18.1054133375338,swz,Sub-Saharan Africa
Swaziland,2007,31.435,15.494,3.818,46.058,46.416,46.2413658536585,1.22463455146785,1118253.0,250000.0,22.3563004078683,swz,Sub-Saharan Africa
Swaziland,2008,31.346,15.225,3.761,46.525,47.008,46.7723902439024,1.48447403203934,1134977.0,380000.0,33.4808546781124,swz,Sub-Saharan Africa
Swaziland,2009,31.222,14.935,3.699,47.038,47.639,47.3458292682927,1.65602546523154,1153929.0,531643.0,46.0724186670064,swz,Sub-Saharan Africa
Swaziland,2010,31.048,14.662,3.632,47.525,48.243,47.892756097561,1.69697667426353,1173678.0,664432.0,56.6110977627595,swz,Sub-Saharan Africa
Swaziland,2011,30.816,14.447,3.559,47.915,48.756,48.345756097561,1.64527846146956,1193148.0,725802.0,60.8308441199248,swz,Sub-Saharan Africa
Swaziland,2012,30.531,14.317,3.483,48.162,49.137,48.6613902439024,1.58078747410183,1212159.0,766540.0,63.2375785684881,swz,Sub-Saharan Africa
Swaziland,2013,30.211,14.267,3.407,48.278,49.396,48.8506341463415,1.54115947512782,1230985.0,805000.0,65.3947854766711,swz,Sub-Saharan Africa
