Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Sweden,1980,11.6,10.9,1.66,78.71,72.49,75.5241463414634,0.21822324745441,8293678.0,0.0,0.0,swe,Europe & Central Asia
Sweden,1981,11.6,11.0,1.68,78.85,72.78,75.7409756097561,0.202996791804766,8310531.0,0.0,0.0,swe,Europe & Central Asia
Sweden,1982,11.3,11.0,1.63,79.13,73.07,76.0260975609756,0.119920399357645,8320503.0,20362.0,0.244741165964127,swe,Europe & Central Asia
Sweden,1983,11.1,10.8,1.62,79.38,73.42,76.3273170731707,0.0571917222643352,8325263.0,27236.0,0.327219454011105,swe,Europe & Central Asia
Sweden,1984,11.0,10.9,1.61,79.63,73.62,76.5517073170732,0.0452736046530332,8329033.0,36294.0,0.435901340780352,swe,Europe & Central Asia
Sweden,1985,11.3,10.9,1.66,79.93,73.85,76.8158536585366,0.0908696147250346,8336605.0,57914.0,0.694920411850196,swe,Europe & Central Asia
Sweden,1986,11.8,11.3,1.74,79.7,73.78,76.6678048780488,0.165170618633822,8350386.0,73000.0,0.874166278880119,swe,Europe & Central Asia
Sweden,1987,12.2,11.1,1.8,80.03,73.98,76.9312195121951,0.23256888459452,8369829.0,112600.0,1.34401815832987,swe,Europe & Central Asia
Sweden,1988,12.5,11.1,1.84,80.15,74.18,77.0921951219512,0.333678891427395,8397804.0,173000.0,2.05618055785011,swe,Europe & Central Asia
Sweden,1989,13.3,11.5,1.96,79.95,74.15,76.9792682926829,0.459598369773659,8436489.0,243000.0,2.87332265355959,swe,Europe & Central Asia
Sweden,1990,13.7,10.8,2.01,80.8,74.8,77.7268292682927,0.66718292068369,8492964.0,349000.0,4.10287229275087,swe,Europe & Central Asia
Sweden,1991,14.5,11.1,2.13,80.4,74.81,77.5368292682927,0.772602675661167,8558835.0,461200.0,5.38841259958545,swe,Europe & Central Asia
Sweden,1992,14.3,11.0,2.11,80.53,74.94,77.6668292682927,0.681643117607529,8617375.0,568200.0,6.59429805600511,swe,Europe & Central Asia
Sweden,1993,14.0,11.1,2.09,80.78,75.35,77.9987804878049,0.586529928761034,8668067.0,656000.0,7.55953101868022,swe,Europe & Central Asia
