Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,geo,World bank region
Switzerland,1980,11.3,9.0,1.52,78.78,72.31,75.4660975609756,0.200809491511636,6294365.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1981,11.5,9.2,1.55,78.85,72.23,75.459268292683,0.397074418637607,6319408.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1982,11.4,9.2,1.55,79.13,72.42,75.6931707317073,0.547064910132262,6354074.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1983,11.4,9.3,1.56,79.44,72.79,76.0339024390244,0.584291675385673,6391309.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1984,11.4,9.3,1.52,79.55,72.68,76.0312195121951,0.428787920002408,6418773.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1985,11.6,9.1,1.53,80.03,73.35,76.6085365853659,0.359111652414513,6441865.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1986,11.5,9.2,1.52,80.15,73.48,76.7336585365854,0.441442667641394,6470365.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1987,11.7,9.2,1.53,80.3,73.66,76.8990243902439,0.520391611336159,6504124.0,0.0,0.0,che,Europe & Central Asia
Switzerland,1988,11.6,9.0,1.52,80.66,73.9,77.1975609756098,0.628115754543019,6545106.0,5475.0,0.0838289063504798,che,Europe & Central Asia
Switzerland,1989,12.3,9.3,1.57,80.73,73.89,77.2265853658537,0.734943056123237,6593386.0,30768.0,0.468206385155447,che,Europe & Central Asia
Switzerland,1990,12.6,9.2,1.56,80.94,74.07,77.4212195121951,0.808536055550948,6646912.0,72735.0,1.09900354594284,che,Europe & Central Asia
Switzerland,1991,12.5,9.5,1.58,80.71,73.94,77.2424390243902,1.02687307219521,6715519.0,125047.0,1.87366645090142,che,Europe & Central Asia
Switzerland,1992,12.7,9.2,1.58,81.1,74.1,77.5146341463415,1.24982602441627,6799978.0,174557.0,2.58986839011008,che,Europe & Central Asia
Switzerland,1993,12.2,9.9,1.58,81.33,74.45,77.8060975609756,1.10252107229095,6875364.0,215061.0,3.15607762981521,che,Europe & Central Asia
Switzerland,1994,12.1,9.0,1.51,81.43,74.9,78.0853658536586,0.910715565788466,6938265.0,257703.0,3.7400838860427,che,Europe & Central Asia
Switzerland,1995,11.9,8.8,1.49,81.71,75.15,78.35,0.797158411024818,6993795.0,332165.0,4.77258163238916,che,Europe & Central Asia
Switzerland,1996,11.7,9.0,1.48,81.69,75.3,78.4170731707317,0.668242326234317,7040687.0,447167.0,6.37258548545099,che,Europe & Central Asia
Switzerland,1997,11.4,8.9,1.5,82.0,75.94,78.8960975609756,0.441636406706345,7071850.0,662713.0,9.3873576714257,che,Europe & Central Asia
Switzerland,1998,11.4,8.9,1.48,82.04,76.26,79.079512195122,0.240891210155647,7088906.0,1044379.0,14.7299446445335,che,Europe & Central Asia
Switzerland,1999,11.0,8.7,1.47,82.5,76.3,79.3243902439025,0.297135765740057,7110001.0,1698565.0,23.8780319968848,che,Europe & Central Asia
Switzerland,2000,10.3,8.3,1.48,82.5,76.8,79.580487804878,0.476919931285641,7143991.0,3057509.0,42.8413775168272,che,Europe & Central Asia
Switzerland,2001,10.9,8.7,1.5,82.6,76.9,79.6804878048781,0.561954617400164,7184250.0,4638519.0,64.7333272766019,che,Europe & Central Asia
Switzerland,2002,10.0,8.5,1.38,83.1,77.4,80.1804878048781,0.632771238018431,7229854.0,5275791.0,73.2669072238394,che,Europe & Central Asia
Switzerland,2003,9.9,8.5,1.39,83.1,77.8,80.3853658536585,0.756469145838096,7284753.0,5736303.0,79.2141722908382,che,Europe & Central Asia
Switzerland,2004,9.8,8.6,1.39,83.2,78.0,80.5365853658537,0.74191960337232,7339001.0,6189000.0,84.9078463822384,che,Europe & Central Asia
Switzerland,2005,9.9,8.1,1.42,83.7,78.6,81.0878048780488,0.687425960233006,7389625.0,6274763.0,85.4337276776384,che,Europe & Central Asia
Switzerland,2006,9.8,8.2,1.42,83.9,78.7,81.2365853658537,0.640601540243491,7437115.0,6834233.0,92.2471940747844,che,Europe & Central Asia
Switzerland,2007,9.8,8.1,1.44,84.0,79.1,81.490243902439,0.627558473346134,7483934.0,7436157.0,99.3850711966199,che,Europe & Central Asia
Switzerland,2008,9.9,8.1,1.46,84.2,79.4,81.7414634146342,0.893690977823134,7551117.0,8208884.0,108.515486115003,che,Europe & Central Asia
Switzerland,2009,10.0,8.0,1.48,84.4,79.7,81.9926829268293,1.27061807385776,7647675.0,8896706.0,116.250279953305,che,Europe & Central Asia
Switzerland,2010,10.1,8.1,1.5,84.4,79.8,82.0439024390244,1.24948463127384,7743831.0,9322580.0,120.403710920952,che,Europe & Central Asia
Switzerland,2011,10.3,8.0,1.52,84.5,80.1,82.2463414634147,1.0415580576588,7824909.0,9644157.0,123.160910865083,che,Europe & Central Asia
Switzerland,2012,10.2,7.8,1.52,85.0,80.5,82.6951219512195,1.11187894263206,7912398.0,10082636.0,127.383212047706,che,Europe & Central Asia
Switzerland,2013,10.3,9.0,1.52,84.9,80.6,82.6975609756098,1.06181932886789,7996861.0,10561075.0,132.056372328053,che,Europe & Central Asia
